Module,Event,Treatment,Facility level,Appointment footprint,Bed days footprint
Alri,HSI_Alri_Treatment,Alri_Pneumonia_Treatment_Outpatient,0,ConWithDCSA,
BladderCancer,HSI_BladderCancer_Investigation_Following_Blood_Urine,BladderCancer_Investigation,1b,Over5OPD,
BladderCancer,HSI_BladderCancer_Investigation_Following_pelvic_pain,BladderCancer_Investigation,1b,Over5OPD,
BladderCancer,HSI_BladderCancer_PalliativeCare,BladderCancer_PalliativeCare,2,,general_bed (15 days)
BladderCancer,HSI_BladderCancer_StartTreatment,BladderCancer_Treatment,3,MajorSurg,general_bed (5 days)
BladderCancer,HSI_BladderCancer_PostTreatmentCheck,BladderCancer_Treatment,3,Over5OPD,
BreastCancer,HSI_BreastCancer_Investigation_Following_breast_lump_discernible,BreastCancer_Investigation,3,"Mammography, Over5OPD",
BreastCancer,HSI_BreastCancer_PalliativeCare,BreastCancer_PalliativeCare,2,,general_bed (15 days)
BreastCancer,HSI_BreastCancer_StartTreatment,BreastCancer_Treatment,3,MajorSurg,general_bed (5 days)
BreastCancer,HSI_BreastCancer_PostTreatmentCheck,BreastCancer_Treatment,3,Over5OPD,
CardioMetabolicDisorders,HSI_CardioMetabolicDisorders_Investigations,CardioMetabolicDisorders_Investigation,1b,Over5OPD,
CardioMetabolicDisorders,HSI_CardioMetabolicDisorders_CommunityTestingForHypertension,CardioMetabolicDisorders_Prevention_CommunityTestingForHypertension,1a,Over5OPD,
CardioMetabolicDisorders,HSI_CardioMetabolicDisorders_StartWeightLossAndMedication,CardioMetabolicDisorders_Prevention_WeightLoss,1b,Over5OPD,
CardioMetabolicDisorders,HSI_CardioMetabolicDisorders_Refill_Medication,CardioMetabolicDisorders_Treatment,1b,Over5OPD,
CardioMetabolicDisorders,HSI_CardioMetabolicDisorders_SeeksEmergencyCareAndGetsTreatment,CardioMetabolicDisorders_Treatment,2,AccidentsandEmerg,
CardioMetabolicDisorders,HSI_CardioMetabolicDisorders_Dialysis_Refill,CardioMetabolicDisorders_Treatment_Haemodialysis,3,Over5OPD,
CareOfWomenDuringPregnancy,HSI_CareOfWomenDuringPregnancy_AntenatalOutpatientManagementOfGestationalDiabetes,AntenatalCare_FollowUp,1a,Over5OPD,
CareOfWomenDuringPregnancy,HSI_CareOfWomenDuringPregnancy_AntenatalOutpatientManagementOfAnaemia,AntenatalCare_FollowUp,1a,Over5OPD,
CareOfWomenDuringPregnancy,HSI_CareOfWomenDuringPregnancy_PresentsForInductionOfLabour,AntenatalCare_Inpatient,1a,,maternity_bed (1 days)
CareOfWomenDuringPregnancy,HSI_CareOfWomenDuringPregnancy_AntenatalWardInpatientCare,AntenatalCare_Inpatient,1b,,
CareOfWomenDuringPregnancy,HSI_CareOfWomenDuringPregnancy_SeventhAntenatalCareContact,AntenatalCare_Outpatient,1a,ANCSubsequent,
