LHC samples (.csv)
==================

:download:`Download original .csv file from GitHub <https://github.com/UCL/TLOmodel/raw/master/resources/ResourceFile_HIV/LHC_samples.csv>`

====  ============  ========  =======
  ..    Unnamed: 0       hiv       tb
====  ============  ========  =======
   0             0  0.102179  1.84355
   1             1  0.111017  1.54538
   2             2  0.112548  2.48107
   3             3  0.120539  1.63866
   4             4  0.145443  1.9818
   5             5  0.115484  2.03233
   6             6  0.143785  1.60303
   7             7  0.135362  1.93062
   8             8  0.124557  1.79126
   9             9  0.139894  2.2704
  10            10  0.129268  1.80285
  11            11  0.130761  1.67331
  12            12  0.126463  2.22042
  13            13  0.127918  2.30076
  14            14  0.116857  2.46538
  15            15  0.100187  2.36168
  16            16  0.133948  2.24855
  17            17  0.108437  2.3928
  18            18  0.121924  1.95147
  19            19  0.141739  2.03653
  20            20  0.105818  2.14709
  21            21  0.141135  1.73947
  22            22  0.137642  1.50764
  23            23  0.10715   2.16998
  24            24  0.114605  1.58375
  25            25  0.1481    2.07167
  26            26  0.131789  2.40197
  27            27  0.103842  1.86917
  28            28  0.119378  1.70285
  29            29  0.14987   2.13257
====  ============  ========  =======
