MoH CPT IPT2020 (.csv)
======================

:download:`Download original .csv file from GitHub <https://github.com/UCL/TLOmodel/raw/master/resources/ResourceFile_HIV/MoH_CPT_IPT2020.csv>`

====  ======  =========  =================  =======  ===============  ===================  ===============  ===================
  ..    year  quarter    district             Total    On CPT number    On CPT proportion  On IPT number    On IPT proportion
====  ======  =========  =================  =======  ===============  ===================  ===============  ===================
   0    2018  Q1         National            761817           691184                 0.91  238331.0         0.31
   1    2018  Q1         Northern Zone        74327            62343                 0.84  0.0              0.0
   2    2018  Q1         Chitipa               5493             4583                 0.83  0.0              0.0
   3    2018  Q1         Karonga              13201             8036                 0.61  0.0              0.0
   4    2018  Q1         Nkhata Bay            8807             8378                 0.95  0.0              0.0
   5    2018  Q1         Rumphi                7765             7757                 1     0.0              0.0
   6    2018  Q1         Mzimba North         24120            20489                 0.85  0.0              0.0
   7    2018  Q1         Mzimba South         14302            12466                 0.87  0.0              0.0
   8    2018  Q1         Likoma                 639              634                 0.99  0.0              0.0
   9    2018  Q1         Central East Zone    60153            58356                 0.97  0.0              0.0
  10    2018  Q1         Nkhotakota           11527            11513                 1     0.0              0.0
  11    2018  Q1         Kasungu              16161            15557                 0.96  0.0              0.0
  12    2018  Q1         Ntchisi               4458             4282                 0.96  0.0              0.0
  13    2018  Q1         Dowa                 12280            12014                 0.98  0.0              0.0
  14    2018  Q1         Salima               15727            14991                 0.95  0.0              0.0
  15    2018  Q1         Central West Zone   156812           150635                 0.96  59866.0          0.38
  16    2018  Q1         Lilongwe             97306            93285                 0.96  59866.0          0.62
  17    2018  Q1         Mchinji              15912            15054                 0.95  0.0              0.0
  18    2018  Q1         Dedza                18107            17445                 0.96  0.0              0.0
  19    2018  Q1         Ntcheu               25478            24851                 0.98  0.0              0.0
  20    2018  Q1         South West Zone     237082           207077                 0.87  137353.0         0.58
  21    2018  Q1         Chiradzulu           38739            35698                 0.92  30297.0          0.78
  22    2018  Q1         Blantyre             85289            69873                 0.82  64484.0          0.76
  23    2018  Q1         Mwanza                5925             5662                 0.96  0.0              0.0
  24    2018  Q1         Thyolo               51822            48953                 0.94  42571.0          0.72
  25    2018  Q1         Chikwawa             26620            21162                 0.79  0.0              0.0
  26    2018  Q1         Nsanje               20512            17729                 0.86  0.0              0.0
  27    2018  Q1         Neno                  8175             8000                 0.98  0.0              0.0
  28    2018  Q1         South East Zone     233443           212772                 0.91  41112.0          0.18
  29    2018  Q1         Mangochi             49243            46780                 0.95  0.0              0.0
