art coverage (.csv)
===================

:download:`Download original .csv file from GitHub <https://github.com/UCL/TLOmodel/raw/master/resources/ResourceFile_HIV/art_coverage.csv>`

====  ======  =======  =============  =====  ===============  ================  =========================  =========================
  ..    year  age        single\_age  sex      art\_coverage    prop\_coverage    prop\_coverage\_revised    prop\_coverage\_reduced
====  ======  =======  =============  =====  ===============  ================  =========================  =========================
   0    2009  0\_4                 0  F                14.35            0.1435                  0.0854349                  0.0427174
   1    2009  0\_4                 1  F                14.35            0.1435                  0.0854349                  0.0427174
   2    2009  0\_4                 2  F                14.35            0.1435                  0.0854349                  0.0427174
   3    2009  0\_4                 3  F                14.35            0.1435                  0.0854349                  0.0427174
   4    2009  0\_4                 4  F                14.35            0.1435                  0.0854349                  0.0427174
   5    2009  5\_9                 5  F                11.59            0.1159                  0.0854349                  0.0427174
   6    2009  5\_9                 6  F                11.59            0.1159                  0.0854349                  0.0427174
   7    2009  5\_9                 7  F                11.59            0.1159                  0.0854349                  0.0427174
   8    2009  5\_9                 8  F                11.59            0.1159                  0.0854349                  0.0427174
   9    2009  5\_9                 9  F                11.59            0.1159                  0.0854349                  0.0427174
  10    2009  10\_14              10  F                 9.13            0.0913                  0.0854349                  0.0427174
  11    2009  10\_14              11  F                 9.13            0.0913                  0.0854349                  0.0427174
  12    2009  10\_14              12  F                 9.13            0.0913                  0.0854349                  0.0427174
  13    2009  10\_14              13  F                 9.13            0.0913                  0.0854349                  0.0427174
  14    2009  10\_14              14  F                 9.13            0.0913                  0.0854349                  0.0427174
  15    2009  15\_19              15  F                15.69            0.1569                  0.249293                   0.124647
  16    2009  15\_19              16  F                15.69            0.1569                  0.249293                   0.124647
  17    2009  15\_19              17  F                15.69            0.1569                  0.249293                   0.124647
  18    2009  15\_19              18  F                15.69            0.1569                  0.249293                   0.124647
  19    2009  15\_19              19  F                15.69            0.1569                  0.249293                   0.124647
  20    2009  20\_24              20  F                 9.94            0.0994                  0.249293                   0.124647
  21    2009  20\_24              21  F                 9.94            0.0994                  0.249293                   0.124647
  22    2009  20\_24              22  F                 9.94            0.0994                  0.249293                   0.124647
  23    2009  20\_24              23  F                 9.94            0.0994                  0.249293                   0.124647
  24    2009  20\_24              24  F                 9.94            0.0994                  0.249293                   0.124647
  25    2009  25\_29              25  F                17.66            0.1766                  0.249293                   0.124647
  26    2009  25\_29              26  F                17.66            0.1766                  0.249293                   0.124647
  27    2009  25\_29              27  F                17.66            0.1766                  0.249293                   0.124647
  28    2009  25\_29              28  F                17.66            0.1766                  0.249293                   0.124647
  29    2009  25\_29              29  F                17.66            0.1766                  0.249293                   0.124647
  30    2009  30\_34              30  F                25.84            0.2584                  0.249293                   0.124647
  31    2009  30\_34              31  F                25.84            0.2584                  0.249293                   0.124647
  32    2009  30\_34              32  F                25.84            0.2584                  0.249293                   0.124647
  33    2009  30\_34              33  F                25.84            0.2584                  0.249293                   0.124647
  34    2009  30\_34              34  F                25.84            0.2584                  0.249293                   0.124647
  35    2009  35\_39              35  F                32.31            0.3231                  0.249293                   0.124647
  36    2009  35\_39              36  F                32.31            0.3231                  0.249293                   0.124647
  37    2009  35\_39              37  F                32.31            0.3231                  0.249293                   0.124647
  38    2009  35\_39              38  F                32.31            0.3231                  0.249293                   0.124647
  39    2009  35\_39              39  F                32.31            0.3231                  0.249293                   0.124647
  40    2009  40\_44              40  F                37.27            0.3727                  0.249293                   0.124647
  41    2009  40\_44              41  F                37.27            0.3727                  0.249293                   0.124647
  42    2009  40\_44              42  F                37.27            0.3727                  0.249293                   0.124647
  43    2009  40\_44              43  F                37.27            0.3727                  0.249293                   0.124647
  44    2009  40\_44              44  F                37.27            0.3727                  0.249293                   0.124647
  45    2009  45\_49              45  F                42.16            0.4216                  0.249293                   0.124647
  46    2009  45\_49              46  F                42.16            0.4216                  0.249293                   0.124647
  47    2009  45\_49              47  F                42.16            0.4216                  0.249293                   0.124647
  48    2009  45\_49              48  F                42.16            0.4216                  0.249293                   0.124647
  49    2009  45\_49              49  F                42.16            0.4216                  0.249293                   0.124647
  50    2009  50\_54              50  F                47.33            0.4733                  0.249293                   0.124647
  51    2009  50\_54              51  F                47.33            0.4733                  0.249293                   0.124647
  52    2009  50\_54              52  F                47.33            0.4733                  0.249293                   0.124647
  53    2009  50\_54              53  F                47.33            0.4733                  0.249293                   0.124647
  54    2009  50\_54              54  F                47.33            0.4733                  0.249293                   0.124647
  55    2009  55\_59              55  F                46.39            0.4639                  0.249293                   0.124647
  56    2009  55\_59              56  F                46.39            0.4639                  0.249293                   0.124647
  57    2009  55\_59              57  F                46.39            0.4639                  0.249293                   0.124647
  58    2009  55\_59              58  F                46.39            0.4639                  0.249293                   0.124647
  59    2009  55\_59              59  F                46.39            0.4639                  0.249293                   0.124647
  60    2009  60\_64              60  F                45.08            0.4508                  0.249293                   0.124647
  61    2009  60\_64              61  F                45.08            0.4508                  0.249293                   0.124647
  62    2009  60\_64              62  F                45.08            0.4508                  0.249293                   0.124647
  63    2009  60\_64              63  F                45.08            0.4508                  0.249293                   0.124647
  64    2009  60\_64              64  F                45.08            0.4508                  0.249293                   0.124647
  65    2009  65\_69              65  F                44.49            0.4449                  0.249293                   0.124647
  66    2009  65\_69              66  F                44.49            0.4449                  0.249293                   0.124647
  67    2009  65\_69              67  F                44.49            0.4449                  0.249293                   0.124647
  68    2009  65\_69              68  F                44.49            0.4449                  0.249293                   0.124647
  69    2009  65\_69              69  F                44.49            0.4449                  0.249293                   0.124647
  70    2009  70\_74              70  F                44.2             0.442                   0.249293                   0.124647
  71    2009  70\_74              71  F                44.2             0.442                   0.249293                   0.124647
  72    2009  70\_74              72  F                44.2             0.442                   0.249293                   0.124647
  73    2009  70\_74              73  F                44.2             0.442                   0.249293                   0.124647
  74    2009  70\_74              74  F                44.2             0.442                   0.249293                   0.124647
  75    2009  75\_79              75  F                43.91            0.4391                  0.249293                   0.124647
  76    2009  75\_79              76  F                43.91            0.4391                  0.249293                   0.124647
  77    2009  75\_79              77  F                43.91            0.4391                  0.249293                   0.124647
  78    2009  75\_79              78  F                43.91            0.4391                  0.249293                   0.124647
  79    2009  75\_79              79  F                43.91            0.4391                  0.249293                   0.124647
  80    2009  80                  80  F                49.21            0.4921                  0.249293                   0.124647
  81    2009  80                  81  F                49.21            0.4921                  0.249293                   0.124647
  82    2009  80                  82  F                49.21            0.4921                  0.249293                   0.124647
  83    2009  80                  83  F                49.21            0.4921                  0.249293                   0.124647
  84    2009  80                  84  F                49.21            0.4921                  0.249293                   0.124647
  85    2009  80                  85  F                49.21            0.4921                  0.249293                   0.124647
  86    2009  80                  86  F                49.21            0.4921                  0.249293                   0.124647
  87    2009  80                  87  F                49.21            0.4921                  0.249293                   0.124647
  88    2009  80                  88  F                49.21            0.4921                  0.249293                   0.124647
  89    2009  80                  89  F                49.21            0.4921                  0.249293                   0.124647
  90    2009  80                  90  F                49.21            0.4921                  0.249293                   0.124647
  91    2009  80                  91  F                49.21            0.4921                  0.249293                   0.124647
  92    2009  80                  92  F                49.21            0.4921                  0.249293                   0.124647
  93    2009  80                  93  F                49.21            0.4921                  0.249293                   0.124647
  94    2009  80                  94  F                49.21            0.4921                  0.249293                   0.124647
  95    2009  80                  95  F                49.21            0.4921                  0.249293                   0.124647
  96    2009  80                  96  F                49.21            0.4921                  0.249293                   0.124647
  97    2009  80                  97  F                49.21            0.4921                  0.249293                   0.124647
  98    2009  80                  98  F                49.21            0.4921                  0.249293                   0.124647
  99    2009  80                  99  F                49.21            0.4921                  0.249293                   0.124647
 100    2009  80                 100  F                49.21            0.4921                  0.249293                   0.124647
 101    2009  0\_4                 0  M                14.66            0.1466                  0.0854349                  0.0427174
 102    2009  0\_4                 1  M                14.66            0.1466                  0.0854349                  0.0427174
 103    2009  0\_4                 2  M                14.66            0.1466                  0.0854349                  0.0427174
 104    2009  0\_4                 3  M                14.66            0.1466                  0.0854349                  0.0427174
 105    2009  0\_4                 4  M                14.66            0.1466                  0.0854349                  0.0427174
 106    2009  5\_9                 5  M                11.51            0.1151                  0.0854349                  0.0427174
 107    2009  5\_9                 6  M                11.51            0.1151                  0.0854349                  0.0427174
 108    2009  5\_9                 7  M                11.51            0.1151                  0.0854349                  0.0427174
 109    2009  5\_9                 8  M                11.51            0.1151                  0.0854349                  0.0427174
 110    2009  5\_9                 9  M                11.51            0.1151                  0.0854349                  0.0427174
 111    2009  10\_14              10  M                 8.84            0.0884                  0.0854349                  0.0427174
 112    2009  10\_14              11  M                 8.84            0.0884                  0.0854349                  0.0427174
 113    2009  10\_14              12  M                 8.84            0.0884                  0.0854349                  0.0427174
 114    2009  10\_14              13  M                 8.84            0.0884                  0.0854349                  0.0427174
 115    2009  10\_14              14  M                 8.84            0.0884                  0.0854349                  0.0427174
 116    2009  15\_19              15  M                25.99            0.2599                  0.230712                   0.115356
 117    2009  15\_19              16  M                25.99            0.2599                  0.230712                   0.115356
 118    2009  15\_19              17  M                25.99            0.2599                  0.230712                   0.115356
 119    2009  15\_19              18  M                25.99            0.2599                  0.230712                   0.115356
 120    2009  15\_19              19  M                25.99            0.2599                  0.230712                   0.115356
 121    2009  20\_24              20  M                 7.87            0.0787                  0.230712                   0.115356
 122    2009  20\_24              21  M                 7.87            0.0787                  0.230712                   0.115356
 123    2009  20\_24              22  M                 7.87            0.0787                  0.230712                   0.115356
 124    2009  20\_24              23  M                 7.87            0.0787                  0.230712                   0.115356
 125    2009  20\_24              24  M                 7.87            0.0787                  0.230712                   0.115356
 126    2009  25\_29              25  M                 8.31            0.0831                  0.230712                   0.115356
 127    2009  25\_29              26  M                 8.31            0.0831                  0.230712                   0.115356
 128    2009  25\_29              27  M                 8.31            0.0831                  0.230712                   0.115356
 129    2009  25\_29              28  M                 8.31            0.0831                  0.230712                   0.115356
 130    2009  25\_29              29  M                 8.31            0.0831                  0.230712                   0.115356
 131    2009  30\_34              30  M                14.48            0.1448                  0.230712                   0.115356
 132    2009  30\_34              31  M                14.48            0.1448                  0.230712                   0.115356
 133    2009  30\_34              32  M                14.48            0.1448                  0.230712                   0.115356
 134    2009  30\_34              33  M                14.48            0.1448                  0.230712                   0.115356
 135    2009  30\_34              34  M                14.48            0.1448                  0.230712                   0.115356
 136    2009  35\_39              35  M                21.13            0.2113                  0.230712                   0.115356
 137    2009  35\_39              36  M                21.13            0.2113                  0.230712                   0.115356
 138    2009  35\_39              37  M                21.13            0.2113                  0.230712                   0.115356
 139    2009  35\_39              38  M                21.13            0.2113                  0.230712                   0.115356
 140    2009  35\_39              39  M                21.13            0.2113                  0.230712                   0.115356
 141    2009  40\_44              40  M                26.91            0.2691                  0.230712                   0.115356
 142    2009  40\_44              41  M                26.91            0.2691                  0.230712                   0.115356
 143    2009  40\_44              42  M                26.91            0.2691                  0.230712                   0.115356
 144    2009  40\_44              43  M                26.91            0.2691                  0.230712                   0.115356
 145    2009  40\_44              44  M                26.91            0.2691                  0.230712                   0.115356
 146    2009  45\_49              45  M                32.41            0.3241                  0.230712                   0.115356
 147    2009  45\_49              46  M                32.41            0.3241                  0.230712                   0.115356
 148    2009  45\_49              47  M                32.41            0.3241                  0.230712                   0.115356
 149    2009  45\_49              48  M                32.41            0.3241                  0.230712                   0.115356
 150    2009  45\_49              49  M                32.41            0.3241                  0.230712                   0.115356
 151    2009  50\_54              50  M                37.95            0.3795                  0.230712                   0.115356
 152    2009  50\_54              51  M                37.95            0.3795                  0.230712                   0.115356
 153    2009  50\_54              52  M                37.95            0.3795                  0.230712                   0.115356
 154    2009  50\_54              53  M                37.95            0.3795                  0.230712                   0.115356
 155    2009  50\_54              54  M                37.95            0.3795                  0.230712                   0.115356
 156    2009  55\_59              55  M                37.55            0.3755                  0.230712                   0.115356
 157    2009  55\_59              56  M                37.55            0.3755                  0.230712                   0.115356
 158    2009  55\_59              57  M                37.55            0.3755                  0.230712                   0.115356
 159    2009  55\_59              58  M                37.55            0.3755                  0.230712                   0.115356
 160    2009  55\_59              59  M                37.55            0.3755                  0.230712                   0.115356
 161    2009  60\_64              60  M                36.54            0.3654                  0.230712                   0.115356
 162    2009  60\_64              61  M                36.54            0.3654                  0.230712                   0.115356
 163    2009  60\_64              62  M                36.54            0.3654                  0.230712                   0.115356
 164    2009  60\_64              63  M                36.54            0.3654                  0.230712                   0.115356
 165    2009  60\_64              64  M                36.54            0.3654                  0.230712                   0.115356
 166    2009  65\_69              65  M                36.07            0.3607                  0.230712                   0.115356
 167    2009  65\_69              66  M                36.07            0.3607                  0.230712                   0.115356
 168    2009  65\_69              67  M                36.07            0.3607                  0.230712                   0.115356
 169    2009  65\_69              68  M                36.07            0.3607                  0.230712                   0.115356
