children0 14 prev AIDSinfo (.csv)
=================================

:download:`Download original .csv file from GitHub <https://github.com/UCL/TLOmodel/raw/master/resources/ResourceFile_HIV/children0_14_prev_AIDSinfo.csv>`

====  ======  ============================  ==================  ===================  ================================  ===========================
  ..    year    number\_children\_infected    number\_children    prevalence\_0\_14    number\_new\_infections\_0\_14    incidence0\_14\_per1000py
====  ======  ============================  ==================  ===================  ================================  ===========================
   0    2010                      114235           6.96432e+06           0.016403                            13938.3                      2.00139
   1    2011                      112089           7.15937e+06           0.0156563                           13759                        1.92182
   2    2012                      108546           7.34441e+06           0.0147794                           10931.5                      1.48841
   3    2013                      105588           7.52223e+06           0.0140369                           10098.4                      1.34247
   4    2014                      102717           7.68946e+06           0.0133581                            8882.34                     1.15513
   5    2015                       98974.5         7.84686e+06           0.0126133                            7791.01                     0.992882
   6    2016                       93530.9         7.99157e+06           0.0117037                            6224.88                     0.778931
   7    2017                       87779.6         8.12934e+06           0.0107979                            5263.55                     0.647476
   8    2018                       81022           8.25776e+06           0.00981162                           4050.06                     0.490455
   9    2019                       75415           8.3807e+06            0.00899866                           3285.58                     0.392041
  10    2020                       69947.8         8.49502e+06           0.00823397                           3011.02                     0.354445
  11    2021                       64525.5         8.60066e+06           0.00750238                           2673.97                     0.310903
  12    2022                       58973.7         8.70164e+06           0.00677731                           2422.82                     0.278433
  13    2023                       53494.3         8.80038e+06           0.00607864                           2441.6                      0.277443
  14    2024                       48340.8         8.9004e+06            0.00543131                           2314.05                     0.259994
  15    2025                       43237.1         9.00361e+06           0.0048022                            2194.41                     0.243725
====  ======  ============================  ==================  ===================  ================================  ===========================
