unaids mortality dalys2021 (.csv)
=================================

:download:`Download original .csv file from GitHub <https://github.com/UCL/TLOmodel/raw/master/resources/ResourceFile_HIV/unaids_mortality_dalys2021.csv>`

====  ======  ============================  ===================================  ===================================  ===========  ==============  ==============
  ..    year    AIDS\_mortality\_per\_100k    AIDS\_mortality\_per\_100k\_lower    AIDS\_mortality\_per\_100k\_upper        DALYS    DALYS\_lower    DALYS\_upper
====  ======  ============================  ===================================  ===================================  ===========  ==============  ==============
   0    2010                        266.19                               227.98                               337.32  0               0               0
   1    2011                        226.88                               191.01                               293.17  0               0               0
   2    2012                        192.09                               160.85                               249.34  0               0               0
   3    2013                        155.45                               128.81                               207     0               0               0
   4    2014                        129.06                               105.83                               177.82  0               0               0
   5    2015                        115.61                                96.31                               160.23  6.61072e+06     6.41711e+06     6.94057e+06
   6    2016                        104.04                                87.82                               146.92  6.18625e+06     6.01196e+06     6.48415e+06
   7    2017                         96.6                                 83.32                               131.91  5.82144e+06     5.66934e+06     6.0805e+06
   8    2018                         85.1                                 74.75                               112.2   5.45984e+06     5.33984e+06     5.68001e+06
   9    2019                         74.91                                65.64                                95.31  5.13689e+06     5.03291e+06     5.31699e+06
  10    2020                         62.69                                54.3                                 83.98  4.81833e+06     4.72947e+06     5.01562e+06
  11    2021                         56.95                                48.08                                81.59  4.57073e+06     4.47102e+06     4.82312e+06
  12    2022                         52.71                                44.48                                73.98  4.34432e+06     4.25092e+06     4.56755e+06
  13    2023                         51.58                                43.21                                73.06  4.16281e+06     4.08084e+06     4.36919e+06
  14    2024                         49.56                                40.82                                70.05  3.98234e+06     3.90567e+06     4.17137e+06
  15    2025                         46.6                                 38.06                                66.03  3.80445e+06     3.7325e+06      3.97739e+06
  16    2026                         43.77                                35.68                                61.33  3.64976e+06     3.5826e+06      3.80754e+06
  17    2027                         41.16                                33.49                                57.45  3.48437e+06     3.41832e+06     3.62562e+06
  18    2028                         38.74                                31.45                                53.91  3.33566e+06     3.27019e+06     3.46402e+06
  19    2029                         36.65                                29.73                                50.83  3.19762e+06     3.13834e+06     3.31956e+06
  20    2030                         34.27                                27.71                                47.47  3.06133e+06     3.00645e+06     3.17691e+06
====  ======  ============================  ===================================  ===================================  ===========  ==============  ==============
