cases2010district (.csv)
========================

:download:`Download original .csv file from GitHub <https://github.com/UCL/TLOmodel/raw/master/resources/ResourceFile_TB/cases2010district.csv>`

====  =============  ========  =============  =======  ====================  ============  ============  ===============
  ..  district       region      cases\_2010      pop    proportion\_active    all\_cases    whole\_pop    general\_prob
====  =============  ========  =============  =======  ====================  ============  ============  ===============
   0  Balaka         Southern           1563   438379           0.00356541          50000      17563749       0.00284677
   1  Blantyre       Southern           1563   451220           0.00346394          50000      17563749       0.00284677
   2  Blantyre City  Southern           1563   800264           0.00195311          50000      17563749       0.00284677
   3  Chikwawa       Southern           1563   564684           0.00276792          50000      17563749       0.00284677
   4  Chiradzulu     Southern           1563   356875           0.00437968          50000      17563749       0.00284677
   5  Chitipa        Northern           1563   234927           0.00665313          50000      17563749       0.00284677
   6  Dedza          Central            1563   830512           0.00188197          50000      17563749       0.00284677
   7  Dowa           Central            1563   772569           0.00202312          50000      17563749       0.00284677
   8  Karonga        Northern           1563   365028           0.00428186          50000      17563749       0.00284677
   9  Kasungu        Central            1563   842953           0.0018542           50000      17563749       0.00284677
  10  Likoma         Northern           1563    14527           0.107593            50000      17563749       0.00284677
  11  Lilongwe       Central            1563  1637583           0.000954455         50000      17563749       0.00284677
  12  Lilongwe City  Central            1563   989318           0.00157988          50000      17563749       0.00284677
  13  Machinga       Southern           1563   735438           0.00212526          50000      17563749       0.00284677
  14  Mangochi       Southern           1563  1148611           0.00136077          50000      17563749       0.00284677
  15  Mchinji        Central            1563   602305           0.00259503          50000      17563749       0.00284677
  16  Mulanje        Southern           1563   684107           0.00228473          50000      17563749       0.00284677
  17  Mwanza         Southern           1563   130949           0.0119359           50000      17563749       0.00284677
  18  Mzimba         Northern           1563   936250           0.00166943          50000      17563749       0.00284677
  19  Mzuzu City     Northern           1563   221272           0.0070637           50000      17563749       0.00284677
  20  Neno           Southern           1563   138291           0.0113023           50000      17563749       0.00284677
  21  Nkhata Bay     Northern           1563   285795           0.00546896          50000      17563749       0.00284677
  22  Nkhotakota     Central            1563   395897           0.003948            50000      17563749       0.00284677
  23  Nsanje         Southern           1563   299168           0.00522449          50000      17563749       0.00284677
  24  Ntcheu         Central            1563   659608           0.00236959          50000      17563749       0.00284677
  25  Ntchisi        Central            1563   317069           0.00492953          50000      17563749       0.00284677
  26  Phalombe       Southern           1563   429450           0.00363954          50000      17563749       0.00284677
  27  Rumphi         Northern           1563   229161           0.00682053          50000      17563749       0.00284677
  28  Salima         Central            1563   478346           0.00326751          50000      17563749       0.00284677
  29  Thyolo         Southern           1563   721456           0.00216645          50000      17563749       0.00284677
  30  Zomba          Southern           1563   746724           0.00209314          50000      17563749       0.00284677
  31  Zomba City     Southern           1563   105013           0.0148839           50000      17563749       0.00284677
====  =============  ========  =============  =======  ====================  ============  ============  ===============
