Method Use In 2010 (.csv)
=========================

:download:`Download original .csv file from GitHub <https://github.com/UCL/TLOmodel/raw/master/resources/contraception/ResourceFile_Contraception/Method_Use_In_2010.csv>`

====  =====  ============  ==========  ===========  ============  =========  ==============  =======================  ===============  ======================  ============  ====================
  ..    age    not\_using        pill          IUD    injections    implant    male\_condom    female\_sterilization    other\_modern    periodic\_abstinence    withdrawal    other\_traditional
====  =====  ============  ==========  ===========  ============  =========  ==============  =======================  ===============  ======================  ============  ====================
   0     15      0.981541  0           0              0.00481541          0      0.0104334                0                0                      0.000802568    0.00160514           0
   1     16      0.956447  0           0.000853971    0.0187874           0      0.0204953                0                0                      0.00256191     0                    0.000853971
   2     17      0.917373  0.00105932  0              0.0413136           0      0.0275424                0                0                      0.00317797     0.00741525           0.00105932
   3     18      0.843715  0.00679502  0              0.103058            0      0.0396376                0                0                      0              0.00566251           0
   4     19      0.738693  0.0188442   0              0.182161            0      0.0376884                0                0                      0.00125628     0.0138191            0.00251256
   5     20      0.693305  0.0107991   0              0.218143            0      0.0410367                0.00431965       0                      0.00215983     0.0215983            0.00323974
   6     21      0.644362  0.0173482   0.00123916     0.272615            0      0.0371747                0.00123916       0                      0.00123916     0.00743494           0.00619579
   7     22      0.634744  0.018931    0              0.26392             0      0.0356347                0.00445434       0                      0.00556793     0.0155902            0.00668151
   8     23      0.642616  0.00676437  0.00225479     0.264938            0      0.0394588                0.00338219       0                      0.00789177     0.0124014            0.00676437
   9     24      0.588101  0.020595    0.00114416     0.286041            0      0.0297483                0.0125858        0                      0.00800915     0.0228833            0.00915332
  10     25      0.565121  0.0242826   0.00220751     0.30574             0      0.0375276                0.013245         0                      0.00662252     0.0198676            0.00551876
  11     26      0.551802  0.027027    0.00112613     0.324324            0      0.036036                 0.0202703        0                      0.00337838     0.0135135            0.00225225
  12     27      0.543316  0.031016    0.00106952     0.315508            0      0.0331551                0.0149733        0                      0.00534759     0.0192513            0.00534759
  13     28      0.555556  0.0400916   0.00343643     0.294387            0      0.0229095                0.0297824        0                      0.00801833     0.0171821            0.00229095
  14     29      0.54571   0.0323488   0.00140647     0.279887            0      0.0295359                0.04782          0.00140647             0.00703235     0.0140647            0.00984529
  15     30      0.535802  0.0234568   0              0.275309            0      0.0320988                0.0580247        0.00123457             0.0037037      0.0246914            0.0197531
  16     31      0.557351  0.0403877   0.00323102     0.250404            0      0.0258481                0.0662359        0                      0.00646204     0.0193861            0.00323102
  17     32      0.534107  0.0261248   0.00290276     0.2627              0      0.0275762                0.0885341        0                      0.0101597      0.0159652            0.00725689
  18     33      0.525483  0.0351494   0.00175747     0.237258            0      0.0193322                0.121265         0                      0.00702988     0.0210896            0.0123023
  19     34      0.535655  0.0281924   0.00829187     0.200663            0      0.0331675                0.127695         0.00165837             0.00829187     0.0215589            0.0149254
  20     35      0.515103  0.0286169   0.00158983     0.235294            0      0.0254372                0.133545         0.00158983             0.0063593      0.0206677            0.0158983
  21     36      0.497278  0.0344828   0              0.201452            0      0.0254083                0.168784         0.00181488             0.0108893      0.0290381            0.0127042
  22     37      0.551383  0.013834    0.00395257     0.179842            0      0.0177866                0.158103         0.00197628             0.00592885     0.0375494            0.0118577
  23     38      0.542169  0.0321285   0.00200803     0.150602            0      0.0200803                0.192771         0                      0.00401606     0.0200803            0.0220884
  24     39      0.524297  0.0332481   0.00767263     0.12532             0      0.0306905                0.219949         0.00767263             0.0102302      0.0230179            0.00767263
  25     40      0.502024  0.0202429   0              0.149798            0      0.0242915                0.238866         0                      0.0121457      0.01417              0.0323887
  26     41      0.559524  0.0238095   0              0.0982143           0      0.014881                 0.255952         0                      0.00892857     0.0119048            0.0208333
  27     42      0.580563  0.0127877   0              0.104859            0      0.0204604                0.230179         0                      0.0102302      0.0179028            0.0179028
  28     43      0.566038  0.0113208   0              0.132075            0      0.0188679                0.226415         0                      0.0226415      0.00754717           0.00754717
  29     44      0.580756  0.00687285  0              0.0721649           0      0.00687285               0.285223         0                      0.00687285     0.00687285           0.0309278
  30     45      0.601824  0.00607903  0              0.0547112           0      0.0334347                0.246201         0                      0.0121581      0.0243161            0.0182371
  31     46      0.558904  0.00547945  0.00273973     0.0657534           0      0.00547945               0.29589          0                      0.0109589      0.0109589            0.0383562
  32     47      0.642857  0.00571429  0              0.06                0      0.0114286                0.254286         0                      0              0.0142857            0.0114286
  33     48      0.651026  0           0.00293255     0.0381232           0      0.00293255               0.26393          0                      0.0058651      0.0117302            0.0234604
  34     49      0.705645  0.00806452  0              0.0322581           0      0.00403226               0.217742         0                      0              0.0120968            0.0201613
====  =====  ============  ==========  ===========  ============  =========  ==============  =======================  ===============  ======================  ============  ====================
