MAP IRSrates (.csv)
===================

:download:`Download original .csv file from GitHub <https://github.com/UCL/TLOmodel/raw/master/resources/malaria/ResourceFile_malaria/MAP_IRSrates.csv>`

====  ===============  =============  ======  ========  ==============  ============  ============  =============  ===========
  ..  Region           District         Year     value  prior\_label      prior\_min    prior\_max  prior\_note    reference
====  ===============  =============  ======  ========  ==============  ============  ============  =============  ===========
   0  Southern Region  Balaka           2010  0         local                      0             1  vague prior    MAP
   1  Southern Region  Balaka           2011  0         local                      0             1  vague prior    MAP
   2  Southern Region  Balaka           2012  0         local                      0             1  vague prior    MAP
   3  Southern Region  Balaka           2013  0         local                      0             1  vague prior    MAP
   4  Southern Region  Balaka           2014  0         local                      0             1  vague prior    MAP
   5  Southern Region  Balaka           2015  0         local                      0             1  vague prior    MAP
   6  Southern Region  Balaka           2016  0         local                      0             1  vague prior    MAP
   7  Southern Region  Balaka           2017  0         local                      0             1  vague prior    MAP
   8  Southern Region  Balaka           2018  0         local                      0             1  vague prior    MAP
   9  Southern Region  Blantyre         2010  0         local                      0             1  vague prior    MAP
  10  Southern Region  Blantyre         2011  0         local                      0             1  vague prior    MAP
  11  Southern Region  Blantyre         2012  0         local                      0             1  vague prior    MAP
  12  Southern Region  Blantyre         2013  0         local                      0             1  vague prior    MAP
  13  Southern Region  Blantyre         2014  0         local                      0             1  vague prior    MAP
  14  Southern Region  Blantyre         2015  0         local                      0             1  vague prior    MAP
  15  Southern Region  Blantyre         2016  0         local                      0             1  vague prior    MAP
  16  Southern Region  Blantyre         2017  0         local                      0             1  vague prior    MAP
  17  Southern Region  Blantyre         2018  0         local                      0             1  vague prior    MAP
  18  Southern Region  Blantyre City    2010  0         local                      0             1  vague prior    MAP
  19  Southern Region  Blantyre City    2011  0         local                      0             1  vague prior    MAP
  20  Southern Region  Blantyre City    2012  0         local                      0             1  vague prior    MAP
  21  Southern Region  Blantyre City    2013  0         local                      0             1  vague prior    MAP
  22  Southern Region  Blantyre City    2014  0         local                      0             1  vague prior    MAP
  23  Southern Region  Blantyre City    2015  0         local                      0             1  vague prior    MAP
  24  Southern Region  Blantyre City    2016  0         local                      0             1  vague prior    MAP
  25  Southern Region  Blantyre City    2017  0         local                      0             1  vague prior    MAP
  26  Southern Region  Blantyre City    2018  0         local                      0             1  vague prior    MAP
  27  Southern Region  Chikwawa         2010  0.458223  local                      0             1  vague prior    MAP
  28  Southern Region  Chikwawa         2011  0         local                      0             1  vague prior    MAP
  29  Southern Region  Chikwawa         2012  0.403927  local                      0             1  vague prior    MAP
  30  Southern Region  Chikwawa         2013  0         local                      0             1  vague prior    MAP
  31  Southern Region  Chikwawa         2014  0         local                      0             1  vague prior    MAP
  32  Southern Region  Chikwawa         2015  0         local                      0             1  vague prior    MAP
  33  Southern Region  Chikwawa         2016  0         local                      0             1  vague prior    MAP
  34  Southern Region  Chikwawa         2017  0         local                      0             1  vague prior    MAP
  35  Southern Region  Chikwawa         2018  0         local                      0             1  vague prior    MAP
  36  Southern Region  Chiradzulu       2010  0         local                      0             1  vague prior    MAP
  37  Southern Region  Chiradzulu       2011  0         local                      0             1  vague prior    MAP
  38  Southern Region  Chiradzulu       2012  0         local                      0             1  vague prior    MAP
  39  Southern Region  Chiradzulu       2013  0         local                      0             1  vague prior    MAP
  40  Southern Region  Chiradzulu       2014  0         local                      0             1  vague prior    MAP
  41  Southern Region  Chiradzulu       2015  0         local                      0             1  vague prior    MAP
  42  Southern Region  Chiradzulu       2016  0         local                      0             1  vague prior    MAP
  43  Southern Region  Chiradzulu       2017  0         local                      0             1  vague prior    MAP
  44  Southern Region  Chiradzulu       2018  0         local                      0             1  vague prior    MAP
  45  Northern Region  Chitipa          2010  0         local                      0             1  vague prior    MAP
  46  Northern Region  Chitipa          2011  0         local                      0             1  vague prior    MAP
  47  Northern Region  Chitipa          2012  0         local                      0             1  vague prior    MAP
  48  Northern Region  Chitipa          2013  0         local                      0             1  vague prior    MAP
  49  Northern Region  Chitipa          2014  0         local                      0             1  vague prior    MAP
  50  Northern Region  Chitipa          2015  0         local                      0             1  vague prior    MAP
  51  Northern Region  Chitipa          2016  0         local                      0             1  vague prior    MAP
  52  Northern Region  Chitipa          2017  0         local                      0             1  vague prior    MAP
  53  Northern Region  Chitipa          2018  0         local                      0             1  vague prior    MAP
  54  Central Region   Dedza            2010  0         local                      0             1  vague prior    MAP
  55  Central Region   Dedza            2011  0         local                      0             1  vague prior    MAP
  56  Central Region   Dedza            2012  0         local                      0             1  vague prior    MAP
  57  Central Region   Dedza            2013  0         local                      0             1  vague prior    MAP
  58  Central Region   Dedza            2014  0         local                      0             1  vague prior    MAP
  59  Central Region   Dedza            2015  0         local                      0             1  vague prior    MAP
  60  Central Region   Dedza            2016  0         local                      0             1  vague prior    MAP
  61  Central Region   Dedza            2017  0         local                      0             1  vague prior    MAP
  62  Central Region   Dedza            2018  0         local                      0             1  vague prior    MAP
  63  Central Region   Dowa             2010  0         local                      0             1  vague prior    MAP
