parameter_name,value,param_label,prior_min,prior_max,prior_note,reference
prob_seek_anc2,"[0.98, 0.98]",local,"[0.01, 0.01]","[100, 100]",vague prior,
prob_seek_anc3,"[0.55, 0.55]",local,"[0.55, 0.55]","[0.77, 0.77]",vague prior,
prob_seek_anc5,"[0.125, 0.125]",local,"[0.01, 0.01]","[100, 100]",vague prior,
prob_seek_anc6,"[0.0625, 0.0625]",local,"[0.01, 0.01]","[100, 100]",vague prior,
prob_seek_anc7,"[0.03125, 0.03125]",local,"[0.01, 0.01]","[100, 100]",vague prior,
prob_seek_anc8,"[0.03125, 0.03125]",local,"[0.01, 0.01]","[100, 100]",vague prior,
effect_of_ifa_for_resolving_anaemia,"[0.7, 0.7]",universal,"[0, 0]","[1, 1]",vague prior,
treatment_effect_blood_transfusion_anaemia,"[0.9, 0.9]",universal,"[0, 0]","[1, 1]",vague prior,
prob_intervention_delivered_urine_ds,"[0.53, 0.53]",local,"[0, 0]","[1, 1]",vague prior,
prob_intervention_delivered_bp,"[0.70, 0.69]",local,"[0, 0]","[1, 1]",vague prior,
prob_adherent_ifa,"[0.37, 0.34]",local,"[0, 0]","[1, 1]",vague prior,
prob_intervention_delivered_syph_test,"[0.43, 0.14]",local,"[0, 0]","[1, 1]",vague prior,
prob_intervention_delivered_gdm_test,"[0.48, 0.48]",local,"[0, 0]","[1, 1]",vague prior,
prob_delivery_modes_ec,"[[0,  0, 1], [0,  0, 1]]",local,"[0, 0, 0]","[1, 1, 1]",vague prior,
prob_delivery_modes_spe,"[[0.05,  0.05, 0.9], [0.05,  0.05, 0.9]]",local,"[0, 0, 0]","[1, 1, 1]",vague prior,
sensitivity_bp_monitoring,"[0.74, 0.74]",universal,"[0, 0]","[1, 1]",vague prior,
specificity_bp_monitoring,"[0.79, 0.79]",universal,"[0, 0]","[1, 1]",vague prior,
sensitivity_urine_protein_1_plus,"[0.541, 0.541]",universal,"[0, 0]","[1, 1]",vague prior,
specificity_urine_protein_1_plus,"[0.841, 0.841]",universal,"[0, 0]","[1, 1]",vague prior,
sensitivity_poc_hb_test,"[0.851, 0.851]",universal,"[0, 0]","[1, 1]",vague prior,
specificity_poc_hb_test,"[0.801, 0.801]",universal,"[0, 0]","[1, 1]",vague prior,
sensitivity_fbc_hb_test,"[1.0, 1.0]",universal,"[0, 0]","[1, 1]",vague prior,
specificity_fbc_hb_test,"[1.0, 1.0]",universal,"[0, 0]","[1, 1]",vague prior,
sensitivity_blood_test_glucose,"[1.0, 1.0]",universal,"[0, 0]","[1, 1]",vague prior,
specificity_blood_test_glucose,"[1.0, 1.0]",universal,"[0, 0]","[1, 1]",vague prior,
sensitivity_blood_test_syphilis,"[0.82, 0.82]",universal,"[0, 0]","[1, 1]",vague prior,
specificity_blood_test_syphilis,"[0.96, 0.96]",universal,"[0, 0]","[1, 1]",vague prior,
anc_gestational_age_weeks_anc2,20,local,16,24,vague prior,
anc_gestational_age_weeks_anc3,26,local,22,30,vague prior,
anc_gestational_age_weeks_anc4,30,local,26,34,vague prior,
anc_gestational_age_weeks_anc5,34,local,30,38,vague prior,
anc_gestational_age_weeks_anc6,36,local,32,40,vague prior,
anc_gestational_age_weeks_anc7,38,local,36,42,vague prior,
anc_gestational_age_weeks_anc8,40,local,38,42,vague prior,
anc_gestational_age_weeks_late_anc,42,local,40,44,vague prior,
gestational_age_weeks_upper_bound,50,undetermined,45,55,structural,
focused_anc_gestational_age_weeks_visit2,22,local,20,24,vague prior,
focused_anc_gestational_age_weeks_visit3,30,local,28,32,vague prior,
focused_anc_gestational_age_weeks_visit4,36,local,34,38,vague prior,
delivery_weeks_placental_abruption,28,local,26,30,vague prior,
delivery_weeks_placenta_praevia_severe,28,local,26,30,vague prior,
delivery_weeks_placenta_praevia_mild,37,local,35,39,vague prior,
delivery_weeks_prom_no_infection,37,local,35,39,vague prior,
delivery_weeks_chorioamnionitis,28,local,26,30,vague prior,
delivery_ga_weeks_cs,37,local,35,39,vague prior,
follow_up_days_anaemia,28,local,21,35,vague prior,
follow_up_days_gestational_diabetes,28,local,21,35,vague prior,
days_to_glycaemic_control_event,7,local,1,31,vague prior,
days_to_rupture_ectopic_untreated,7,local,3,14,vague prior,
beddays_default,1,local,1,5,vague prior,
beddays_postabortion,3,local,1,15,vague prior,
beddays_etopic_pregnancy,5,local,1,15,vague prior,
max_anc_visits,8,local,1,20,vague prior,
anc_consistency_threshold,4,local,1,20,vague prior,
bmi_min_gdm,4,local,1,10,vague prior,
avg_mother_weight_kg,65,local,40,120,vague prior,
