TLO_Sequela_Code,Sequela,Health state name,Health state lay description,disability weight,lower,uppper
0,Drug-susceptible tuberculosis,"Tuberculosis, not HIV infected","has a persistent cough and fever, is short of breath, feels weak, and has lost a lot of weight.",0.333,0.224,0.454
1,Multidrug-resistant tuberculosis without extensive drug resistance ,"Tuberculosis, not HIV infected","has a persistent cough and fever, is short of breath, feels weak, and has lost a lot of weight.",0.333,0.224,0.454
2,Extensively drug-resistant tuberculosis,"Tuberculosis, not HIV infected","has a persistent cough and fever, is short of breath, feels weak, and has lost a lot of weight.",0.333,0.224,0.454
3,Latent tuberculosis infection,Asymptomatic,--,,,
4,Drug-susceptible HIV/AIDS - Tuberculosis with severe anemia,"Tuberculosis, HIV infected and anemia, severe",(combined DW),0.495,0.353,0.64
5,Drug-susceptible HIV/AIDS - Tuberculosis with moderate anemia,"Tuberculosis, HIV infected and anemia, moderate",(combined DW),0.439,0.307,0.577
6,Drug-susceptible HIV/AIDS - Tuberculosis with mild anemia,"Tuberculosis, HIV infected and anemia, mild",(combined DW),0.411,0.278,0.551
7,Drug-susceptible HIV/AIDS - Tuberculosis without anemia,"Tuberculosis, HIV infected","has a persistent cough and fever, shortness of breath, night sweats, weakness and fatigue and severe weight loss.",0.408,0.274,0.549
8,Multidrug-resistant HIV/AIDS - Tuberculosis without extensive drug resistance with severe anemia,"Tuberculosis, HIV infected and anemia, severe",(combined DW),0.495,0.353,0.64
9,Multidrug-resistant HIV/AIDS - Tuberculosis without extensive drug resistance without anemia,"Tuberculosis, HIV infected","has a persistent cough and fever, shortness of breath, night sweats, weakness and fatigue and severe weight loss.",0.408,0.274,0.549
10,Multidrug-resistant HIV/AIDS - Tuberculosis without extensive drug resistance with moderate anemia,"Tuberculosis, HIV infected and anemia, moderate",(combined DW),0.439,0.307,0.577
11,Multidrug-resistant HIV/AIDS - Tuberculosis without extensive drug resistance with mild anemia,"Tuberculosis, HIV infected and anemia, mild",(combined DW),0.411,0.278,0.551
12,Extensively drug-resistant HIV/AIDS - Tuberculosis with mild anemia,"Tuberculosis, HIV infected and anemia, mild",(combined DW),0.411,0.278,0.551
13,Extensively drug-resistant HIV/AIDS - Tuberculosis with severe anemia,"Tuberculosis, HIV infected and anemia, severe",(combined DW),0.495,0.353,0.64
14,Extensively drug-resistant HIV/AIDS - Tuberculosis without anemia,"Tuberculosis, HIV infected","has a persistent cough and fever, shortness of breath, night sweats, weakness and fatigue and severe weight loss.",0.408,0.274,0.549
15,Extensively drug-resistant HIV/AIDS - Tuberculosis with moderate anemia,"Tuberculosis, HIV infected and anemia, moderate",(combined DW),0.439,0.307,0.577

16,Early HIV with severe anemia,"Anemia, severe; Generic uncomplicated disease anxiety",--,,,
17,Symptomatic HIV without anemia,"HIV cases, symptomatic, pre-AIDS","has weight loss, fatigue, and frequent infections.",0.274,0.184,0.377
18,Early HIV with mild anemia,"Anemia, mild; Generic uncomplicated disease anxiety",--,,,
19,AIDS without antiretroviral treatment without anemia,"AIDS cases, not receiving ARV treatment","has severe weight loss, weakness, fatigue, cough and fever, and frequent infections, skin rashes and diarrhea. ",0.582,0.406,0.743
20,AIDS with antiretroviral treatment without anemia,"HIV/AIDS cases, receiving ARV treatment",has occasional fevers and infections. The person takes daily medication that sometimes causes diarrhea.,0.078,0.052,0.111
21,Early HIV with moderate anemia,"Anemia, moderate; Generic uncomplicated disease anxiety",--,,,
22,Early HIV without anemia,Generic uncomplicated disease: anxiety about diagnosis,has a disease diagnosis that causes some worry but minimal interference with daily activities.,0.012,0.006,0.023
23,Symptomatic HIV with moderate anemia,"HIV cases, symptomatic, pre-AIDS and anemia, moderate",(combined DW),0.312,0.217,0.418
24,Symptomatic HIV with severe anemia,"HIV cases, symptomatic, pre-AIDS and anemia, severe",(combined DW),0.381,0.269,0.505
25,AIDS with antiretroviral treatment with mild anemia,"HIV/AIDS cases, receiving ARV treatment and anemia, mild",(combined DW),0.081,0.054,0.116
26,AIDS with antiretroviral treatment with moderate anemia,"HIV/AIDS cases, receiving ARV treatment and anemia, moderate",(combined DW),0.125,0.085,0.176
27,AIDS with antiretroviral treatment with severe anemia,"HIV/AIDS cases, receiving ARV treatment and anemia, severe",(combined DW),0.215,0.148,0.295
28,AIDS without antiretroviral treatment with mild anemia,"AIDS cases, not receiving ARV treatment and anemia, mild",(combined DW),0.583,0.409,0.743
29,AIDS without antiretroviral treatment with moderate anemia,"AIDS cases, not receiving ARV treatment and anemia, moderate",(combined DW),0.603,0.43,0.758
30,AIDS without antiretroviral treatment with severe anemia,"AIDS cases, not receiving ARV treatment and anemia, severe",(combined DW),0.642,0.47,0.792
31,Symptomatic HIV with mild anemia,"HIV cases, symptomatic, pre-AIDS and anemia, mild",(combined DW),0.277,0.189,0.379

