parameter_name,value,param_label,prior_min,prior_max,prior_note
init_prob_any_dr,"[0.4, 0.3, 0.3]",undetermined,"[0,0,0]","[1,1,1]",
rate_onset_to_mild_or_moderate_dr,0.29,local,0,1,
rate_mild_or_moderate_to_severe,0.5,local,0,1,
rate_severe_to_proliferative,0.07,local,0,1,
probs_for_dmo_when_dr_status_mild_or_moderate,"[0.7, 0.1, 0.2]",local,"[0,0,0]","[1,1,1]",
probs_for_dmo_when_dr_status_severe,"[0.3, 0.5, 0.2]",local,"[0,0,0]","[1,1,1]",
probs_for_dmo_when_dr_status_proliferative,"[0.1, 0.7, 0.2]",local,"[0,0,0]","[1,1,1]",
prob_eye_screening,0.07,local,0,1,
prob_repeat_laser,0.3,local,0,1,
prob_repeat_dmo_treatment,0.3,local,0,1,
rp_dr_ex_alc,1.1,local,0.01,100,
rp_dr_tobacco,1.3,local,0.01,100,
rp_dr_high_sugar,1.2,local,0.01,100,
rp_dr_low_ex,1.3,local,0.01,100,
rp_dr_urban,1.4,local,0.01,100,
prob_any_dmo,"[0.1, 0.2, 0.3, 0.4]",local,"[0,0,0,0]","[1,1,1,1]",
p_laser_success,0.8,universal,0,1,
next_screening_if_mild_or_moderate,12,scenario,6,24,
next_screening_if_severe,3,scenario,3,24,
rr_diabetes_duration_greater_than_15,0.8,universal,0,1,
prob_antivegf_success_clinically_significant,0.7,universal,0,1,
prob_focal_laser_success_clinically_significant,0.5,universal,0,1,
prob_laser_prc_success_proliferative,0.6,universal,0,1,
rr_progression_after_treatment,0.5,universal,0,1,
vision_transition_matrix_no_dr,"[[0.995,0.005,0,0], [0.005,0.985,0.010,0],[ 0,0.010,0.985,0.005],[0,0,0.005,0.995]]",local,"[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]]","[[1,1,1,1],[1,1,1,1],[1,1,1,1],[1,1,1,1]]",
vision_transition_matrix_sight_threatening,"[[0.970,0.025,0.005,0], [0.030,0.920,0.045,0.005], [0,0.050,0.890,0.060], [0,0,0.060,0.940]]",local,"[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]]","[[1,1,1,1],[1,1,1,1],[1,1,1,1],[1,1,1,1]]",
vision_transition_matrix_treated_sight_threatening,"[[0.995,0.005,0,0], [0.005,0.985,0.010,0],[ 0,0.010,0.985,0.005],[0,0,0.005,0.995]]",local,"[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]]","[[1,1,1,1],[1,1,1,1],[1,1,1,1],[1,1,1,1]]",
sensitivity_of_dilated_eye_exam_dr_dmo,0.8,universal,0,1,
