year,age  ,single_age,sex,art_coverage,prop_coverage,prop_coverage_revised,prop_coverage_reduced
2009,0_4  ,0,F,14.35,0.1435,0.085434855,0.042717428
2009,0_4  ,1,F,14.35,0.1435,0.085434855,0.042717428
2009,0_4  ,2,F,14.35,0.1435,0.085434855,0.042717428
2009,0_4  ,3,F,14.35,0.1435,0.085434855,0.042717428
2009,0_4  ,4,F,14.35,0.1435,0.085434855,0.042717428
2009,5_9  ,5,F,11.59,0.1159,0.085434855,0.042717428
2009,5_9  ,6,F,11.59,0.1159,0.085434855,0.042717428
2009,5_9  ,7,F,11.59,0.1159,0.085434855,0.042717428
2009,5_9  ,8,F,11.59,0.1159,0.085434855,0.042717428
2009,5_9  ,9,F,11.59,0.1159,0.085434855,0.042717428
2009,10_14,10,F,9.13,0.0913,0.085434855,0.042717428
2009,10_14,11,F,9.13,0.0913,0.085434855,0.042717428
2009,10_14,12,F,9.13,0.0913,0.085434855,0.042717428
2009,10_14,13,F,9.13,0.0913,0.085434855,0.042717428
2009,10_14,14,F,9.13,0.0913,0.085434855,0.042717428
2009,15_19,15,F,15.69,0.1569,0.249293126,0.124646563
2009,15_19,16,F,15.69,0.1569,0.249293126,0.124646563
2009,15_19,17,F,15.69,0.1569,0.249293126,0.124646563
2009,15_19,18,F,15.69,0.1569,0.249293126,0.124646563
2009,15_19,19,F,15.69,0.1569,0.249293126,0.124646563
2009,20_24,20,F,9.94,0.0994,0.249293126,0.124646563
2009,20_24,21,F,9.94,0.0994,0.249293126,0.124646563
2009,20_24,22,F,9.94,0.0994,0.249293126,0.124646563
2009,20_24,23,F,9.94,0.0994,0.249293126,0.124646563
2009,20_24,24,F,9.94,0.0994,0.249293126,0.124646563
2009,25_29,25,F,17.66,0.1766,0.249293126,0.124646563
2009,25_29,26,F,17.66,0.1766,0.249293126,0.124646563
2009,25_29,27,F,17.66,0.1766,0.249293126,0.124646563
2009,25_29,28,F,17.66,0.1766,0.249293126,0.124646563
2009,25_29,29,F,17.66,0.1766,0.249293126,0.124646563
2009,30_34,30,F,25.84,0.2584,0.249293126,0.124646563
2009,30_34,31,F,25.84,0.2584,0.249293126,0.124646563
2009,30_34,32,F,25.84,0.2584,0.249293126,0.124646563
2009,30_34,33,F,25.84,0.2584,0.249293126,0.124646563
2009,30_34,34,F,25.84,0.2584,0.249293126,0.124646563
2009,35_39,35,F,32.31,0.3231,0.249293126,0.124646563
2009,35_39,36,F,32.31,0.3231,0.249293126,0.124646563
2009,35_39,37,F,32.31,0.3231,0.249293126,0.124646563
2009,35_39,38,F,32.31,0.3231,0.249293126,0.124646563
2009,35_39,39,F,32.31,0.3231,0.249293126,0.124646563
2009,40_44,40,F,37.27,0.3727,0.249293126,0.124646563
2009,40_44,41,F,37.27,0.3727,0.249293126,0.124646563
2009,40_44,42,F,37.27,0.3727,0.249293126,0.124646563
2009,40_44,43,F,37.27,0.3727,0.249293126,0.124646563
2009,40_44,44,F,37.27,0.3727,0.249293126,0.124646563
2009,45_49,45,F,42.16,0.4216,0.249293126,0.124646563
2009,45_49,46,F,42.16,0.4216,0.249293126,0.124646563
2009,45_49,47,F,42.16,0.4216,0.249293126,0.124646563
2009,45_49,48,F,42.16,0.4216,0.249293126,0.124646563
2009,45_49,49,F,42.16,0.4216,0.249293126,0.124646563
2009,50_54,50,F,47.33,0.4733,0.249293126,0.124646563
2009,50_54,51,F,47.33,0.4733,0.249293126,0.124646563
2009,50_54,52,F,47.33,0.4733,0.249293126,0.124646563
2009,50_54,53,F,47.33,0.4733,0.249293126,0.124646563
2009,50_54,54,F,47.33,0.4733,0.249293126,0.124646563
2009,55_59,55,F,46.39,0.4639,0.249293126,0.124646563
2009,55_59,56,F,46.39,0.4639,0.249293126,0.124646563
2009,55_59,57,F,46.39,0.4639,0.249293126,0.124646563
