year,number_children_infected,number_children,prevalence_0_14,number_new_infections_0_14,incidence0_14_per1000py
2010,114235.3906,6964319.226,0.016402952,13938.3208,2.001390279
2011,112089.0524,7159373.133,0.015656266,13759.01861,1.921818902
2012,108546.1723,7344409.981,0.014779427,10931.47776,1.48840789
2013,105588.4805,7522230.035,0.014036859,10098.38459,1.342472185
2014,102716.9225,7689459.58,0.013358146,8882.336627,1.155131454
2015,98974.50474,7846858.057,0.012613266,7791.006914,0.992882356
2016,93530.90425,7991565.247,0.011703703,6224.87568,0.778930721
2017,87779.59955,8129335.041,0.010797882,5263.552707,0.647476415
2018,81021.99896,8257760.508,0.009811619,4050.06244,0.490455304
2019,75415.0023,8380695.559,0.008998657,3285.575562,0.392040916
2020,69947.75708,8495022.958,0.008233969,3011.019009,0.35444507
2021,64525.48368,8600663.506,0.007502384,2673.973633,0.31090318
2022,58973.72953,8701642.597,0.00677731,2422.822168,0.278432737
2023,53494.31063,8800380.154,0.006078636,2441.600458,0.277442612
2024,48340.84224,8900395.332,0.005431314,2314.049815,0.259994048
2025,43237.12031,9003608.534,0.004802199,2194.405975,0.243725165
