parameter_name,value,param_label,prior_min,prior_max,prior_note,reference,
beta,0.14379,undetermined,0,1,calibration,,previously_0.115
unaids_prevalence_adjustment_factor,1.1,local,0.01,100,vague prior,,
prob_mtct_untreated,0.22,universal,0,1,vague prior,rollins,
prob_mtct_treated,0,universal,0,1,vague prior,rollins,
prob_mtct_incident_preg,0.3,universal,0,1,vague prior,rollins,
monthly_prob_mtct_bf_untreated,0.01,universal,0,1,vague prior,rollins,
monthly_prob_mtct_bf_treated,0,universal,0,1,vague prior,rollins,
rr_fsw,7.8,universal,0.01,100,vague prior,,
rr_circumcision,0.4,local,0.01,100,vague prior,hallett2008,
rr_rural,0.52,local,0.01,100,vague prior,wingston_dhs_analysis,
rr_windex_poorer,0.96,local,0.01,100,vague prior,wingston_dhs_analysis,
rr_windex_middle,1.18,local,0.01,100,vague prior,wingston_dhs_analysis,
rr_windex_richer,1.19,local,0.01,100,vague prior,wingston_dhs_analysis,
rr_windex_richest,1.56,local,0.01,100,vague prior,wingston_dhs_analysis,
rr_sex_f,1.43,local,0.01,100,vague prior,wingston_dhs_analysis,
rr_edlevel_primary,1.18,local,0.01,100,vague prior,wingston_dhs_analysis,
rr_edlevel_secondary,1.15,local,0.01,100,vague prior,wingston_dhs_analysis,
rr_edlevel_higher,1,local,0.01,100,vague prior,wingston_dhs_analysis,
rr_schisto,2.3,universal,0.01,100,vague prior,Patel et al 2021,
rr_behaviour_change,0.75,local,0.01,100,vague prior,,
proportion_reduction_in_risk_of_hiv_aq_if_on_oral_prep,0.6,universal,0,1,vague prior,,
proportion_reduction_in_risk_of_hiv_aq_if_on_inj_prep,0.95,universal,0,1,vague prior,,
mean_months_between_aids_and_death,18,universal,1,24,vague prior,Assumption,
min_months_between_aids_and_death,0,universal,0,12,vague prior,,
mean_months_between_aids_and_death_infant,6,universal,1,24,vague prior,Assumption,
infection_to_death_weibull_shape_1519,2,local,0.01,100,vague prior,Todd et al. 2007 & Hallett et al 2008 PLoS Med,
infection_to_death_weibull_shape_2024,2,local,0.01,100,vague prior,,
infection_to_death_weibull_shape_2529,2,local,0.01,100,vague prior,,
infection_to_death_weibull_shape_3034,2,local,0.01,100,vague prior,,
infection_to_death_weibull_shape_3539,2,local,0.01,100,vague prior,,
infection_to_death_weibull_shape_4044,2,local,0.01,100,vague prior,,
infection_to_death_weibull_shape_4549,2,local,0.01,100,vague prior,,
infection_to_death_weibull_scale_1519,16,local,0.01,100,vague prior,,
infection_to_death_weibull_scale_2024,15.4,local,0.01,100,vague prior,,
infection_to_death_weibull_scale_2529,14.1,local,0.01,100,vague prior,,
infection_to_death_weibull_scale_3034,12.1,local,0.01,100,vague prior,,
infection_to_death_weibull_scale_3539,11,local,0.01,100,vague prior,,
infection_to_death_weibull_scale_4044,10.01,local,0.01,100,vague prior,,
infection_to_death_weibull_scale_4549,7.9,local,0.01,100,vague prior,,
art_default_to_aids_mean_years,5,universal,0.01,100,vague prior,,
prop_delayed_aids_onset,0.3,local,0,1,vague prior,,
mean_survival_for_infants_infected_prior_to_birth,1.08,local,0.01,100,vague prior,ferrand,
infection_to_death_infant_infection_after_birth_weibull_scale,16,local,0.01,100,vague prior,ferrand,
infection_to_death_infant_infection_after_birth_weibull_shape,2.7,local,0.01,100,vague prior,ferrand,
rr_test_hiv_positive,1.1,local,0.01,100,vague prior,,
hiv_testing_rate_adjustment,0.75,undetermined,0.01,100,calibration,,
prob_hiv_test_at_anc_or_delivery,0.95,local,0,1,vague prior,,
prob_hiv_test_for_newborn_infant,0.95,local,0,1,vague prior,,
prob_behav_chg_after_hiv_test,0.5,local,0,1,vague prior,,
prob_prep_for_fsw_after_hiv_test,0.11,undetermined,0,1,calibration,,
prob_prep_for_agyw,0.01,undetermined,0,1,calibration,,
prob_circ_after_hiv_test,0.05,undetermined,0,1,calibration,,
increase_in_prob_circ_2019,3,undetermined,0.01,100,calibration,,
prob_circ_for_child_before_2020,0.0128,undetermined,0,1,calibration,,This is estimated using DHIS2 vmmc cases and world bank population data 2015-2019.
prob_circ_for_child_from_2020,0.0008,undetermined,0,1,calibration,,From 2020 on as indicated by DHIS2 data and PEPFAR 2020 Country Operational Plan the <15 yrs circ cases should decline dramatically. The probability derived from 2020-2022 data is 0.0008 using the same estimation method.
probability_of_being_retained_on_prep_every_3_months,0.9,undetermined,0,1,calibration,,
probability_of_being_retained_on_art_every_3_months,0.95,local,0,1,vague prior,,
probability_of_seeking_further_art_appointment_if_drug_not_available,0.9,local,0,1,vague prior,,
probability_of_seeking_further_art_appointment_if_appointment_not_available,0.9,local,0,1,vague prior,,
prep_start_year,2018,scenario,2010,2050,vague prior,,
ART_age_cutoff_young_child,1,local,0,20,vague prior,,
ART_age_cutoff_older_child,10,local,0,20,vague prior,,
rel_probability_art_baseline_aids,10,local,0.01,100,vague prior,,
aids_tb_death_rate_with_tb_treatment,0.15,undetermined,0.01,100,calibration,,
aids_tb_death_rate_no_tb_treatment,0.5,undetermined,0.01,100,calibration,,
hiv_healthseekingbehaviour_cap,5,local,1,10,vague prior,,
initial_dispensation_period_months,3,local,1,24,vague prior,,
dispensation_min_days,1,local,1,14,vague prior,,
length_of_inpatient_stay_if_terminal,"[14,20]",local,"[1,2]","[50,51]",vague prior,,
type_of_scaleup,none,scenario,NA,NA,vague prior,,
selftest_start_year,2023,local,2010,2050,vague prior,,
scaleup_start_year,2025,scenario,2010,2050,vague prior,,
interval_for_viral_load_measurement_months,24,local,1,24,vague prior,,
annual_rate_selftest,0.07,local,0,1,calibration,,"need 800,000 in population of 19m (0.04), half are children, lm excludes on ART"
selftest_available,TRUE,local,NA,NA,design decision,,
young_adult_vls_factor,0.08,local,0,1,vague prior,,data from MOH MW
proportion_young_adult_on_art,0.15,local,0,1,vague prior,,mphia report
prob_receive_viral_load_test_result,0.6,local,0,1,vague prior,,data from MOH MW
sensitivity_viral_load_test,0.6,local,0,1,vague prior,,data from MOH MW
prob_of_viral_suppression_following_VL_test,0.5816,local,0,1,vague prior,,
viral_load_testing_start_year,2016,local,0,1,vague prior,,data from MOH MW
delay_from_viral_load_to_result_months_min,3,local,0,5,vague prior,,
delay_from_viral_load_to_result_months_max,7,local,0,12,vague prior,,
tdf_test_replace_vl_test,FALSE,scenario,NA,NA,vague prior,,
targeted_adherence_monitoring,FALSE,scenario,NA,NA,vague prior,,
p_tdf_positive_given_suppressed,0.939,universal,0,1,vague prior,,https://pmc.ncbi.nlm.nih.gov/articles/PMC10514373/
p_tdf_positive_given_not_suppressed,0.353,universal,0,1,vague prior,,
injectable_prep_allowed,FALSE,scenario,NA,NA,vague prior,,
prob_injectable_prep_vs_oral,0.7,scenario,0,1,vague prior,,
linked_to_care_after_selftest,0.563,local,0,1,vague prior,,https://journals.plos.org/plosmedicine/article?id=10.1371%2Fjournal.pmed.1001873#sec019
selftest_sensitivity,0.9,universal,0,1,vague prior,,https://gh.bmj.com/content/8/7/e012664#ref-10
delay_from_selftest_to_facility_weibull_shape,0.454,local,0,1,vague prior,,fitted distr using data from https://peercommunityjournal.org/articles/10.24072/pcjournal.428/
delay_from_selftest_to_facility_weibull_scale,13,local,0,1,vague prior,,
hiv_regular_polling_event_frequency_months,12,undetermined,1,12,design decision,,
regular_polling_event_initialisation_delay_days,0,undetermined,0,7,design decision,,
hiv_check_properties_event_delay_months,1,undetermined,1,12,design decision,,
baseline_year,2010,undetermined,2000,2020,design decision,,
end_year_circumcision_data,2020,local,2010,2050,vague prior,,
end_year_treatment_data,2025,local,2010,2050,vague prior,,
end_year_testing_data,2020,local,2010,2050,vague prior,,
years_since_infection_threshold_for_higher_art_probability,10,local,0,100,vague prior,,
years_offset_for_dummy_test_date_at_baseline,3,local,0,100,vague prior,,
age_threshold_child_adult_distinction,15,local,0,20,vague prior,,
age_max_adult,80,local,0,100,vague prior,,
age_max_infant,5,local,0,20,vague prior,,
age_default_adult,20,local,0,100,vague prior,,
age_default_children,5,local,0,20,vague prior,,
age_min_agyw,15,local,10,20,vague prior,,
age_max_agyw,30,local,20,40,vague prior,,
age_max_prep,30,local,20,40,vague prior,,
age_max_hiv_early_infant_test_years,1,local,0,5,vague prior,,
age_max_prophylaxis_years,1.5,local,0,3,vague prior,,
hiv_infection_to_aids_untreated_threshold_years,10,universal,5,20,vague prior,,
prop_aids_death_is_tb_coinfection,0.3,universal,0,1,vague prior,,
aids_death_beddays_default,17,local,5,50,vague prior,,
hiv_early_infant_test_sensitivity,0.999999,universal,0,1,vague prior,,
hiv_early_infant_test_specificity,0.999999,universal,0,1,vague prior,,
hv_min_test_interval_days,7,local,0,14,vague prior,,
