year,probability_infection,scaled_prob,Unnamed: 3,Unnamed: 4,Unnamed: 5,Distribution by CD4 count - HIV+ not on ART (15+) - (Male+Female),Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
21,0.010699746852040198,0.012328695133096774,,,,,> 500,350 - 500,250 - 349,200 - 249,100 - 199,50 - 99,< 50,total,total_under_CD4_200,prop_under_CD4_200
20,0.014501051652276439,0.01670871726241975,,,,malawi_2021_v14_aim_v6.07,,,,,,,,,,
19,0.01840303117572583,0.021204741011899488,,,,2010,150189.14229,134383.22199,114415.4995,52950.4893,77739.93484,28957.76557,20245.60225,578881.6557400001,276527.80605,0.3504380213084443
18,0.022511048340238243,0.025938169935327247,,,,,,,,,,,,,,
17,0.026405220992687228,0.03042519828203359,,,,Distribution by CD4 count - HIV+ on ART (15+) - (Male+Female),,,,,,,,,,
16,0.030551138607722798,0.03520229768723709,,,,,> 500,350 - 500,250 - 349,200 - 249,100 - 199,50 - 99,< 50,,,
15,0.03383976966579671,0.038991595722124316,,,,malawi_2021_v14_aim_v6.07,,,,,,,,,,
14,0.038358261155049915,0.04419799030349454,,,,2010,6268.17276,5523.92113,4618.85403,44214.79861,77016.22359,36469.29667,36098.98313,210210.24992,,
13,0.042345406993763435,0.048792146237877365,,,,,,,,,,,,,,
12,0.04522939599425812,0.05211519879659503,,,,,,,,,,,,,,
11,0.048196342757102405,0.05553383875332081,,,,,,,,,,,,,,
10,0.04955432936763462,0.057098567634068745,,,,,,,,,,,,,,
9,0.05121436236416631,0.0590113269739047,,,,,,,,,,,,,,
8,0.05225751647306904,0.060213292699200976,,,,,,,,,,,,,,
7,0.0536666033800113,0.061836901475367204,,,,,,,,,,,,,,
6,0.054484273079151595,0.06277905464774337,,,,,,,,,,,,,,
5,0.055623765113027,0.0640920249531636,,,,,,,,,,,,,,
4,0.055862027710282605,0.064366561067317,,,,,,,,,,,,,,
3,0.05575628816232283,0.06424472354458542,,,,,,,,,,,,,,
2,0.05492528283042613,0.06328720449926532,,,,,,,,,,,,,,
1,0.0534885608001305,0.06163175337995765,,,,,,,,,,,,,,
