year,AIDS_mortality_per_100k,DALYS,DALYS_lower,DALYS_upper
2010,278.2832333,0,0,0
2011,279.1624283,0,0,0
2012,270.9030864,0,0,0
2013,221.5097605,0,0,0
2014,166.0079868,0,0,0
2015,168.9991774,6610724,6417112,6940574
2016,164.1054998,6186249,6011955,6484153
2017,142.1301931,5821436,5669342,6080502
2018,126.6399467,5459844,5339837,5680006
2019,107.2518841,5136893,5032909,5316987
2020,102.887585,4818334,4729471,5015623
2021,94.90517165,4570730,4471017,4823125
2022,87.08376204,4344324,4250915,4567552
2023,80.6385182,4162808,4080844,4369191
2024,71.02644823,3982335,3905668,4171366
2025,65.7828072,3804446,3732505,3977393
2026,,3649755,3582605,3807542
2027,,3484374,3418325,3625624
2028,,3335655,3270194,3464023
2029,,3197620,3138340,3319564
2030,,3061331,3006448,3176908
