year,age  ,single_age,sex,art_coverage,prop_coverage
2009,0_4  ,0         ,F  ,10.69       ,0.1069
2009,0_4  ,1         ,F  ,10.69       ,0.1069
2009,0_4  ,2         ,F  ,10.69       ,0.1069
2009,0_4  ,3         ,F  ,10.69       ,0.1069
2009,0_4  ,4         ,F  ,10.69       ,0.1069
2009,5_9  ,5         ,F  ,7.6         ,0.076
2009,5_9  ,6         ,F  ,7.6         ,0.076
2009,5_9  ,7         ,F  ,7.6         ,0.076
2009,5_9  ,8         ,F  ,7.6         ,0.076
2009,5_9  ,9         ,F  ,7.6         ,0.076
2009,10_14,10        ,F  ,6.74        ,0.0674
2009,10_14,11        ,F  ,6.74        ,0.0674
2009,10_14,12        ,F  ,6.74        ,0.0674
2009,10_14,13        ,F  ,6.74        ,0.0674
2009,10_14,14        ,F  ,6.74        ,0.0674
2009,15_19,15        ,F  ,12.18       ,0.1218
2009,15_19,16        ,F  ,12.18       ,0.1218
2009,15_19,17        ,F  ,12.18       ,0.1218
2009,15_19,18        ,F  ,12.18       ,0.1218
2009,15_19,19        ,F  ,12.18       ,0.1218
2009,20_24,20        ,F  ,7.59        ,0.0759
2009,20_24,21        ,F  ,7.59        ,0.0759
2009,20_24,22        ,F  ,7.59        ,0.0759
2009,20_24,23        ,F  ,7.59        ,0.0759
2009,20_24,24        ,F  ,7.59        ,0.0759
2009,25_29,25        ,F  ,14.38       ,0.1438
2009,25_29,26        ,F  ,14.38       ,0.1438
2009,25_29,27        ,F  ,14.38       ,0.1438
2009,25_29,28        ,F  ,14.38       ,0.1438
2009,25_29,29        ,F  ,14.38       ,0.1438
2009,30_34,30        ,F  ,20.87       ,0.2087
2009,30_34,31        ,F  ,20.87       ,0.2087
2009,30_34,32        ,F  ,20.87       ,0.2087
2009,30_34,33        ,F  ,20.87       ,0.2087
2009,30_34,34        ,F  ,20.87       ,0.2087
2009,35_39,35        ,F  ,25.8        ,0.258
2009,35_39,36        ,F  ,25.8        ,0.258
2009,35_39,37        ,F  ,25.8        ,0.258
2009,35_39,38        ,F  ,25.8        ,0.258
2009,35_39,39        ,F  ,25.8        ,0.258
2009,40_44,40        ,F  ,29.72       ,0.2972
2009,40_44,41        ,F  ,29.72       ,0.2972
2009,40_44,42        ,F  ,29.72       ,0.2972
2009,40_44,43        ,F  ,29.72       ,0.2972
2009,40_44,44        ,F  ,29.72       ,0.2972
2009,45_49,45        ,F  ,34.18       ,0.3418
2009,45_49,46        ,F  ,34.18       ,0.3418
2009,45_49,47        ,F  ,34.18       ,0.3418
2009,45_49,48        ,F  ,34.18       ,0.3418
2009,45_49,49        ,F  ,34.18       ,0.3418
2009,50_54,50        ,F  ,38.78       ,0.3878
2009,50_54,51        ,F  ,38.78       ,0.3878
