age_from,age_to,year,sex,pop_size,prev ,prev_prop
0       ,0     ,2010,F,290951  ,4921 ,0.016913501
1       ,1     ,2010,F,279629  ,5194 ,0.018574611
2       ,2     ,2010,F,269211  ,5444 ,0.020222056
3       ,3     ,2010,F,259626  ,5537 ,0.021326832
4       ,4     ,2010,F,250803  ,5395 ,0.021510907
5       ,5     ,2010,F,242668  ,5419 ,0.022330921
6       ,6     ,2010,F,235152  ,5408 ,0.022997891
7       ,7     ,2010,F,228181  ,5342 ,0.023411239
8       ,8     ,2010,F,221685  ,5229 ,0.023587523
9       ,9     ,2010,F,215590  ,5093 ,0.023623545
10      ,10    ,2010,F,209889  ,4915 ,0.02341714
11      ,11    ,2010,F,204569  ,4694 ,0.022945803
12      ,12    ,2010,F,199251  ,4418 ,0.022173038
13      ,13    ,2010,F,193741  ,4103 ,0.021177758
14      ,14    ,2010,F,188151  ,3746 ,0.019909541
15      ,15    ,2010,F,182718  ,3984 ,0.021804092
16      ,16    ,2010,F,177308  ,4751 ,0.026795181
17      ,17    ,2010,F,172159  ,5783 ,0.033591041
18      ,18    ,2010,F,167381  ,6988 ,0.041749064
19      ,19    ,2010,F,162782  ,8474 ,0.052057353
20      ,20    ,2010,F,158195  ,9813 ,0.062031038
21      ,21    ,2010,F,153823  ,11073,0.071985334
22      ,22    ,2010,F,148590  ,11980,0.080624537
23      ,23    ,2010,F,141995  ,12784,0.090031339
24      ,24    ,2010,F,134608  ,13419,0.099689469
25      ,25    ,2010,F,127415  ,14039,0.110183259
26      ,26    ,2010,F,120117  ,14890,0.12396247
27      ,27    ,2010,F,113769  ,15914,0.139879932
28      ,28    ,2010,F,108961  ,16881,0.154926992
29      ,29    ,2010,F,105161  ,17713,0.168436968
30      ,30    ,2010,F,101286  ,18358,0.181249136
31      ,31    ,2010,F,97601   ,18758,0.192190654
32      ,32    ,2010,F,93629   ,18881,0.201657606
33      ,33    ,2010,F,89039   ,18808,0.21123328
34      ,34    ,2010,F,84121   ,18557,0.220598899
35      ,35    ,2010,F,79492   ,18013,0.226601419
36      ,36    ,2010,F,75030   ,17304,0.230627749
37      ,37    ,2010,F,70857   ,16460,0.232298855
38      ,38    ,2010,F,67095   ,15520,0.231313809
39      ,39    ,2010,F,63664   ,14520,0.22807238
40      ,40    ,2010,F,60343   ,12480,0.206817692
41      ,41    ,2010,F,57163   ,11805,0.206514704
42      ,42    ,2010,F,54226   ,11141,0.205454948
43      ,43    ,2010,F,51558   ,10489,0.203440785
44      ,44    ,2010,F,49122   ,9857 ,0.200663654
45      ,45    ,2010,F,46837   ,8644 ,0.184554946
46      ,46    ,2010,F,44700   ,7775 ,0.17393736
47      ,47    ,2010,F,42728   ,6998 ,0.163780191
48      ,48    ,2010,F,40914   ,6322 ,0.154519235
49      ,49    ,2010,F,39237   ,5732 ,0.146086602
50      ,50    ,2010,F,37705   ,5205 ,0.138045352
51      ,51    ,2010,F,36349   ,4719 ,0.129824754
52      ,52    ,2010,F,34940   ,4252 ,0.121694333
53      ,53    ,2010,F,33378   ,3803 ,0.113937324
54      ,54    ,2010,F,31774   ,3387 ,0.106596588
55      ,55    ,2010,F,30268   ,3007 ,0.099345844
56      ,56    ,2010,F,28745   ,2683 ,0.093337972
57      ,57    ,2010,F,27692   ,2427 ,0.08764264
58      ,58    ,2010,F,27338   ,2241 ,0.081973809
59      ,59    ,2010,F,27408   ,2103 ,0.076729422
60      ,60    ,2010,F,27430   ,1994 ,0.072694131
61      ,61    ,2010,F,27538   ,1887 ,0.068523495
62      ,62    ,2010,F,27217   ,1763 ,0.064775692
63      ,63    ,2010,F,26177   ,1612 ,0.061580777
64      ,64    ,2010,F,24667   ,1448 ,0.058701909
65      ,65    ,2010,F,23238   ,1291 ,0.055555556
66      ,66    ,2010,F,21788   ,1152 ,0.052873141
67      ,67    ,2010,F,20377   ,1028 ,0.050449036
68      ,68    ,2010,F,19092   ,921  ,0.048240101
69      ,69    ,2010,F,17886   ,826  ,0.046181371
70      ,70    ,2010,F,16632   ,738  ,0.044372294
71      ,71    ,2010,F,15362   ,652  ,0.04244239
72      ,72    ,2010,F,14119   ,574  ,0.040654437
73      ,73    ,2010,F,12917   ,503  ,0.038940931
74      ,74    ,2010,F,11756   ,438  ,0.037257571
75      ,75    ,2010,F,10624   ,380  ,0.035768072
76      ,76    ,2010,F,9525    ,327  ,0.034330709
77      ,77    ,2010,F,8491    ,280  ,0.032976092
78      ,78    ,2010,F,7537    ,239  ,0.03171023
79      ,79    ,2010,F,6654    ,203  ,0.030507965
80      ,80    ,2010,F,5817    ,625  ,0.1074437
0       ,0     ,2011,F,290752  ,3892 ,0.013385978
1       ,1     ,2011,F,287924  ,4833 ,0.01678568
2       ,2     ,2011,F,277773  ,5171 ,0.01861592
3       ,3     ,2011,F,268152  ,5164 ,0.019257734
4       ,4     ,2011,F,259047  ,5248 ,0.020258872
5       ,5     ,2011,F,250445  ,5205 ,0.020783006
6       ,6     ,2011,F,242277  ,5226 ,0.021570351
7       ,7     ,2011,F,234478  ,5202 ,0.02218545
8       ,8     ,2011,F,227302  ,5124 ,0.022542697
9       ,9     ,2011,F,220843  ,5005 ,0.022663159
10      ,10    ,2011,F,214926  ,4868 ,0.022649656
11      ,11    ,2011,F,209273  ,4692 ,0.022420475
12      ,12    ,2011,F,203927  ,4473 ,0.02193432
13      ,13    ,2011,F,198590  ,4204 ,0.021169243
14      ,14    ,2011,F,193082  ,3901 ,0.020203851
15      ,15    ,2011,F,187505  ,4128 ,0.022015413
16      ,16    ,2011,F,182074  ,4856 ,0.026670475
17      ,17    ,2011,F,176661  ,5855 ,0.033142572
18      ,18    ,2011,F,171501  ,6981 ,0.040705302
19      ,19    ,2011,F,166702  ,8189 ,0.049123586
20      ,20    ,2011,F,162075  ,9678 ,0.059713096
21      ,21    ,2011,F,157459  ,10979,0.069726087
22      ,22    ,2011,F,153056  ,12161,0.079454579
23      ,23    ,2011,F,147795  ,12940,0.087553706
24      ,24    ,2011,F,141182  ,13605,0.096364976
25      ,25    ,2011,F,133782  ,14091,0.105328071
26      ,26    ,2011,F,126574  ,14554,0.11498412
27      ,27    ,2011,F,119265  ,15285,0.12815998
28      ,28    ,2011,F,112899  ,16210,0.14357966
29      ,29    ,2011,F,108062  ,17084,0.158094427
30      ,30    ,2011,F,104228  ,17829,0.171057681
31      ,31    ,2011,F,100323  ,18392,0.183327851
32      ,32    ,2011,F,96611   ,18719,0.193756405
33      ,33    ,2011,F,92624   ,18781,0.202766022
34      ,34    ,2011,F,88038   ,18658,0.211931212
35      ,35    ,2011,F,83137   ,18246,0.219469069
36      ,36    ,2011,F,78527   ,17661,0.224903536
37      ,37    ,2011,F,74086   ,16926,0.228464217
38      ,38    ,2011,F,69944   ,16073,0.229798124
39      ,39    ,2011,F,66228   ,15140,0.228604216
40      ,40    ,2011,F,62850   ,14155,0.225218775
41      ,41    ,2011,F,59585   ,12162,0.204111773
42      ,42    ,2011,F,56463   ,11503,0.203726334
43      ,43    ,2011,F,53577   ,10856,0.20262426
44      ,44    ,2011,F,50948   ,10223,0.20065557
45      ,45    ,2011,F,48542   ,9660 ,0.199002925
46      ,46    ,2011,F,46288   ,8446 ,0.182466298
47      ,47    ,2011,F,44180   ,7589 ,0.171774559
48      ,48    ,2011,F,42235   ,6832 ,0.161761572
49      ,49    ,2011,F,40444   ,6175 ,0.152680249
50      ,50    ,2011,F,38786   ,5603 ,0.144459341
51      ,51    ,2011,F,37270   ,5091 ,0.1365978
52      ,52    ,2011,F,35925   ,4619 ,0.128573417
53      ,53    ,2011,F,34528   ,4165 ,0.120626738
54      ,54    ,2011,F,32979   ,3726 ,0.112980988
55      ,55    ,2011,F,31387   ,3320 ,0.105776277
56      ,56    ,2011,F,29891   ,2949 ,0.098658459
57      ,57    ,2011,F,28374   ,2632 ,0.092760978
58      ,58    ,2011,F,27319   ,2381 ,0.08715546
59      ,59    ,2011,F,26950   ,2199 ,0.081595547
60      ,60    ,2011,F,26995   ,2063 ,0.07642156
61      ,61    ,2011,F,26990   ,1955 ,0.072434235
62      ,62    ,2011,F,27070   ,1848 ,0.068267455
63      ,63    ,2011,F,26723   ,1726 ,0.064588557
64      ,64    ,2011,F,25662   ,1577 ,0.061452732
65      ,65    ,2011,F,24136   ,1415 ,0.058626119
66      ,66    ,2011,F,22689   ,1259 ,0.055489444
67      ,67    ,2011,F,21221   ,1122 ,0.052872155
68      ,68    ,2011,F,19791   ,999  ,0.05047749
69      ,69    ,2011,F,18483   ,893  ,0.048314668
70      ,70    ,2011,F,17253   ,799  ,0.046310787
71      ,71    ,2011,F,15978   ,711  ,0.044498686
72      ,72    ,2011,F,14689   ,626  ,0.042616924
73      ,73    ,2011,F,13433   ,549  ,0.0408695
74      ,74    ,2011,F,12222   ,479  ,0.039191622
75      ,75    ,2011,F,11057   ,415  ,0.037532785
76      ,76    ,2011,F,9926    ,357  ,0.03596615
77      ,77    ,2011,F,8831    ,305  ,0.034537425
78      ,78    ,2011,F,7808    ,259  ,0.033171107
79      ,79    ,2011,F,6876    ,219  ,0.031849913
80      ,80    ,2011,F,6022    ,687  ,0.1140817
0       ,0     ,2012,F,287676  ,3279 ,0.01139824
1       ,1     ,2012,F,282589  ,3803 ,0.013457707
2       ,2     ,2012,F,285495  ,4764 ,0.016686807
3       ,3     ,2012,F,276494  ,4936 ,0.017852105
4       ,4     ,2012,F,267648  ,4914 ,0.018359935
5       ,5     ,2012,F,259003  ,5073 ,0.019586646
6       ,6     ,2012,F,250603  ,5029 ,0.020067597
7       ,7     ,2012,F,242386  ,5043 ,0.020805657
8       ,8     ,2012,F,234288  ,5007 ,0.021371133
9       ,9     ,2012,F,226892  ,4921 ,0.021688733
10      ,10    ,2012,F,220457  ,4800 ,0.021772953
11      ,11    ,2012,F,214705  ,4660 ,0.021704199
12      ,12    ,2012,F,209089  ,4485 ,0.021450196
13      ,13    ,2012,F,203706  ,4268 ,0.020951764
14      ,14    ,2012,F,198339  ,4009 ,0.020212868
15      ,15    ,2012,F,192822  ,4247 ,0.022025495
16      ,16    ,2012,F,187247  ,4921 ,0.026280795
17      ,17    ,2012,F,181807  ,5871 ,0.032292486
18      ,18    ,2012,F,176380  ,6951 ,0.03940923
19      ,19    ,2012,F,171197  ,8077 ,0.047179565
20      ,20    ,2012,F,166367  ,9262 ,0.055672098
21      ,21    ,2012,F,161702  ,10752,0.066492684
22      ,22    ,2012,F,157048  ,11996,0.07638429
23      ,23    ,2012,F,152605  ,13088,0.0857639
24      ,24    ,2012,F,147307  ,13740,0.09327459
25      ,25    ,2012,F,140661  ,14280,0.101520677
26      ,26    ,2012,F,133232  ,14614,0.109688363
27      ,27    ,2012,F,125996  ,14953,0.118678371
28      ,28    ,2012,F,118661  ,15586,0.131348969
29      ,29    ,2012,F,112264  ,16427,0.146324735
30      ,30    ,2012,F,107388  ,17220,0.160353112
31      ,31    ,2012,F,103511  ,17888,0.172812551
32      ,32    ,2012,F,99569   ,18382,0.184615694
33      ,33    ,2012,F,95822   ,18649,0.194621277
34      ,34    ,2012,F,91812   ,18660,0.203241406
35      ,35    ,2012,F,87220   ,18403,0.210995185
36      ,36    ,2012,F,82326   ,17947,0.217999174
37      ,37    ,2012,F,77726   ,17332,0.222988447
38      ,38    ,2012,F,73296   ,16585,0.226274285
39      ,39    ,2012,F,69177   ,15734,0.227445538
40      ,40    ,2012,F,65498   ,14812,0.22614431
41      ,41    ,2012,F,62168   ,13844,0.222686913
42      ,42    ,2012,F,58951   ,11892,0.201726858
43      ,43    ,2012,F,55880   ,11247,0.20127058
44      ,44    ,2012,F,53040   ,10615,0.200131976
45      ,45    ,2012,F,50444   ,10049,0.199211006
46      ,46    ,2012,F,48063   ,9475 ,0.197137091
47      ,47    ,2012,F,45835   ,8277 ,0.180582524
48      ,48    ,2012,F,43753   ,7439 ,0.170022627
49      ,49    ,2012,F,41829   ,6700 ,0.160175954
50      ,50    ,2012,F,40058   ,6059 ,0.151255679
51      ,51    ,2012,F,38415   ,5500 ,0.14317324
52      ,52    ,2012,F,36912   ,5000 ,0.135457304
53      ,53    ,2012,F,35576   ,4538 ,0.127557904
54      ,54    ,2012,F,34188   ,4093 ,0.11972037
55      ,55    ,2012,F,32649   ,3664 ,0.112223958
56      ,56    ,2012,F,31066   ,3265 ,0.105098822
57      ,57    ,2012,F,29575   ,2901 ,0.098089603
58      ,58    ,2012,F,28063   ,2589 ,0.092256708
59      ,59    ,2012,F,27004   ,2342 ,0.086727892
60      ,60    ,2012,F,26618   ,2162 ,0.081223232
61      ,61    ,2012,F,26637   ,2027 ,0.076097158
62      ,62    ,2012,F,26607   ,1920 ,0.072161461
63      ,63    ,2012,F,26658   ,1814 ,0.068047115
64      ,64    ,2012,F,26285   ,1693 ,0.064409359
65      ,65    ,2012,F,25202   ,1545 ,0.061304658
66      ,66    ,2012,F,23655   ,1384 ,0.058507715
67      ,67    ,2012,F,22187   ,1230 ,0.055437869
68      ,68    ,2012,F,20699   ,1094 ,0.052852795
69      ,69    ,2012,F,19246   ,972  ,0.050504001
70      ,70    ,2012,F,17913   ,866  ,0.048344778
71      ,71    ,2012,F,16657   ,773  ,0.046406916
72      ,72    ,2012,F,15358   ,685  ,0.044602162
73      ,73    ,2012,F,14049   ,601  ,0.042778845
74      ,74    ,2012,F,12775   ,525  ,0.04109589
75      ,75    ,2012,F,11553   ,455  ,0.03938371
76      ,76    ,2012,F,10383   ,392  ,0.037754021
77      ,77    ,2012,F,9250    ,335  ,0.036216216
78      ,78    ,2012,F,8156    ,284  ,0.034820991
79      ,79    ,2012,F,7143    ,239  ,0.033459331
80      ,80    ,2012,F,6230    ,757  ,0.121508828
0       ,0     ,2013,F,283771  ,2781 ,0.009800156
1       ,1     ,2013,F,282732  ,3284 ,0.01161524
2       ,2     ,2013,F,280284  ,3781 ,0.013489889
3       ,3     ,2013,F,283372  ,4566 ,0.016113095
4       ,4     ,2013,F,275510  ,4737 ,0.017193568
5       ,5     ,2013,F,267431  ,4768 ,0.017828898
6       ,6     ,2013,F,259237  ,4921 ,0.01898263
7       ,7     ,2013,F,251032  ,4871 ,0.019403901
8       ,8     ,2013,F,242756  ,4878 ,0.020094251
9       ,9     ,2013,F,234351  ,4835 ,0.020631446
10      ,10    ,2013,F,226727  ,4746 ,0.020932664
11      ,11    ,2013,F,220309  ,4621 ,0.020975085
12      ,12    ,2013,F,214716  ,4479 ,0.020860113
13      ,13    ,2013,F,209131  ,4303 ,0.02057562
14      ,14    ,2013,F,203704  ,4093 ,0.02009288
15      ,15    ,2013,F,198301  ,4322 ,0.02179515
16      ,16    ,2013,F,192769  ,4987 ,0.025870342
17      ,17    ,2013,F,187191  ,5861 ,0.031310266
18      ,18    ,2013,F,181736  ,6884 ,0.037879121
19      ,19    ,2013,F,176287  ,7959 ,0.045147969
20      ,20    ,2013,F,171077  ,9062 ,0.0529703
21      ,21    ,2013,F,166211  ,10226,0.061524207
22      ,22    ,2013,F,161504  ,11695,0.072413067
23      ,23    ,2013,F,156806  ,12871,0.082082318
24      ,24    ,2013,F,152318  ,13872,0.091072624
25      ,25    ,2013,F,146977  ,14425,0.098144608
26      ,26    ,2013,F,140292  ,14831,0.105715223
27      ,27    ,2013,F,132825  ,15046,0.113276868
28      ,28    ,2013,F,125552  ,15285,0.121742386
29      ,29    ,2013,F,118183  ,15837,0.134004045
30      ,30    ,2013,F,111748  ,16604,0.148584315
31      ,31    ,2013,F,106828  ,17328,0.162204665
32      ,32    ,2013,F,102905  ,17933,0.174267528
33      ,33    ,2013,F,98921   ,18370,0.185703743
34      ,34    ,2013,F,95135   ,18588,0.195385505
35      ,35    ,2013,F,91099   ,18500,0.203075775
36      ,36    ,2013,F,86496   ,18199,0.210402793
37      ,37    ,2013,F,81603   ,17714,0.217075353
38      ,38    ,2013,F,77008   ,17083,0.221834095
39      ,39    ,2013,F,72584   ,16332,0.225008266
40      ,40    ,2013,F,68484   ,15485,0.226111208
41      ,41    ,2013,F,64839   ,14571,0.224725859
42      ,42    ,2013,F,61552   ,13615,0.221195087
43      ,43    ,2013,F,58380   ,11694,0.200308325
44      ,44    ,2013,F,55357   ,11060,0.199794064
45      ,45    ,2013,F,52559   ,10489,0.199566202
46      ,46    ,2013,F,49994   ,9915 ,0.198323799
47      ,47    ,2013,F,47635   ,9344 ,0.196158287
48      ,48    ,2013,F,45431   ,8164 ,0.179701085
49      ,49    ,2013,F,43372   ,7339 ,0.169210551
50      ,50    ,2013,F,41469   ,6612 ,0.159444404
51      ,51    ,2013,F,39714   ,5981 ,0.150601803
52      ,52    ,2013,F,38085   ,5431 ,0.142602074
53      ,53    ,2013,F,36593   ,4938 ,0.134943842
54      ,54    ,2013,F,35266   ,4483 ,0.127119605
55      ,55    ,2013,F,33885   ,4044 ,0.119344843
56      ,56    ,2013,F,32353   ,3620 ,0.111890706
57      ,57    ,2013,F,30778   ,3227 ,0.104847618
58      ,58    ,2013,F,29291   ,2867 ,0.097879895
59      ,59    ,2013,F,27782   ,2558 ,0.092074005
60      ,60    ,2013,F,26717   ,2313 ,0.086574091
61      ,61    ,2013,F,26314   ,2134 ,0.081097515
62      ,62    ,2013,F,26308   ,2000 ,0.076022503
63      ,63    ,2013,F,26252   ,1894 ,0.072146884
64      ,64    ,2013,F,26275   ,1788 ,0.068049477
65      ,65    ,2013,F,25875   ,1666 ,0.064386473
66      ,66    ,2013,F,24768   ,1519 ,0.061329134
67      ,67    ,2013,F,23199   ,1359 ,0.058580111
68      ,68    ,2013,F,21709   ,1205 ,0.055506933
69      ,69    ,2013,F,20199   ,1069 ,0.052923412
70      ,70    ,2013,F,18722   ,948  ,0.050635616
71      ,71    ,2013,F,17362   ,841  ,0.04843912
72      ,72    ,2013,F,16078   ,748  ,0.046523199
73      ,73    ,2013,F,14755   ,660  ,0.0447306
74      ,74    ,2013,F,13422   ,577  ,0.042989122
75      ,75    ,2013,F,12131   ,501  ,0.041299151
76      ,76    ,2013,F,10896   ,431  ,0.0395558
77      ,77    ,2013,F,9719    ,369  ,0.037966869
78      ,78    ,2013,F,8582    ,312  ,0.036355162
79      ,79    ,2013,F,7488    ,262  ,0.034989316
80      ,80    ,2013,F,6484    ,840  ,0.129549661
0       ,0     ,2014,F,281976  ,2535 ,0.008990127
1       ,1     ,2014,F,283815  ,2947 ,0.010383524
2       ,2     ,2014,F,283652  ,3293 ,0.011609296
3       ,3     ,2014,F,281707  ,3650 ,0.012956725
4       ,4     ,2014,F,281180  ,4403 ,0.015659008
5       ,5     ,2014,F,274463  ,4623 ,0.0168438
6       ,6     ,2014,F,267154  ,4643 ,0.017379489
7       ,7     ,2014,F,259414  ,4785 ,0.018445419
8       ,8     ,2014,F,251405  ,4730 ,0.018814264
9       ,9     ,2014,F,243071  ,4734 ,0.019475791
10      ,10    ,2014,F,234361  ,4690 ,0.020011862
11      ,11    ,2014,F,226510  ,4598 ,0.020299325
12      ,12    ,2014,F,220110  ,4468 ,0.020298941
13      ,13    ,2014,F,214678  ,4323 ,0.020137136
14      ,14    ,2014,F,209125  ,4150 ,0.019844591
15      ,15    ,2014,F,203656  ,4381 ,0.021511765
16      ,16    ,2014,F,198218  ,5018 ,0.025315562
17      ,17    ,2014,F,192672  ,5874 ,0.030487045
18      ,18    ,2014,F,187092  ,6818 ,0.036441964
19      ,19    ,2014,F,181623  ,7833 ,0.043127798
20      ,20    ,2014,F,176155  ,8881 ,0.050415827
