,Officer_Code,ApptType_Code,Facility_Type,FacilityType,Time,Officer
0,M01,InpatientDays,Central_Hospital,Dispensary,5.0,Medical officer
1,M02,InpatientDays,Central_Hospital,Dispensary,7.0,Clinical Officer
2,N01,InpatientDays,Central_Hospital,Dispensary,12.0,Nurse Officer
3,N02,InpatientDays,Central_Hospital,Dispensary,28.0,Md Wife Tech
4,M03,InpatientDays,Central_Hospital,Dispensary,0.0,Med. Assistant
5,P01,InpatientDays,Central_Hospital,Dispensary,2.0,Pharmacist
6,P02,InpatientDays,Central_Hospital,Dispensary,0.0,Pharm Technician
7,P03,InpatientDays,Central_Hospital,Dispensary,0.0,Pharm Assist
8,L01,InpatientDays,Central_Hospital,Dispensary,0.0,Lab Officer
9,L02,InpatientDays,Central_Hospital,Dispensary,0.0,Lab Technocian
10,L03,InpatientDays,Central_Hospital,Dispensary,0.0,Lab Assist
11,E01,InpatientDays,Central_Hospital,Dispensary,0.0,DCSA
12,D01,InpatientDays,Central_Hospital,Dispensary,0.0,Dental Officer
13,D02,InpatientDays,Central_Hospital,Dispensary,0.0,Dental Therapist
14,D03,InpatientDays,Central_Hospital,Dispensary,0.0,Dental Assistant
15,C01,InpatientDays,Central_Hospital,Dispensary,0.0,Mental Health Staff
16,T01,InpatientDays,Central_Hospital,Dispensary,0.0,Nutrition Staff
17,R01,InpatientDays,Central_Hospital,Dispensary,0.0,Radiographer
18,R02,InpatientDays,Central_Hospital,Dispensary,0.0,Radiography Technician
19,R03,InpatientDays,Central_Hospital,Dispensary,0.0,Sonographer
20,R04,InpatientDays,Central_Hospital,Dispensary,0.0,Radiotherapy Technician
21,M01,IPAdmission,Central_Hospital,Dispensary,7.5,Medical officer
22,M02,IPAdmission,Central_Hospital,Dispensary,10.0,Clinical Officer
23,N01,IPAdmission,Central_Hospital,Dispensary,6.0,Nurse Officer
24,N02,IPAdmission,Central_Hospital,Dispensary,14.0,Md Wife Tech
25,M03,IPAdmission,Central_Hospital,Dispensary,0.0,Med. Assistant
26,P01,IPAdmission,Central_Hospital,Dispensary,0.0,Pharmacist
27,P02,IPAdmission,Central_Hospital,Dispensary,0.0,Pharm Technician
28,P03,IPAdmission,Central_Hospital,Dispensary,2.0,Pharm Assist
29,L01,IPAdmission,Central_Hospital,Dispensary,0.0,Lab Officer
30,L02,IPAdmission,Central_Hospital,Dispensary,0.0,Lab Technocian
31,L03,IPAdmission,Central_Hospital,Dispensary,0.0,Lab Assist
32,E01,IPAdmission,Central_Hospital,Dispensary,0.0,DCSA
33,D01,IPAdmission,Central_Hospital,Dispensary,0.0,Dental Officer
34,D02,IPAdmission,Central_Hospital,Dispensary,0.0,Dental Therapist
35,D03,IPAdmission,Central_Hospital,Dispensary,0.0,Dental Assistant
36,C01,IPAdmission,Central_Hospital,Dispensary,0.0,Mental Health Staff
37,T01,IPAdmission,Central_Hospital,Dispensary,0.0,Nutrition Staff
38,R01,IPAdmission,Central_Hospital,Dispensary,0.0,Radiographer
39,R02,IPAdmission,Central_Hospital,Dispensary,0.0,Radiography Technician
40,R03,IPAdmission,Central_Hospital,Dispensary,0.0,Sonographer
41,R04,IPAdmission,Central_Hospital,Dispensary,0.0,Radiotherapy Technician
42,M01,Under5OPD,Central_Hospital,Dispensary,5.0,Medical officer
43,M02,Under5OPD,Central_Hospital,Dispensary,6.0,Clinical Officer
44,N01,Under5OPD,Central_Hospital,Dispensary,3.5,Nurse Officer
45,N02,Under5OPD,Central_Hospital,Dispensary,3.5,Md Wife Tech
46,M03,Under5OPD,Central_Hospital,Dispensary,0.0,Med. Assistant
47,P01,Under5OPD,Central_Hospital,Dispensary,0.0,Pharmacist
48,P02,Under5OPD,Central_Hospital,Dispensary,0.8,Pharm Technician
49,P03,Under5OPD,Central_Hospital,Dispensary,0.8,Pharm Assist
50,L01,Under5OPD,Central_Hospital,Dispensary,0.0,Lab Officer
51,L02,Under5OPD,Central_Hospital,Dispensary,0.0,Lab Technocian
52,L03,Under5OPD,Central_Hospital,Dispensary,0.0,Lab Assist
53,E01,Under5OPD,Central_Hospital,Dispensary,0.0,DCSA
54,D01,Under5OPD,Central_Hospital,Dispensary,0.0,Dental Officer
55,D02,Under5OPD,Central_Hospital,Dispensary,0.0,Dental Therapist
56,D03,Under5OPD,Central_Hospital,Dispensary,0.0,Dental Assistant
57,C01,Under5OPD,Central_Hospital,Dispensary,0.0,Mental Health Staff
58,T01,Under5OPD,Central_Hospital,Dispensary,0.0,Nutrition Staff
59,R01,Under5OPD,Central_Hospital,Dispensary,0.0,Radiographer
60,R02,Under5OPD,Central_Hospital,Dispensary,0.0,Radiography Technician
61,R03,Under5OPD,Central_Hospital,Dispensary,0.0,Sonographer
62,R04,Under5OPD,Central_Hospital,Dispensary,0.0,Radiotherapy Technician
63,M01,Over5OPD,Central_Hospital,Dispensary,3.5,Medical officer
64,M02,Over5OPD,Central_Hospital,Dispensary,6.0,Clinical Officer
65,N01,Over5OPD,Central_Hospital,Dispensary,1.0,Nurse Officer
66,N02,Over5OPD,Central_Hospital,Dispensary,4.0,Md Wife Tech
67,M03,Over5OPD,Central_Hospital,Dispensary,0.0,Med. Assistant
68,P01,Over5OPD,Central_Hospital,Dispensary,0.0,Pharmacist
69,P02,Over5OPD,Central_Hospital,Dispensary,0.0,Pharm Technician
70,P03,Over5OPD,Central_Hospital,Dispensary,0.0,Pharm Assist
71,L01,Over5OPD,Central_Hospital,Dispensary,0.0,Lab Officer
72,L02,Over5OPD,Central_Hospital,Dispensary,0.0,Lab Technocian
73,L03,Over5OPD,Central_Hospital,Dispensary,0.0,Lab Assist
74,E01,Over5OPD,Central_Hospital,Dispensary,0.0,DCSA
75,D01,Over5OPD,Central_Hospital,Dispensary,0.0,Dental Officer
76,D02,Over5OPD,Central_Hospital,Dispensary,0.0,Dental Therapist
77,D03,Over5OPD,Central_Hospital,Dispensary,0.0,Dental Assistant
78,C01,Over5OPD,Central_Hospital,Dispensary,0.0,Mental Health Staff
79,T01,Over5OPD,Central_Hospital,Dispensary,0.0,Nutrition Staff
80,R01,Over5OPD,Central_Hospital,Dispensary,0.0,Radiographer
81,R02,Over5OPD,Central_Hospital,Dispensary,0.0,Radiography Technician
82,R03,Over5OPD,Central_Hospital,Dispensary,0.0,Sonographer
83,R04,Over5OPD,Central_Hospital,Dispensary,0.0,Radiotherapy Technician
84,M01,NormalDelivery,Central_Hospital,Dispensary,0.0,Medical officer
85,M02,NormalDelivery,Central_Hospital,Dispensary,0.0,Clinical Officer
86,N01,NormalDelivery,Central_Hospital,Dispensary,53.1,Nurse Officer
87,N02,NormalDelivery,Central_Hospital,Dispensary,82.6,Md Wife Tech
88,M03,NormalDelivery,Central_Hospital,Dispensary,0.0,Med. Assistant
89,P01,NormalDelivery,Central_Hospital,Dispensary,0.0,Pharmacist
90,P02,NormalDelivery,Central_Hospital,Dispensary,2.0,Pharm Technician
91,P03,NormalDelivery,Central_Hospital,Dispensary,0.0,Pharm Assist
92,L01,NormalDelivery,Central_Hospital,Dispensary,0.0,Lab Officer
93,L02,NormalDelivery,Central_Hospital,Dispensary,0.0,Lab Technocian
94,L03,NormalDelivery,Central_Hospital,Dispensary,0.0,Lab Assist
95,E01,NormalDelivery,Central_Hospital,Dispensary,0.0,DCSA
96,D01,NormalDelivery,Central_Hospital,Dispensary,0.0,Dental Officer
97,D02,NormalDelivery,Central_Hospital,Dispensary,0.0,Dental Therapist
98,D03,NormalDelivery,Central_Hospital,Dispensary,0.0,Dental Assistant
99,C01,NormalDelivery,Central_Hospital,Dispensary,0.0,Mental Health Staff
100,T01,NormalDelivery,Central_Hospital,Dispensary,0.0,Nutrition Staff
101,R01,NormalDelivery,Central_Hospital,Dispensary,0.0,Radiographer
102,R02,NormalDelivery,Central_Hospital,Dispensary,0.0,Radiography Technician
