year,age,know_status,on_art,plhiv_virally_suppressed,prob_art_if_dx,prob_art_if_dx_updated,virally_suppressed_on_art,vs_assumed_value,notes,adjusted_baseline_prob_vs_untested,adjusted_odds_vs_tested,adjusted_prob_vs_tested,overall_adjusted_viral_suppression_on_art,adjusted_viral_suppression_on_art
2010,adults,68.79725,53.70240791,,43.1632224,0.999,99.999,yes,from 2021 projections,0.716204118,3.507886435,0.77816655,0.77816655,0.999
2011,adults,73.22773,49.86799726,,51.3978653,0.999,99.999,yes,from 2021 projections,0.716204118,3.507886435,0.77816655,0.77816655,0.999
2012,adults,76.42302,58.9955889,42.10131,60.6045927,0.999,99.999,no,from 2021 projections,0.814682184,6.110628019,0.859365446,0.859365446,0.999
2013,adults,78.78429,65.62840366,47.67345,67.208399,0.999,99.999,no,from 2021 projections,0.805729633,5.764976959,0.852179837,0.852179837,0.999
2014,adults,80.87326,63.03367279,51.56636,73.2477459,0.999,99.999,no,from 2021 projections,0.778871979,4.895951417,0.83039209,0.83039209,0.999
2015,adults,83.5,67.91446629,54,72,0.999,99.999,no,from 2025 projections,0.792300806,5.30237069,0.841329549,0.841329549,0.999
2016,adults,86,68.00154291,62,78.5,0.999,99.999,no,from 2025 projections,0.810205909,5.933726415,0.855777407,0.855777407,0.999
2017,adults,89,74.72660896,66,83.5,0.999,99.999,no,from 2025 projections,0.792300806,5.30237069,0.841329549,0.841329549,0.999
2018,adults,91.5,81.00257968,73.5,88,0.999,99.999,no,from 2025 projections,0.810205909,5.933726415,0.855777407,0.855777407,0.999
2019,adults,93,81.99019187,77,88,0.999,99.999,no,from 2025 projections,0.837063563,7.140934066,0.877163973,0.877163973,0.999
2020,adults,93.5,85.36973086,81.5,91,0.999,99.999,no,from 2025 projections,0.854968666,8.194135802,0.89123502,0.89123502,0.999
2021,adults,93.5,87.52214481,82.5,95,0.999,99.999,no,from 2025 projections,0.846016115,7.636918605,0.884217966,0.884217966,0.999
2022,adults,94.5,89.57065004,84.5,95,0.999,99.999,no,from 2025 projections,0.846016115,7.636918605,0.884217966,0.884217966,0.999
2023,adults,95.5,91.66830526,87.5,96,0.999,99.999,no,from 2025 projections,0.854968666,8.194135802,0.89123502,0.89123502,0.999
2024,adults,95.5,91.66830526,87.5,96,0.999,99.999,yes,from 2025 projections,0.854968666,8.194135802,0.89123502,0.89123502,0.999
2025,adults,95.5,91.66830526,87.5,96,0.999,99.999,yes,from 2025 projections,0.854968666,8.194135802,0.89123502,0.89123502,0.999
2010,children,12.00824,27.52147873,16.4257,88,0.999,99.999,yes,from 2021 projections,0.537153089,1.613152805,0.617320503,0.617320503,0.999
2011,children,16.33585,36.82771973,16.4257,88,0.999,99.999,yes,from 2021 projections,0.537153089,1.613152805,0.617320503,0.617320503,0.999
2012,children,21.3058,46.75858175,16.4257,88,0.999,99.999,no,from 2021 projections,0.689346464,3.08443804,0.755168278,0.755168278,0.999
2013,children,26.72244,56.44133718,18.72319,88,0.999,99.999,no,from 2021 projections,0.626678603,2.333333333,0.7,0.7,0.999
2014,children,31.23202,42.83888598,19.97077,88,0.999,99.999,no,from 2021 projections,0.572963295,1.864989518,0.650958583,0.650958583,0.999
2015,children,41,49.76135229,23,88,0.999,99.999,no,from 2025 projections,0.590868397,2.007439825,0.667491269,0.667491269,0.999
2016,children,50,43.53888253,29,88,0.999,99.999,no,from 2025 projections,0.590868397,2.007439825,0.667491269,0.667491269,0.999
2017,children,59,51.82314422,30,87,0.999,99.999,no,from 2025 projections,0.519247986,1.501303538,0.600208457,0.600208457,0.999
2018,children,64,55.79437403,32,86,0.999,99.999,no,from 2025 projections,0.519247986,1.501303538,0.600208457,0.600208457,0.999
2019,children,74,64.45231424,41,87,0.999,99.999,no,from 2025 projections,0.572963295,1.864989518,0.650958583,0.650958583,0.999
2020,children,79,68.25098801,50,86,0.999,99.999,no,from 2025 projections,0.662488809,2.728381963,0.731787137,0.731787137,0.999
2021,children,80,69.26668627,52,86,0.999,99.999,no,from 2025 projections,0.671441361,2.840599455,0.73962398,0.73962398,0.999
2022,children,83,70.99882411,56,85,0.999,99.999,no,from 2025 projections,0.707251567,3.358103976,0.770542418,0.770542418,0.999
2023,children,88,72.62184417,61,83,0.999,99.999,no,from 2025 projections,0.752014324,4.215162455,0.808251419,0.808251419,0.999
2024,children,88,72.62184417,61,83,0.999,99.999,yes,from 2025 projections,0.752014324,4.215162455,0.808251419,0.808251419,0.999
2025,children,88,72.62184417,61,83,0.999,99.999,yes,from 2025 projections,0.752014324,4.215162455,0.808251419,0.808251419,0.999
