parameter_name,value,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
init_p_urban,0.17,,,,
init_p_wealth_urban,"[0.75, 0.16, 0.05, 0.02, 0.02]",,,,
init_p_wealth_rural,"[0.11, 0.21, 0.22, 0.23, 0.23]",,,,
init_p_bmi_urban_m_not_high_sugar_age1529_not_tob_wealth1,"[0.06, 0.8, 0.12, 0.01, 0.01]",,,,
init_or_higher_bmi_f,3,,,,
init_or_higher_bmi_rural,0.6,,,,
init_or_higher_bmi_high_sugar,1.1,,,,
init_or_higher_bmi_age3049,1.8,,,,
init_or_higher_bmi_agege50,2.7,,,,
init_or_higher_bmi_tob,0.7,,,,
init_or_higher_bmi_per_higher_wealth_level,0.85,,,,
init_p_high_sugar,0.4,,,,
init_p_high_salt_urban,0.2,,,,
init_or_high_salt_rural,1.5,,,,
init_p_ex_alc_m,0.15,,,,
init_p_ex_alc_f,0.01,,,,
init_p_low_ex_urban_m,0.32,,,,
init_or_low_ex_rural,0.4,,,,
init_or_low_ex_f,0.6,,,,
init_p_tob_age1519_m_wealth1,0.01,,,,
init_or_tob_f,0.2,,,,
init_or_tob_age2039_m,4,,,,
init_or_tob_agege40_m,6,,,,
init_or_tob_wealth2,2,,,,
init_or_tob_wealth3,3,,,,
init_or_tob_wealth4,4,,,,
init_or_tob_wealth5,5,,,,
init_dist_mar_stat_age1520,"[0.7, 0.3, 0]",,,,
init_dist_mar_stat_age2030,"[0.15, 0.8, 0.05]",,,,
init_dist_mar_stat_age3040,"[0.05, 0.7, 0.25]",,,,
init_dist_mar_stat_age4050,"[0.03, 0.5, 0.47]",,,,
init_dist_mar_stat_age5060,"[0.03, 0.3, 0.67]",,,,
init_dist_mar_stat_agege60,"[0.03, 0.2, 0.77]",,,,
init_age2030_w5_some_ed,0.97,,,,
init_prop_primary_edu,0.5,,,,
init_rp_some_ed_age0513,1.01,,,,
init_rp_some_ed_age1320,1,,,,
init_rp_some_ed_age2030,1,,,,
init_rp_some_ed_age3040,1,,,,
init_rp_some_ed_age4050,0.9,,,,
init_rp_some_ed_age5060,0.9,,,,
init_rp_some_ed_agege60,0.9,,, ,
init_rp_some_ed_per_higher_wealth,1.005,,,,
init_prop_age2030_w5_some_ed_sec,0.1,,,,
init_rp_some_ed_sec_age1320,1,,,,
init_rp_some_ed_sec_age3040,0.8,,,,
init_rp_some_ed_sec_age4050,0.6,,,,
init_rp_some_ed_sec_age5060,0.4,,,,
init_rp_some_ed_sec_agege60,0.2,,,,
init_rp_some_ed_sec_per_higher_wealth,1.48,, ,,
init_p_unimproved_sanitation_urban,0.04,,,,
init_or_unimproved_sanitation_rural,4.5,,,,
init_p_no_clean_drinking_water_urban,0.017,,,,
init_or_no_clean_drinking_water_rural,8.6,,,,
init_p_wood_burn_stove_urban,0.257,,,,
init_or_wood_burn_stove_rural,40,,,,
init_p_no_access_handwashing_wealth1,0.478,,,,
init_or_no_access_handwashing_per_lower_wealth,1.06,,,,
r_urban,0.0005,,,,
r_rural,1.00E-05,,,,
r_higher_bmi,0.0005,,,,
rr_higher_bmi_urban,1.5,,,,  
rr_higher_bmi_f,3,,,,
rr_higher_bmi_age3049,1.8,,,,
rr_higher_bmi_agege50,2.7,,,,
rr_higher_bmi_tob,0.7,, ,,
rr_higher_bmi_per_higher_wealth,0.85,,,,
rr_higher_bmi_high_sugar,1.2,,,,
r_lower_bmi,0.001,,,,
rr_lower_bmi_tob,1.4,,,,
rr_lower_bmi_pop_advice_weight,1.1,,,,
r_high_salt_urban,0.003,,,,
rr_high_salt_rural,1.5,,,,
r_not_high_salt,0.0001,,,,
rr_not_high_salt_pop_advice_salt,1.1,,,,
r_high_sugar,0.0001,,,,
r_not_high_sugar,0.0001,,,,
rr_not_high_sugar_pop_advice_sugar,1.1,,,,
r_low_ex,0.001,,,,
r_not_low_ex,0.0001,,,,
rr_not_low_ex_pop_advice_exercise,1.1,,,,
rr_low_ex_f,0.6,,,,
rr_low_ex_urban,2,,,,
r_tob,0.0004,,,,
r_not_tob,0.0001,,,,
rr_tob_f,0.1,,,,
rr_tob_age2039,1.2,,,,
rr_tob_agege40,1.5,,,,
rr_tob_wealth,1.3,,,,
rr_not_tob_pop_advice_tobacco,1.1,,,,
r_ex_alc,0.003,,,,
r_not_ex_alc,0.0001, ,,,
rr_ex_alc_f,0.07,,,,
rr_not_ex_alc_pop_advice_alcohol,1.1,,,,
r_mar,0.03,,,,
r_div_wid,0.01,,,,
r_stop_ed,0.007,,,,
rr_stop_ed_lower_wealth,1.5,,,,
p_ed_primary,0.9,,,,
rp_ed_primary_higher_wealth,1.1,,,,
p_ed_secondary,0.8,,,,
rp_ed_secondary_higher_wealth,1.05,,,,
r_improved_sanitation,0.001,,,,
r_clean_drinking_water,0.001,,,,
r_non_wood_burn_stove,0.001,,,,
r_access_handwashing,0.001,,,,
proportion_of_men_that_are_assumed_to_be_circumcised_at_birth,0.2128,average of circumcision prevalence in adult ages,,,
proportion_of_men_circumcised_at_initiation,0.2128,average of circumcision prevalence in adult ages,,,
number_female_sex_workers,39000,brought over from HIV module done originally by Tara Mangal,,,
fsw_transition,0.181818182,brought over from HIV module done originally by Tara Mangal,,,
