Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
DescriptionofEventsandParameters,,,
,,,
Property/event,Description,,
li_urban,currently urban,,
li_wealth,"wealth level (1-5, 1 is highest wealth)",,
li_bmi,"bmi category (1: < 18, 2: 18-25, 3: 25-29.9, 4: 30-34.9, 5: 35+,  0 before age 15)",,
li_tob,currently using tobacco,,
li_date_not_tob,date quit tobacco use,,
li_in_ed,currently in education,,
li_ed_lev,education level attained (so far),,
li_low_ex,current low exercise,,
li_ex_alc,current excess alcohol,,
li_mar_stat,marital status,,
li_unimproved_sanitation,unimproved sanitation,,
li_no_clean_drinking_water,no clean drinking water,,
li_wood_burn_stove,wood (straw / crop-burning stove - indoor air pollution),,
li_no_access_handwashing,no access to handwashing,,
,,,
,,,
Parameter,Description,Notes and Major Assumptions (see individual figures to right),
init_p_wood_burn_stove,initial probability of wood_burn_stove given urban,dhs 2015,
init_rp_wood_burn_stove_rural,initial relative prevalence of wood_burn_stove if rural,dhs 2015,
init_p_unimproved_sanitation,initial probability of unimproved_sanitation given urban,dhs 2015,
init_rp_unimproved_sanitation_rural,initial relative prevalence of unimproved_sanitation if rural,dhs 2015,
init_p_no_clean_drinking_water,initial probability of no_clean_drinking_water given urban,dhs 2015,
init_rp_no_clean_drinking_water_rural,initial relative prevalence of no clean drinking_water if rural,dhs 2015,
init_p_no_access_handwashing,initial probability of no_access_handwashing given wealth 1,dhs 2015,
init_rp_no_access_handwashing_per_lower_wealth,initial relative prevalence of no_access_handwashing per lower wealth level,dhs 2015,
init_p_urban,proportion urban at baseline,dhs 2015,
init_p_wealth_urban,List of probabilities of category given urban,dhs 2015,
init_p_low_ex_m_urban,"initial prevalence of low exercise - male, urban",Msyamboza et al; 2011; WHO STEPS,
init_p_low_ex_m_rural,"initial prevalence of low exercise - male, rural",Msyamboza et al; 2011; WHO STEPS,
init_p_low_ex_f_urban,"initial prevalence of low exercise - female, urban",Msyamboza et al; 2011; WHO STEPS,
init_p_tob_m_age1519,"initial prevalence of tobacco use, male age1519",dhs 2015,
init_p_tob_m_age2039,"initial prevalence of tobacco use, male aged2039",dhs 2015,
init_p_tob_m_age40+,"initial prevalence of tobacco use, male age 40+",dhs 2015,
