parameter_name,value,param_label,prior_min,prior_max,prior_note,reference
r_low_grade_dysplasia_none,5.00E-07,local,0,1,vague prior,
rr_low_grade_dysplasia_none_female,1.3,local,0.01,100,vague prior,
rr_low_grade_dysplasia_none_per_year_older,1.1,local,0.01,100,vague prior,
rr_low_grade_dysplasia_none_tobacco,2,local,0.01,100,vague prior,
rr_low_grade_dysplasia_none_ex_alc,1,local,0.01,100,vague prior,
r_high_grade_dysplasia_low_grade_dysp,0.03,universal,0,1,vague prior,
rr_high_grade_dysp_undergone_curative_treatment,0.1,universal,0.01,100,vague prior,
r_stage1_high_grade_dysp,0.01,universal,0,1,vague prior,
rr_stage1_undergone_curative_treatment,0.1,universal,0.01,100,vague prior,
r_stage2_stage1,0.05,universal,0,1,vague prior,
rr_stage2_undergone_curative_treatment,0.1,universal,0.01,100,vague prior,
r_stage3_stage2,0.05,universal,0,1,vague prior,
rr_stage3_undergone_curative_treatment,0.1,universal,0.01,100,vague prior,
r_stage4_stage3,0.05,universal,0,1,vague prior,
rr_stage4_undergone_curative_treatment,0.3,universal,0.01,100,vague prior,
r_death_oesoph_cancer,0.4,universal,0,1,vague prior,
r_dysphagia_stage1,0.01,universal,0,1,vague prior,
rr_dysphagia_low_grade_dysp,1,universal,0.01,100,vague prior,
rr_dysphagia_high_grade_dysp,1,universal,0.01,100,vague prior,
rr_dysphagia_stage2,2,universal,0.01,100,vague prior,
rr_dysphagia_stage3,50,universal,0.01,100,vague prior,
rate_palliative_care_stage4,0.5,local,0,1,vague prior,
rr_dysphagia_stage4,100,universal,0.01,1000,vague prior,
init_prop_oes_cancer_stage,"[0.0003, 0.0001, 0.000005, 0.00003, 0.00005, 0.00001]",local,"[0,0,0,0,0,0]","[1,1,1,1,1,1]",vague prior,
rp_oes_cancer_female,1.3,local,0.01,100,vague prior,
rp_oes_cancer_per_year_older,1.1,local,0.01,100,vague prior,
rp_oes_cancer_tobacco,2,local,0.01,100,vague prior,
rp_oes_cancer_ex_alc,1,local,0.01,100,vague prior,
init_prop_dysphagia_oes_cancer_by_stage,"[0.01, 0.03, 0.1, 0.2, 0.3, 0.8]",local,"[0,0,0,0,0,0]","[1,1,1,1,1,1]",vague prior,
init_prop_with_dysphagia_diagnosed_oes_cancer_by_stage,"[0.8,0.85,0.9,0.95,0.98,0.9]",local,"[0,0,0,0,0,0]","[1,1,1,1,1,1]",vague prior,
init_prob_palliative_care,0.5,local,0,1,vague prior,
init_prop_treatment_status_oes_cancer,"[0.01, 0.01, 0.05, 0.05, 0.05, 0.05]",local,"[0,0,0,0,0,0]","[1,1,1,1,1,1]",vague prior,
sensitivity_of_endoscopy_for_oes_cancer_with_dysphagia,1,universal,0,1,vague prior,
odds_ratio_health_seeking_in_adults_dysphagia,4,local,0.01,100,vague prior,
main_polling_event_frequency_months,3,undetermined,1,12,design decision,
post_treatment_check_months_initial,12,local,1,24,vague prior,
post_treatment_check_months_recurring,12,local,1,24,vague prior,
palliative_care_interval_months,1,local,1,24,vague prior,
treatment_bed_days,5,local,1,30,vague prior,
palliative_care_bed_days,15,local,1,30,vague prior,
min_age_investigation,5,local,0,20,vague prior,
reference_age_onset,20,local,10,40,vague prior,
