parameter_name,value,param_label,prior_min,prior_max,prior_note,reference
init_prop_early_other_adult_ca_symptom_other_adult_cancer_by_stage,"[0.3,0.5,0.8]",local,"[0.0,0.0,0.0]","[1.0,1.0,1.0]",vague prior,
in_prop_other_adult_cancer_stage,"[0.0002, 0.0002, 0.0004]",local,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",vague prior,
init_prop_with_early_other_adult_ca_symptom_diagnosed_by_stage,"[0.3,0.4,0.5]",local,"[0.0,0.0,0.0]","[1.0,1.0,1.0]",vague prior,
init_prop_treatment_status_other_adult_cancer,"[0.1,0.1,0.1]",local,"[0.0,0.0,0.0]","[1.0,1.0,1.0]",vague prior,
init_prob_palliative_care,0.95,local,0,1,vague prior,
r_site_confined_none,1.00E-05,local,0,1,vague prior,
rr_site_confined_age3049,5,local,0.01,100,vague prior,
rr_site_confined_age5069,21,local,0.01,100,vague prior,
rr_site_confined_agege70,60,local,0.01,100,vague prior,
rr_site_confined_hiv,4.13,universal,0.01,100,vague prior,
r_local_ln_site_confined_other_adult_ca,0.15,universal,0,1,vague prior,
rr_local_ln_other_adult_ca_undergone_curative_treatment,0.1,universal,0.01,100,vague prior,
r_metastatic_local_ln,0.15,universal,0,1,vague prior,
rr_metastatic_undergone_curative_treatment,0.2,universal,0.01,100,vague prior,
r_death_other_adult_cancer,0.2,universal,0,1,vague prior,
r_early_other_adult_ca_symptom_site_confined_other_adult_ca,0.02,local,0,1,vague prior,
rr_early_other_adult_ca_symptom_local_ln_other_adult_ca,3,universal,0.01,100,vague prior,
rr_early_other_adult_ca_symptom_metastatic_other_adult_ca,10,universal,0.01,100,vague prior,
rp_other_adult_cancer_age3049,1.5,local,0.01,100,vague prior,
rp_other_adult_cancer_age5069,2,local,0.01,100,vague prior,
rp_other_adult_cancer_agege70,4,local,0.01,100,vague prior,
sensitivity_of_diagnostic_device_for_other_adult_cancer_with_other_adult_ca_site_confined,0.8,universal,0,1,vague prior,
sensitivity_of_diagnostic_device_for_other_adult_cancer_with_other_adult_ca_local_ln,0.95,universal,0,1,vague prior,
sensitivity_of_diagnostic_device_for_other_adult_cancer_with_other_adult_ca_metastatic,0.95,universal,0,1,vague prior,
odds_ratio_health_seeking_in_adults_early_other_adult_ca_symptom,4,local,0.01,100,vague prior,
post_treatment_check_months,12,local,1,12,vague prior,
follow_up_appt_months,3,local,1,12,vague prior,
palliative_care_interval_months,1,local,1,12,design decision,
treatment_bed_days,5,local,1,30,vague prior,
palliative_care_bed_days,15,local,1,50,vague prior,
min_age_adult_cancer,5,universal,0,18,design decision,
initial_polling_start_months,1,undetermined,1,12,design decision,
initial_polling_start_months_palliative_care,1,undetermined,1,12,design decision,
initial_polling_start_delay_weeks_palliative_care,1,undetermined,1,12,design decision,
main_polling_event_frequency_months,1,undetermined,1,12,design decision,
