Variant,Year,Sex,Age,Count,Age_Grp
WPP_Estimates,1950,M,0,63496.0,0-4
WPP_Estimates,1951,M,0,61030.0,0-4
WPP_Estimates,1952,M,0,59873.0,0-4
WPP_Estimates,1953,M,0,59859.0,0-4
WPP_Estimates,1954,M,0,60891.0,0-4
WPP_Estimates,1955,M,0,62876.0,0-4
WPP_Estimates,1956,M,0,65444.99999999999,0-4
WPP_Estimates,1957,M,0,68506.0,0-4
WPP_Estimates,1958,M,0,71828.0,0-4
WPP_Estimates,1959,M,0,75142.0,0-4
WPP_Estimates,1960,M,0,78171.0,0-4
WPP_Estimates,1961,M,0,80108.0,0-4
WPP_Estimates,1962,M,0,81721.0,0-4
WPP_Estimates,1963,M,0,83199.0,0-4
WPP_Estimates,1964,M,0,84842.0,0-4
WPP_Estimates,1965,M,0,86885.0,0-4
WPP_Estimates,1966,M,0,88997.0,0-4
WPP_Estimates,1967,M,0,91562.0,0-4
WPP_Estimates,1968,M,0,94450.0,0-4
WPP_Estimates,1969,M,0,97486.0,0-4
WPP_Estimates,1970,M,0,100533.0,0-4
WPP_Estimates,1971,M,0,103021.0,0-4
WPP_Estimates,1972,M,0,105610.0,0-4
WPP_Estimates,1973,M,0,108391.0,0-4
WPP_Estimates,1974,M,0,111503.0,0-4
WPP_Estimates,1975,M,0,115035.0,0-4
WPP_Estimates,1976,M,0,118472.0,0-4
WPP_Estimates,1977,M,0,122496.0,0-4
WPP_Estimates,1978,M,0,126803.0,0-4
WPP_Estimates,1979,M,0,130984.00000000001,0-4
WPP_Estimates,1980,M,0,134804.0,0-4
WPP_Estimates,1981,M,0,137283.0,0-4
WPP_Estimates,1982,M,0,139288.0,0-4
WPP_Estimates,1983,M,0,141945.0,0-4
WPP_Estimates,1984,M,0,146739.0,0-4
WPP_Estimates,1985,M,0,154552.0,0-4
WPP_Estimates,1986,M,0,162789.0,0-4
WPP_Estimates,1987,M,0,174018.0,0-4
WPP_Estimates,1988,M,0,185629.0,0-4
WPP_Estimates,1989,M,0,194103.0,0-4
WPP_Estimates,1990,M,0,197174.0,0-4
WPP_Estimates,1991,M,0,199492.0,0-4
WPP_Estimates,1992,M,0,196795.0,0-4
WPP_Estimates,1993,M,0,191816.0,0-4
WPP_Estimates,1994,M,0,188225.0,0-4
