Variant,Period,Sex,Age_Grp,death_rate
WPP_Estimates,1950-1954,M,0-0,0.21839324
WPP_Estimates,1950-1954,M,1-4,0.057210923
WPP_Estimates,1950-1954,M,5-9,0.013956549
WPP_Estimates,1950-1954,M,10-14,0.0068659377
WPP_Estimates,1950-1954,M,15-19,0.0077390959
WPP_Estimates,1950-1954,M,20-24,0.01058725
WPP_Estimates,1950-1954,M,25-29,0.010826561
WPP_Estimates,1950-1954,M,30-34,0.011287821
WPP_Estimates,1950-1954,M,35-39,0.01228196
WPP_Estimates,1950-1954,M,40-44,0.014139681
WPP_Estimates,1950-1954,M,45-49,0.015857545
WPP_Estimates,1950-1954,M,50-54,0.019248477
WPP_Estimates,1950-1954,M,55-59,0.023361598
WPP_Estimates,1950-1954,M,60-64,0.031890387
WPP_Estimates,1950-1954,M,65-69,0.045312023
WPP_Estimates,1950-1954,M,70-74,0.068776087
WPP_Estimates,1950-1954,M,75-79,0.10533566
WPP_Estimates,1950-1954,M,80-84,0.16489383
WPP_Estimates,1950-1954,M,85-89,0.25578576
WPP_Estimates,1950-1954,M,90-94,0.3799036
WPP_Estimates,1950-1954,M,95-99,0.49182901
WPP_Estimates,1955-1959,M,0-0,0.21458248
WPP_Estimates,1955-1959,M,1-4,0.054030792
WPP_Estimates,1955-1959,M,5-9,0.013010312
WPP_Estimates,1955-1959,M,10-14,0.0064544078
WPP_Estimates,1955-1959,M,15-19,0.0073805401
WPP_Estimates,1955-1959,M,20-24,0.010130841
WPP_Estimates,1955-1959,M,25-29,0.010380248
WPP_Estimates,1955-1959,M,30-34,0.010859483
WPP_Estimates,1955-1959,M,35-39,0.011860902
WPP_Estimates,1955-1959,M,40-44,0.013702685
WPP_Estimates,1955-1959,M,45-49,0.01544908
WPP_Estimates,1955-1959,M,50-54,0.018880326
WPP_Estimates,1955-1959,M,55-59,0.023017721
WPP_Estimates,1955-1959,M,60-64,0.031578334
WPP_Estimates,1955-1959,M,65-69,0.045067545
WPP_Estimates,1955-1959,M,70-74,0.068621183
WPP_Estimates,1955-1959,M,75-79,0.10548285
WPP_Estimates,1955-1959,M,80-84,0.16565935
WPP_Estimates,1955-1959,M,85-89,0.25784874
WPP_Estimates,1955-1959,M,90-94,0.38478255
WPP_Estimates,1955-1959,M,95-99,0.5001322
WPP_Estimates,1960-1964,M,0-0,0.20978511
WPP_Estimates,1960-1964,M,1-4,0.05036449
WPP_Estimates,1960-1964,M,5-9,0.011941369
WPP_Estimates,1960-1964,M,10-14,0.005984035
WPP_Estimates,1960-1964,M,15-19,0.0069619641
WPP_Estimates,1960-1964,M,20-24,0.0095950388
WPP_Estimates,1960-1964,M,25-29,0.0098541966
WPP_Estimates,1960-1964,M,30-34,0.010351247
WPP_Estimates,1960-1964,M,35-39,0.011357334
WPP_Estimates,1960-1964,M,40-44,0.01317613
WPP_Estimates,1960-1964,M,45-49,0.014950418
WPP_Estimates,1960-1964,M,50-54,0.018420881
WPP_Estimates,1960-1964,M,55-59,0.022579174
WPP_Estimates,1960-1964,M,60-64,0.031163791
WPP_Estimates,1960-1964,M,65-69,0.044713682
