parameter_name,value,param_label,prior_min,prior_max,prior_note,reference
prob_obstetric_fistula,"[0.00426, 0.00426]",undetermined,"[0, 0]","[0.1, 0.1]",calibration,
rr_obstetric_fistula_obstructed_labour,"[14.8, 14.8]",local,"[0.01, 0.01]","[100, 100]",vague prior,https://pubmed.ncbi.nlm.nih.gov/28550462/
prevalence_type_of_fistula,"[[0.924, 0.076] , [0.924, 0.076]]",local,"[[0.01, 0.01],[0.01, 0.01]]","[[1, 1],[1,1]]",vague prior,"https://pubmed.ncbi.nlm.nih.gov/17869256/#:~:text=This%20study%20from%20Southern%20Malawi,were%20not%20of%20obstetric%20origin. "
prob_secondary_pph,"[0.0002, 0.00034]",undetermined,"[0, 0]","[0.01, 0.01]",calibration,
rr_secondary_pph_endometritis,"[1,1]",local,"[0.01,0.01]","[100,100]",vague prior,
prob_secondary_pph_severity,"[[0.33, 0.33, 0.34], [0.33, 0.33, 0.34]]",local,"[[0.1, 0.1, 0.1], [0.1, 0.1, 0.1]]","[[0.8, 0.8, 0.8], [0.8, 0.8, 0.8]]",vague prior,
cfr_secondary_postpartum_haemorrhage,"[0.22, 0.08]",undetermined,"[0, 0]","[1, 1]",calibration,
prob_htn_resolves,"[0.167, 0.167]",undetermined,"[0, 0]","[1, 1]",calibration,
weekly_prob_gest_htn_pn,"[0.0025, 0.0025]",undetermined,"[0, 0]","[0.1, 0.1]",calibration,
rr_gest_htn_obesity,"[3.31, 3.31]",local,"[0.01, 0.01]","[100, 100]",vague prior,
weekly_prob_pre_eclampsia_pn,"[0.0017, 0.0017]",undetermined,"[0, 0]","[0.1, 0.1]",calibration,
rr_pre_eclampsia_obesity,"[3.2, 3.2]",local,"[0.01, 0.01]","[100, 100]",calibration,
rr_pre_eclampsia_chronic_htn,"[2.26, 2.26]",local,"[0.01, 0.01]","[100, 100]",calibration,
rr_pre_eclampsia_diabetes_mellitus,"[3.7, 3.7]",local,"[0.01, 0.01]","[100, 100]",calibration,
