parameter_name,value,param_label,prior_min,prior_max,prior_note,reference
init_prop_prostate_ca_stage,"[0.0001,0.0001,0.00005]",local,"[0.0,0.0,0.0]","[1.0,1.0,1.0]",vague prior,
init_prop_urinary_symptoms_by_stage,"[0.3,0.5,0.7]",local,"[0.0,0.0,0.0]","[1.0,1.0,1.0]",vague prior,
init_prop_pelvic_pain_symptoms_by_stage,"[0.0,0.3,0.7]",local,"[0.0,0.0,0.0]","[1.0,1.0,1.0]",vague prior,
init_prop_with_urinary_symptoms_diagnosed_prostate_ca_by_stage,"[0.3,0.4,0.5]",local,"[0.0,0.0,0.0]","[1.0,1.0,1.0]",vague prior,
init_prop_with_pelvic_pain_symptoms_diagnosed_prostate_ca_by_stage,"[0.3,0.4,0.5]",local,"[0.0,0.0,0.0]","[1.0,1.0,1.0]",vague prior,
init_prop_treatment_status_prostate_ca,"[0.1,0.1,0.1]",local,"[0.0,0.0,0.0]","[1.0,1.0,1.0]",vague prior,
init_prob_palliative_care,0.95,local,0,1,vague prior,
r_prostate_confined_prostate_ca_none,4.00E-05,local,0,1,vague prior,
rr_prostate_confined_prostate_ca_age5069,2,local,0.01,100,vague prior,
rr_prostate_confined_prostate_ca_agege70,4,local,0.01,100,vague prior,
r_local_ln_prostate_ca_prostate_confined,0.15,universal,0,1,vague prior,
rr_local_ln_prostate_ca_undergone_curative_treatment,0.1,universal,0.01,100,vague prior,
r_metastatic_prostate_ca_local_ln,0.15,universal,0,1,vague prior,
rr_metastatic_prostate_ca_undergone_curative_treatment,0.2,universal,0.01,100,vague prior,
r_death_metastatic_prostate_cancer,0.2,universal,0,1,vague prior,
r_urinary_symptoms_prostate_ca,0.05,universal,0,1,vague prior,
rr_urinary_symptoms_local_ln_or_metastatic_prostate_cancer,1.5,universal,0.01,100,vague prior,
r_pelvic_pain_symptoms_local_ln_prostate_ca,0.05,universal,0,1,vague prior,
rr_pelvic_pain_metastatic_prostate_cancer,1.5,universal,0.01,100,vague prior,
rp_prostate_cancer_age5069,2,universal,0.01,100,vague prior,
rp_prostate_cancer_agege70,4,universal,0.01,100,vague prior,
sensitivity_of_psa_test_for_prostate_ca,0.9,universal,0,1,vague prior,
sensitivity_of_biopsy_for_prostate_ca,0.95,universal,0,1,vague prior,
odds_ratio_health_seeking_urinary,4,local,0.01,100,vague prior,
odds_ratio_health_seeking_pelvic_pain,4,local,0.01,100,vague prior,
no_health_seeking_urinary_children,TRUE,universal,,,N/A,
no_health_seeking_pelvic_pain_children,TRUE,universal,,,N/A,
min_age_prostate_cancer,35,universal,10,120,design decision,
mid_age_threshold_prostate_cancer,50,universal,10,120,design decision,
high_age_threshold_prostate_cancer,70,universal,10,120,design decision,
max_age_prostate_cancer,120,universal,50,120,design decision,
months_between_polling_events,1,undetermined,1,12,design decision,
months_to_post_treatment_check,12,local,1,36,vague prior,
months_between_followup_appointments,1,local,1,10,vague prior,
months_between_palliative_care,1,local,1,12,vague prior,
weeks_palliative_care_schedule_window,1,undetermined,1,8,design decision,
treatment_beddays,5,local,1,30,vague prior,
palliative_care_beddays,15,local,1,50,vague prior,
