parameter_name,value,param_label,prior_min,prior_max,prior_note,reference,notes
base_rate_injrti,0.004203229,undetermined,0,1,calibration,,DUMMY
rr_injrti_age04,0.145533,local,0.01,100,vague prior,,
rr_injrti_age59,0.551895,local,0.01,100,vague prior,,
rr_injrti_age1017,0.967017,local,0.01,100,vague prior,,
rr_injrti_age1829,1.184184,local,0.01,100,vague prior,,
rr_injrti_age3039,1.052843,local,0.01,100,vague prior,,
rr_injrti_age4049,1.074376,local,0.01,100,vague prior,,
rr_injrti_age5059,1.336449,local,0.01,100,vague prior,,
rr_injrti_age6069,2.308514,local,0.01,100,vague prior,,
rr_injrti_age7079,4.031226,local,0.01,100,vague prior,,
rr_injrti_male,2.7,local,0.01,100,vague prior,,
rr_injrti_excessalcohol,6.53,local,0.01,100,vague prior,,
imm_death_proportion_rti,0.007,local,0,1,vague prior,,
prob_perm_disability_with_treatment_severe_TBI,0.199,local,0,1,vague prior,,
prob_death_iss_less_than_9,0.007331915,undetermined,0,1,calibration,,
prob_death_iss_10_15,0.011102155,undetermined,0,1,calibration,,
prob_death_iss_16_24,0.031360858,undetermined,0,1,calibration,,
prob_death_iss_25_35,0.133987146,undetermined,0,1,calibration,,
prob_death_iss_35_plus,0.227827408,undetermined,0,1,calibration,,
prob_death_TBI_SCI_no_treatment,0.9,universal,0,1,calibration,,
prop_death_burns_no_treatment,0.6,universal,0,1,vague prior,,DUMMY
prob_death_fractures_no_treatment,0.1,universal,0,1,vague prior,,
prob_TBI_require_craniotomy,0.124,local,0,1,vague prior,,
prob_exploratory_laparotomy,0.319,local,0,1,vague prior,,
prob_open_fracture_contaminated,0.07,local,0,1,vague prior,,
prob_depressed_skull_fracture,0.14,local,0,1,vague prior,,
prob_dislocation_requires_surgery,0.01,local,0,1,vague prior,,DUMMY
prob_mild_burns,0.56,local,0,1,vague prior,,
mean_los_ISS_less_than_4,4.97,local,1,100,vague prior,,
sd_los_ISS_less_than_4,4.86,local,0.1,50,vague prior,,
mean_los_ISS_4_to_8,8.91,local,1,100,vague prior,,
sd_los_ISS_4_to_8,5.93,local,0.1,50,vague prior,,
mean_los_ISS_9_to_15,15.46,local,1,100,vague prior,,
