parameter_name,value,param_label,prior_min,prior_max,prior_note,reference,remarks
prev_HAZ_distribution_age_0_5mo,"[-0.8482365, 1.416337]",local,"[-3, 0]","[1, 3]",vague prior,,
prev_HAZ_distribution_age_6_11mo,"[-0.9940219, 1.504431]",local,"[-3, 0]","[1, 3]",vague prior,,
prev_HAZ_distribution_age_12_23mo,"[-1.522101, 1.431207]",local,"[-3, 0]","[1, 3]",vague prior,,
prev_HAZ_distribution_age_24_35mo,"[-1.669291, 1.343577]",local,"[-3, 0]","[1, 3]",vague prior,,
prev_HAZ_distribution_age_36_47mo,"[-1.797365, 1.212469]",local,"[-3, 0]","[1, 3]",vague prior,,
prev_HAZ_distribution_age_48_59mo,"[-1.620094, 1.11541]",local,"[-3, 0]","[1, 3]",vague prior,,
or_stunting_male,1.38,universal,0.01,100,vague prior,,
or_stunting_preterm_and_AGA,2.13,universal,0.01,100,vague prior,,
or_stunting_SGA_and_term,2.36,universal,0.01,100,vague prior,,
or_stunting_SGA_and_preterm,5.95,universal,0.01,100,vague prior,,
or_stunting_hhwealth_Q5,1.69,local,0.01,100,vague prior,ref group Q1 (richest),
or_stunting_hhwealth_Q4,1.48,local,0.01,100,vague prior,,
or_stunting_hhwealth_Q3,1.4,local,0.01,100,vague prior,,
or_stunting_hhwealth_Q2,1.29,local,0.01,100,vague prior,,
base_inc_rate_stunting_by_agegp,"[0.8,0.8,0.8,0.8,0.8,0.8]",local,"[0,0,0,0,0,0]","[1,1,1,1,1,1]",vague prior,,"1-5, 6-11, 12-23, 24-35, 36-47, 48-59mo"
rr_stunting_preterm_and_AGA,1.62,local,0.01,100,vague prior,,
rr_stunting_SGA_and_term,1.65,local,0.01,100,vague prior,,
rr_stunting_SGA_and_preterm,2.98,local,0.01,100,vague prior,,
rr_stunting_prior_wasting,1.93,local,0.01,100,vague prior,,
rr_stunting_untreated_HIV,1.5,local,0.01,100,vague prior,,
rr_stunting_wealth_level,0.2,local,0.01,100,vague prior,,
rr_stunting_no_exclusive_breastfeeding,1.4,local,0.01,100,vague prior,,
rr_stunting_no_continued_breastfeeding,1.3,local,0.01,100,vague prior,,
rr_stunting_per_diarrhoeal_episode,1.04,local,0.01,100,vague prior,,
r_progression_severe_stunting_by_agegp,"[0.8,0.8,0.8,0.8,0.8,0.8]",local,"[0,0,0,0,0,0]","[1,1,1,1,1,1]",vague prior,,"1-5, 6-11, 12-23, 24-35, 36-47, 48-59mo"
rr_progress_severe_stunting_if_prior_wasting,1.93,local,0.01,100,vague prior,,
rr_progress_severe_stunting_untreated_HIV,1.3,local,0.01,100,vague prior,,
mean_years_to_1stdev_natural_improvement_in_stunting,1.840675229,local,0.5,10,vague prior,,"Probability of remaining stunted for next 3 months = 0.873,"
effectiveness_of_complementary_feeding_education_in_stunting_reduction,0.25,local,0,1,vague prior,,mean difference
effectiveness_of_food_supplementation_in_stunting_reduction,0.41,universal,0,1,vague prior,,mean difference
prob_stunting_diagnosed_at_generic_appt,0.01,undetermined,0,1,calibration,,"This value is decided by comparing model and real usage on U5Malnutrition. Implementing this value, the model/data ratio is 1.52."
max_age_for_stunting_years,5,local,0,10,vague prior,,
haz_threshold_stunted,-2,universal,-5,0,vague prior,,
haz_threshold_severe_stunted,-3,universal,-5,0,vague prior,,
main_polling_frequency_months,1,undetermined,1,12,design decision,,
followup_appointment_months,6,local,1,24,vague prior,,
