district,region,cases_2010,pop,proportion_active,all_cases,whole_pop,general_prob
Balaka,Southern,1563,438379,0.0035654080145262434,50000,17563749,0.0028467726337924777
Blantyre,Southern,1563,451220,0.0034639422011435664,50000,17563749,0.0028467726337924777
Blantyre City,Southern,1563,800264,0.0019531054751931864,50000,17563749,0.0028467726337924777
Chikwawa,Southern,1563,564684,0.0027679197568905795,50000,17563749,0.0028467726337924777
Chiradzulu,Southern,1563,356875,0.00437968476357268,50000,17563749,0.0028467726337924777
Chitipa,Northern,1563,234927,0.006653130546935857,50000,17563749,0.0028467726337924777
Dedza,Central,1563,830512,0.0018819716030593176,50000,17563749,0.0028467726337924777
Dowa,Central,1563,772569,0.0020231202649860403,50000,17563749,0.0028467726337924777
Karonga,Northern,1563,365028,0.004281863309116013,50000,17563749,0.0028467726337924777
Kasungu,Central,1563,842953,0.0018541959041607301,50000,17563749,0.0028467726337924777
Likoma,Northern,1563,14527,0.10759275831210849,50000,17563749,0.0028467726337924777
Lilongwe,Central,1563,1637583,0.0009544554382892348,50000,17563749,0.0028467726337924777
Lilongwe City,Central,1563,989318,0.0015798762379740387,50000,17563749,0.0028467726337924777
Machinga,Southern,1563,735438,0.0021252641283153713,50000,17563749,0.0028467726337924777
Mangochi,Southern,1563,1148611,0.0013607740131341246,50000,17563749,0.0028467726337924777
Mchinji,Central,1563,602305,0.0025950307568424636,50000,17563749,0.0028467726337924777
Mulanje,Southern,1563,684107,0.002284730312655769,50000,17563749,0.0028467726337924777
Mwanza,Southern,1563,130949,0.01193594452802236,50000,17563749,0.0028467726337924777
Mzimba,Northern,1563,936250,0.001669425901201602,50000,17563749,0.0028467726337924777
Mzuzu City,Northern,1563,221272,0.007063704400014462,50000,17563749,0.0028467726337924777
Neno,Southern,1563,138291,0.01130225394277285,50000,17563749,0.0028467726337924777
Nkhata Bay,Northern,1563,285795,0.005468955020206791,50000,17563749,0.0028467726337924777
Nkhotakota,Central,1563,395897,0.0039479965748666955,50000,17563749,0.0028467726337924777
Nsanje,Southern,1563,299168,0.005224489250187186,50000,17563749,0.0028467726337924777
Ntcheu,Central,1563,659608,0.0023695892105614243,50000,17563749,0.0028467726337924777
Ntchisi,Central,1563,317069,0.004929526380693161,50000,17563749,0.0028467726337924777
Phalombe,Southern,1563,429450,0.003639538945162417,50000,17563749,0.0028467726337924777
Rumphi,Northern,1563,229161,0.0068205322895257044,50000,17563749,0.0028467726337924777
Salima,Central,1563,478346,0.003267509292436855,50000,17563749,0.0028467726337924777
Thyolo,Southern,1563,721456,0.002166452285378457,50000,17563749,0.0028467726337924777
Zomba,Southern,1563,746724,0.0020931428479598886,50000,17563749,0.0028467726337924777
Zomba City,Southern,1563,105013,0.014883871520668869,50000,17563749,0.0028467726337924777
