Variant,Period,Total_Births,M_to_F_Sex_Ratio
Estimates,1950-1955,776297.0,1.02
Estimates,1955-1960,882495.0,1.02
Estimates,1960-1965,1009075.0,1.02
Estimates,1965-1970,1155003.0,1.02
Estimates,1970-1975,1308620.0,1.02
Estimates,1975-1980,1503893.0,1.02
Estimates,1980-1985,1718823.0,1.02
Estimates,1985-1990,2085036.9999999998,1.02
Estimates,1990-1995,2202015.0,1.02
Estimates,1995-2000,2323777.0,1.02
Estimates,2000-2005,2570994.0,1.02
Estimates,2005-2010,2873986.0,1.025
Estimates,2010-2015,2961983.0,1.03
Estimates,2015-2020,3072248.0,1.03
Low variant,2020-2025,3154177.0,1.03
Medium variant,2020-2025,3369433.0,1.03
High variant,2020-2025,3584688.0,1.03
Low variant,2025-2030,3245118.0,1.03
Medium variant,2025-2030,3648501.0,1.03
High variant,2025-2030,4051886.0,1.03
Low variant,2030-2035,3283722.0,1.03
Medium variant,2030-2035,3856857.0,1.03
High variant,2030-2035,4429993.0,1.03
Low variant,2035-2040,3362105.0,1.03
Medium variant,2035-2040,4024294.0,1.03
High variant,2035-2040,4695800.0,1.03
Low variant,2040-2045,3380062.0,1.03
Medium variant,2040-2045,4181545.0,1.03
High variant,2040-2045,5023328.0,1.03
Low variant,2045-2050,3337246.0,1.03
Medium variant,2045-2050,4319075.0,1.03
High variant,2045-2050,5394067.0,1.03
Low variant,2050-2055,3278238.0,1.03
Medium variant,2050-2055,4456225.0,1.03
High variant,2050-2055,5795186.0,1.03
Low variant,2055-2060,3191148.0,1.03
Medium variant,2055-2060,4553749.0,1.03
High variant,2055-2060,6154759.0,1.03
Low variant,2060-2065,3096551.0,1.03
Medium variant,2060-2065,4625044.0,1.03
High variant,2060-2065,6481109.0,1.03
Low variant,2065-2070,2974121.0,1.03
Medium variant,2065-2070,4650555.0,1.03
High variant,2065-2070,6761156.0,1.03
Low variant,2070-2075,2829425.0,1.03
Medium variant,2070-2075,4644167.0,1.03
High variant,2070-2075,7021469.0,1.03
Low variant,2075-2080,2669757.0,1.03
Medium variant,2075-2080,4616255.0,1.03
High variant,2075-2080,7274559.0,1.03
Low variant,2080-2085,2506342.0,1.03
Medium variant,2080-2085,4573794.0,1.03
High variant,2080-2085,7517067.0,1.03
Low variant,2085-2090,2342594.0,1.03
Medium variant,2085-2090,4512937.0,1.03
High variant,2085-2090,7731863.0,1.03
Low variant,2090-2095,2181650.0,1.03
Medium variant,2090-2095,4434643.0,1.03
High variant,2090-2095,7915823.0,1.03
Low variant,2095-2100,2029857.0,1.03
Medium variant,2095-2100,4350445.0,1.03
High variant,2095-2100,8087818.0,1.03
