Year,Sex,Age_Grp,Variant,Count,Period
1990,F,1-4,GBD_Est,19822.637292564297,1990-1994
1990,F,10-14,GBD_Est,787.3924032286585,1990-1994
1990,F,15-19,GBD_Est,1161.0373936113535,1990-1994
1990,F,20-24,GBD_Est,2147.461061317659,1990-1994
1990,F,25-29,GBD_Est,2459.426068505591,1990-1994
1990,F,30-34,GBD_Est,2052.4985331662647,1990-1994
1990,F,35-39,GBD_Est,1889.2991208790322,1990-1994
1990,F,40-44,GBD_Est,1689.024397365896,1990-1994
1990,F,45-49,GBD_Est,1558.092846814506,1990-1994
1990,F,5-9,GBD_Est,1524.0660584184645,1990-1994
1990,F,50-54,GBD_Est,1665.8140087688575,1990-1994
1990,F,55-59,GBD_Est,1930.4846094076224,1990-1994
1990,F,60-64,GBD_Est,2423.446148241398,1990-1994
1990,F,65-69,GBD_Est,2904.623432047435,1990-1994
1990,F,70-74,GBD_Est,3294.578931179346,1990-1994
1990,F,75-79,GBD_Est,3012.058194135609,1990-1994
1990,F,80-84,GBD_Est,1939.5706803793441,1990-1994
1990,F,85-89,GBD_Est,970.211345799838,1990-1994
1990,F,90-94,GBD_Est,314.39109502799306,1990-1994
1990,F,95+,GBD_Est,68.3240794421878,1990-1994
1990,M,1-4,GBD_Est,22135.64227248815,1990-1994
1990,M,10-14,GBD_Est,971.3155211489133,1990-1994
1990,M,15-19,GBD_Est,1169.0815964785065,1990-1994
1990,M,20-24,GBD_Est,1957.331665275399,1990-1994
1990,M,25-29,GBD_Est,2509.403493197507,1990-1994
1990,M,30-34,GBD_Est,2412.7053689821673,1990-1994
1990,M,35-39,GBD_Est,2261.333105868326,1990-1994
1990,M,40-44,GBD_Est,2222.962048359079,1990-1994
1990,M,45-49,GBD_Est,2105.8504152375262,1990-1994
1990,M,5-9,GBD_Est,1942.5427708057052,1990-1994
1990,M,50-54,GBD_Est,2123.524922818454,1990-1994
1990,M,55-59,GBD_Est,2351.2979371250876,1990-1994
1990,M,60-64,GBD_Est,2694.632185044517,1990-1994
1990,M,65-69,GBD_Est,3093.2875499559163,1990-1994
1990,M,70-74,GBD_Est,3491.2489721009497,1990-1994
1990,M,75-79,GBD_Est,3136.821765540315,1990-1994
1990,M,80-84,GBD_Est,1988.6312279857557,1990-1994
1990,M,85-89,GBD_Est,983.0226096474076,1990-1994
1990,M,90-94,GBD_Est,326.1157115229684,1990-1994
1990,M,95+,GBD_Est,62.430094206789384,1990-1994
1991,F,1-4,GBD_Est,20594.481573688452,1990-1994
1991,F,10-14,GBD_Est,817.4729942373116,1990-1994
1991,F,15-19,GBD_Est,1247.9505127989883,1990-1994
1991,F,20-24,GBD_Est,2504.7912200253368,1990-1994
1991,F,25-29,GBD_Est,3011.303976634684,1990-1994
1991,F,30-34,GBD_Est,2473.512269829669,1990-1994
1991,F,35-39,GBD_Est,2198.299005389512,1990-1994
1991,F,40-44,GBD_Est,1920.7303696411238,1990-1994
1991,F,45-49,GBD_Est,1759.1311363046727,1990-1994
1991,F,5-9,GBD_Est,1556.4091348863685,1990-1994
1991,F,50-54,GBD_Est,1795.727463450012,1990-1994
1991,F,55-59,GBD_Est,2008.1449213898725,1990-1994
1991,F,60-64,GBD_Est,2530.49961883478,1990-1994
1991,F,65-69,GBD_Est,2999.1544037917224,1990-1994
1991,F,70-74,GBD_Est,3395.0614362726187,1990-1994
1991,F,75-79,GBD_Est,3115.4368004657586,1990-1994
1991,F,80-84,GBD_Est,2022.3442066188086,1990-1994
1991,F,85-89,GBD_Est,994.5909699759595,1990-1994
1991,F,90-94,GBD_Est,330.81330323325125,1990-1994
1991,F,95+,GBD_Est,71.07207023698093,1990-1994
1991,M,1-4,GBD_Est,22890.02187340107,1990-1994
1991,M,10-14,GBD_Est,1008.0507018364526,1990-1994
1991,M,15-19,GBD_Est,1266.6022666156284,1990-1994
1991,M,20-24,GBD_Est,2226.176654236129,1990-1994
1991,M,25-29,GBD_Est,3018.3027677940017,1990-1994
1991,M,30-34,GBD_Est,2917.5803226603107,1990-1994
1991,M,35-39,GBD_Est,2644.464887585485,1990-1994
1991,M,40-44,GBD_Est,2584.251345255655,1990-1994
1991,M,45-49,GBD_Est,2392.72941806211,1990-1994
1991,M,5-9,GBD_Est,1961.0783082935382,1990-1994
1991,M,50-54,GBD_Est,2314.106792129182,1990-1994
1991,M,55-59,GBD_Est,2476.1199958157404,1990-1994
1991,M,60-64,GBD_Est,2841.955792654928,1990-1994
1991,M,65-69,GBD_Est,3210.5849043704006,1990-1994
1991,M,70-74,GBD_Est,3630.206519560157,1990-1994
1991,M,75-79,GBD_Est,3258.9872018583947,1990-1994
1991,M,80-84,GBD_Est,2071.339656757942,1990-1994
1991,M,85-89,GBD_Est,997.7808337697243,1990-1994
1991,M,90-94,GBD_Est,339.06974351282906,1990-1994
1991,M,95+,GBD_Est,64.23461624334448,1990-1994
1992,F,1-4,GBD_Est,21124.14495897843,1990-1994
1992,F,10-14,GBD_Est,798.2949603707997,1990-1994
1992,F,15-19,GBD_Est,1303.4274273720441,1990-1994
1992,F,20-24,GBD_Est,2861.3158467289913,1990-1994
1992,F,25-29,GBD_Est,3668.178937602822,1990-1994
1992,F,30-34,GBD_Est,2991.9636362801025,1990-1994
1992,F,35-39,GBD_Est,2581.314933542071,1990-1994
1992,F,40-44,GBD_Est,2199.705394692963,1990-1994
1992,F,45-49,GBD_Est,2006.966218150915,1990-1994
1992,F,5-9,GBD_Est,1564.5504919541288,1990-1994
1992,F,50-54,GBD_Est,1962.053811483349,1990-1994
1992,F,55-59,GBD_Est,2096.8280175700434,1990-1994
1992,F,60-64,GBD_Est,2663.974860073507,1990-1994
1992,F,65-69,GBD_Est,3101.225651355801,1990-1994
1992,F,70-74,GBD_Est,3506.3833167952725,1990-1994
1992,F,75-79,GBD_Est,3203.289911156479,1990-1994
1992,F,80-84,GBD_Est,2140.7507133002855,1990-1994
1992,F,85-89,GBD_Est,1026.758556341027,1990-1994
1992,F,90-94,GBD_Est,346.1456171749348,1990-1994
1992,F,95+,GBD_Est,74.220994716906,1990-1994
1992,M,1-4,GBD_Est,23372.907818749773,1990-1994
1992,M,10-14,GBD_Est,978.6763539728289,1990-1994
1992,M,15-19,GBD_Est,1308.9768609445152,1990-1994
1992,M,20-24,GBD_Est,2441.9949604727226,1990-1994
1992,M,25-29,GBD_Est,3559.6417494580596,1990-1994
1992,M,30-34,GBD_Est,3469.087100778492,1990-1994
1992,M,35-39,GBD_Est,3079.4721722819013,1990-1994
1992,M,40-44,GBD_Est,2972.112843402147,1990-1994
1992,M,45-49,GBD_Est,2733.404286867049,1990-1994
1992,M,5-9,GBD_Est,1941.9080844795474,1990-1994
1992,M,50-54,GBD_Est,2534.7181271552818,1990-1994
1992,M,55-59,GBD_Est,2620.2377088330886,1990-1994
1992,M,60-64,GBD_Est,3023.046181697641,1990-1994
1992,M,65-69,GBD_Est,3338.623342617126,1990-1994
1992,M,70-74,GBD_Est,3783.808291876511,1990-1994
1992,M,75-79,GBD_Est,3386.0369376727886,1990-1994
1992,M,80-84,GBD_Est,2158.751746250823,1990-1994
1992,M,85-89,GBD_Est,1019.9379486876262,1990-1994
1992,M,90-94,GBD_Est,349.28206963280974,1990-1994
1992,M,95+,GBD_Est,66.06803758627726,1990-1994
1993,F,1-4,GBD_Est,21459.03755311651,1990-1994
1993,F,10-14,GBD_Est,782.5149480650529,1990-1994
1993,F,15-19,GBD_Est,1339.4157322585183,1990-1994
1993,F,20-24,GBD_Est,3089.597576814306,1990-1994
1993,F,25-29,GBD_Est,4268.5026628916685,1990-1994
1993,F,30-34,GBD_Est,3556.182374695672,1990-1994
1993,F,35-39,GBD_Est,3016.0065264209034,1990-1994
1993,F,40-44,GBD_Est,2534.9594631911937,1990-1994
1993,F,45-49,GBD_Est,2273.116668819162,1990-1994
1993,F,5-9,GBD_Est,1599.2228623060437,1990-1994
1993,F,50-54,GBD_Est,2130.864957969329,1990-1994
1993,F,55-59,GBD_Est,2186.7603657902287,1990-1994
1993,F,60-64,GBD_Est,2828.4527341440285,1990-1994
1993,F,65-69,GBD_Est,3183.619281816862,1990-1994
1993,F,70-74,GBD_Est,3593.551657976982,1990-1994
1993,F,75-79,GBD_Est,3353.2256179626,1990-1994
1993,F,80-84,GBD_Est,2230.7024775126424,1990-1994
1993,F,85-89,GBD_Est,1059.266674164601,1990-1994
1993,F,90-94,GBD_Est,357.4975486483521,1990-1994
1993,F,95+,GBD_Est,78.7369926119851,1990-1994
1993,M,1-4,GBD_Est,23650.02914521606,1990-1994
1993,M,10-14,GBD_Est,956.2102327361289,1990-1994
1993,M,15-19,GBD_Est,1326.8005903943113,1990-1994
1993,M,20-24,GBD_Est,2542.2789923888336,1990-1994
1993,M,25-29,GBD_Est,3988.156937020527,1990-1994
1993,M,30-34,GBD_Est,4007.72821377691,1990-1994
1993,M,35-39,GBD_Est,3547.4999573941845,1990-1994
1993,M,40-44,GBD_Est,3399.199556922868,1990-1994
1993,M,45-49,GBD_Est,3097.374557580362,1990-1994
1993,M,5-9,GBD_Est,1931.76696902692,1990-1994
1993,M,50-54,GBD_Est,2766.4952414287413,1990-1994
1993,M,55-59,GBD_Est,2763.6042497123117,1990-1994
1993,M,60-64,GBD_Est,3226.3173975461627,1990-1994
1993,M,65-69,GBD_Est,3438.241695739024,1990-1994
1993,M,70-74,GBD_Est,3931.4287688199415,1990-1994
1993,M,75-79,GBD_Est,3531.6002773261775,1990-1994
1993,M,80-84,GBD_Est,2226.9327564357154,1990-1994
1993,M,85-89,GBD_Est,1044.4311565999121,1990-1994
1993,M,90-94,GBD_Est,352.48135543752124,1990-1994
1993,M,95+,GBD_Est,68.57210241607089,1990-1994
1994,F,1-4,GBD_Est,21496.89779441592,1990-1994
1994,F,10-14,GBD_Est,750.4421820983238,1990-1994
1994,F,15-19,GBD_Est,1329.4954336112935,1990-1994
1994,F,20-24,GBD_Est,2995.0218274960466,1990-1994
1994,F,25-29,GBD_Est,4550.794001079787,1990-1994
1994,F,30-34,GBD_Est,4027.4002102728496,1990-1994
1994,F,35-39,GBD_Est,3435.3467568195356,1990-1994
1994,F,40-44,GBD_Est,2849.2259317959415,1990-1994
1994,F,45-49,GBD_Est,2558.7087520425075,1990-1994
1994,F,5-9,GBD_Est,1610.8659127415838,1990-1994
1994,F,50-54,GBD_Est,2333.115635629845,1990-1994
1994,F,55-59,GBD_Est,2307.917197733591,1990-1994
