year,age_group (months),sample_size,prev any wast (%),prev severe wast (%),source
2010,0_5mo,352,7,2.1,Malawi DHS 2010
2010,6_11mo,517,13,7.1,Malawi DHS 2010
2010,12_23mo,1059,12.7,4.7,Malawi DHS 2010
2010,24_35mo,985,2.4,0.9,Malawi DHS 2010
2010,36_47mo,986,2.7,0.7,Malawi DHS 2010
2010,48_59mo,951,1.9,0.6,Malawi DHS 2010
2010,5y+,0,0,0,Malawi DHS 2010
2013,0_5mo,1592,5.8,2.6,Malawi MICS 2013-2014
2013,6_11mo,1676,5.8,2.5,Malawi MICS 2013-2014
2013,12_23mo,3650,5.4,1.1,Malawi MICS 2013-2014
2013,24_35mo,3812,3.9,0.8,Malawi MICS 2013-2014
2013,36_47mo,3905,2.2,0.7,Malawi MICS 2013-2014
2013,48_59mo,3576,2,0.3,Malawi MICS 2013-2014
2013,5y+,0,0,0,Malawi MICS 2013-2014
2015,0_5mo,526,3.7,1.1,Malawi DHS 2015-16
2015,6_11mo,582,7.7,1,Malawi DHS 2015-16
2015,12_23mo,1117,6.5,0.7,Malawi DHS 2015-16
2015,24_35mo,1168,2.2,1,Malawi DHS 2015-16
2015,36_47mo,1238,1.9,0.1,Malawi DHS 2015-16
2015,48_59mo,1159,2.6,0.5,Malawi DHS 2015-16
2015,5y+,0,0,0,Malawi DHS 2015-16
2019,0_5mo,1414,2.5,1,Malawi MICS 2019-2020
2019,6_11mo,1467,2.6,1,Malawi MICS 2019-2020
2019,12_23mo,3152,9.1,2.7,Malawi MICS 2019-2020
2019,24_35mo,3173,2,0.8,Malawi MICS 2019-2020
2019,36_47mo,2976,1.8,0.2,Malawi MICS 2019-2020
2019,48_59mo,2809,1.8,0.3,Malawi MICS 2019-2020
2019,5y+,0,0,0,Malawi MICS 2019-2020
