,RealFacility_ID,year,month,service,disruption,mean_all_service
0,Area 30 Police Clinic,2025,1,all,0.032418172,0.032418172
1,Balaka District Hospital,2025,1,all,0.041652104,0.041652104
2,Bangwe Health Centre,2025,1,all,0,0
3,Benga Health Centre,2025,1,all,0,0
4,Bilira Health Centre,2025,1,all,0,0
5,Bolero Rural Hospital,2025,1,all,0.04504389,0.04504389
6,Bondo Health Centre,2025,1,all,0.032305152,0.032305152
7,Bula Health Centre,2025,1,all,0,0
8,Bulala Health Centre,2025,1,all,0.019022296,0.019022296
9,Bvumbwe Health Centre,2025,1,all,0.051103897,0.051103897
10,Bwanje Health Centre,2025,1,all,0.03133299,0.03133299
11,Chadza Health Centre,2025,1,all,0,0
12,Chakhaza Health Centre,2025,1,all,0.006891511,0.006891511
13,Chamama Health Centre,2025,1,all,0.025268559,0.025268559
14,Chambe Health Centre,2025,1,all,0,0
15,Chang'ambika Health Centre,2025,1,all,0.023912302,0.023912302
16,Chapananga Health Centre,2025,1,all,0.020068641,0.020068641
17,Chifunga Health Centre,2025,1,all,0,0
18,Chikande Health Centre,2025,1,all,0.035320457,0.035320457
19,Chikole Dispensary,2025,1,all,0.04696544,0.04696544
20,Chikuse Health Centre,2025,1,all,0,0
21,Chikwawa District Hospital,2025,1,all,0.02206721,0.02206721
22,Chikweo Health Centre,2025,1,all,0.012031068,0.012031068
23,Chikwina Health Centre,2025,1,all,0.016468822,0.016468822
24,Chileka Health Centre,2025,1,all,0.06129997,0.06129997
25,Chileka Sda Health Centre,2025,1,all,0,0
26,Chilonga Health Centre,2025,1,all,0,0
27,Chilumba Rural Hospital,2025,1,all,0,0
28,Chimatiro Health Centre,2025,1,all,0,0
29,Chimbalanga Health Centre,2025,1,all,0.049263153,0.049263153
30,Chimoto Health Centre,2025,1,all,0.058323075,0.058323075
31,Chingale Health Centre,2025,1,all,0.004390318,0.004390318
32,Chingazi Health Centre,2025,1,all,0,0
33,Chintheche Rural Hospital,2025,1,all,0,0
34,Chinyama Health Centre,2025,1,all,0.029384616,0.029384616
35,Chioshya Health Centre,2025,1,all,0,0
36,Chipho Health Centre,2025,1,all,0,0
37,Chipoka Health Centre,2025,1,all,0.026035413,0.026035413
38,Chiradzulu District Hospital,2025,1,all,0.035303432,0.035303432
39,Chiringa Health Centre,2025,1,all,0,0
40,Chiringa Maternity,2025,1,all,0.012661689,0.012661689
41,Chisala Health Centre,2025,1,all,0,0
42,Chisepo Health Centre,2025,1,all,0.012226649,0.012226649
43,Chisi Health Centre,2025,1,all,0,0
44,Chisimuka Health Centre,2025,1,all,0,0
45,Chisitu Health Centre,2025,1,all,0.02074836,0.02074836
46,Chitala Health Centre,2025,1,all,0,0
47,Chitekesa Health Centre,2025,1,all,0,0
48,Chitera Health Centre,2025,1,all,0.034180664,0.034180664
49,Chitheka Health Centre,2025,1,all,0.03322596,0.03322596
50,Chitimba Health Centre,2025,1,all,0.076027047,0.076027047
51,Chitipa District Hospital,2025,1,all,0.043894877,0.043894877
52,Chitowo Health Centre,2025,1,all,0.053754798,0.053754798
53,Chiwamba Health Centre,2025,1,all,0,0
54,Chiwe Health Centre,2025,1,all,0,0
55,Choma Health Centre,2025,1,all,0.020868412,0.020868412
56,City Clinic Zomba,2025,1,all,0.020229519,0.020229519
57,Dedza District Hospital,2025,1,all,0.062533393,0.062533393
58,Diamphwe Health Centre,2025,1,all,0.053980361,0.053980361
59,Dickson Health Centre,2025,1,all,0.081204091,0.081204091
60,Domasi Rural Hospital,2025,1,all,0.016273518,0.016273518
61,Dr David Livingstone Memorial Clinic,2025,1,all,0,0
62,Dwambazi Rural Hospital,2025,1,all,0.039326018,0.039326018
63,Dzenje Health Centre,2025,1,all,0.018208257,0.018208257
64,Dzenza Health Centre,2025,1,all,0,0
65,Dziwe Health Centre,2025,1,all,0.03881426,0.03881426
66,Emsizini Health Centre,2025,1,all,0.021577042,0.021577042
67,Endindeni Health Centre,2025,1,all,0.024724772,0.024724772
68,Engucwini Health Centre,2025,1,all,0.018135738,0.018135738
69,Euthini Rural Hospital,2025,1,all,0.02117636,0.02117636
70,Fulirwa Health Centre,2025,1,all,0.036014144,0.036014144
71,Gaga Health Centre,2025,1,all,0.023795943,0.023795943
72,Ganya Health Centre,2025,1,all,0,0
73,Hora Health Centre,2025,1,all,0,0
74,Ifumbo Health Centre,2025,1,all,0.040518913,0.040518913
75,Jalasi Health Centre,2025,1,all,0.047368076,0.047368076
76,Jalawe Health Centre,2025,1,all,0.083682641,0.083682641
77,Jenda Health Centre,2025,1,all,0.013105169,0.013105169
78,Kabudula Rural Hospital,2025,1,all,0.029332542,0.029332542
79,Kabuwa Health Centre,2025,1,all,0,0
80,Kabwafu Health Centre,2025,1,all,0.010713029,0.010713029
81,Kachere Health Centre,2025,1,all,0.026769159,0.026769159
82,Kafele Health Centre,2025,1,all,0,0
83,Kaigwazanga Health Centre,2025,1,all,0.036530594,0.036530594
84,Kakoma Health Centre,2025,1,all,0,0
85,Kalemba Health Centre,2025,1,all,0,0
86,Kalembo Health Centre,2025,1,all,0.021186572,0.021186572
87,Kalimanjira Health Centre,2025,1,all,0.034849228,0.034849228
88,Kalinde Health Centre,2025,1,all,0,0
89,Kalulu Health Centre,2025,1,all,0.04747652,0.04747652
90,Kaluluma Rural Hospital,2025,1,all,0.004867916,0.004867916
91,Kambenje Health Centre,2025,1,all,0.022135058,0.022135058
92,Kamboni Health Centre,2025,1,all,0.002798433,0.002798433
93,Kameme Health Centre,2025,1,all,0,0
94,Kamsonga Health Centre,2025,1,all,0,0
95,Kamteteka Health Centre,2025,1,all,0.014120351,0.014120351
96,Kamwe Health Centre,2025,1,all,0,0
97,Kande Health Centre,2025,1,all,0.020796702,0.020796702
98,Kandeu Health Centre,2025,1,all,0.042987543,0.042987543
99,Kangolwa Health Centre,2025,1,all,0,0
100,Kanyama Health Centre,2025,1,all,0,0
101,Kanyezi Health Centre,2025,1,all,0,0
102,Kapanga Health Centre,2025,1,all,0,0
103,Kapelula Health Centre,2025,1,all,0,0
104,Kapenda Health Centre,2025,1,all,0,0
105,Kapeni Health Centre,2025,1,all,0.00681257,0.00681257
106,Kaphuka Health Centre,2025,1,all,0.054852522,0.054852522
107,Kapire Health Centre,2025,1,all,0,0
108,Kaporo Rural Hospital,2025,1,all,0.024019856,0.024019856
109,Karonga District Hospital,2025,1,all,0.020017517,0.020017517
110,Kaseye Mission Hospital,2025,1,all,0.040062757,0.040062757
111,Kasina Health Centre,2025,1,all,0,0
112,Kasinje Health Centre,2025,1,all,0,0
