,RealFacility_ID,year,month,service,disruption,mean_all_service
0,Area 30 Police Clinic,2025,1,all,0.04232064744798113,0.04232064744798113
1,Balaka District Hospital,2025,1,all,0.047498677373733374,0.047498677373733374
2,Bangwe Health Centre,2025,1,all,0.0,0.0
3,Benga Health Centre,2025,1,all,0.0,0.0
4,Bilira Health Centre,2025,1,all,0.0,0.0
5,Bolero Rural Hospital,2025,1,all,0.0,0.0
6,Bondo Health Centre,2025,1,all,0.008241926330461852,0.008241926330461852
7,Bula Health Centre,2025,1,all,0.0,0.0
8,Bulala Health Centre,2025,1,all,0.0,0.0
9,Bvumbwe Health Centre,2025,1,all,0.0320485949011573,0.0320485949011573
10,Bwanje Health Centre,2025,1,all,0.028832761210302704,0.028832761210302704
11,Chadza Health Centre,2025,1,all,0.0,0.0
12,Chakhaza Health Centre,2025,1,all,0.00767234366220962,0.00767234366220962
13,Chamama Health Centre,2025,1,all,0.0,0.0
14,Chambe Health Centre,2025,1,all,0.0,0.0
15,Chang'ambika Health Centre,2025,1,all,0.014519930318305209,0.014519930318305209
16,Chapananga Health Centre,2025,1,all,0.010842342929045255,0.010842342929045255
17,Chifunga Health Centre,2025,1,all,0.0,0.0
18,Chikande Health Centre,2025,1,all,0.0412056575333438,0.0412056575333438
19,Chikole Dispensary,2025,1,all,0.033171668590664366,0.033171668590664366
20,Chikuse Health Centre,2025,1,all,0.0,0.0
21,Chikwawa District Hospital,2025,1,all,0.01284738086690797,0.01284738086690797
22,Chikweo Health Centre,2025,1,all,0.010357441868897964,0.010357441868897964
23,Chikwina Health Centre,2025,1,all,0.0,0.0
24,Chileka Health Centre,2025,1,all,0.04955585208437685,0.04955585208437685
25,Chileka Sda Health Centre,2025,1,all,0.0,0.0
26,Chilonga Health Centre,2025,1,all,0.0,0.0
27,Chilumba Rural Hospital,2025,1,all,0.0,0.0
28,Chimatiro Health Centre,2025,1,all,0.0,0.0
29,Chimbalanga Health Centre,2025,1,all,0.033793068108089755,0.033793068108089755
30,Chimoto Health Centre,2025,1,all,0.0506196626118905,0.0506196626118905
31,Chingale Health Centre,2025,1,all,0.00014150404475673015,0.00014150404475673015
32,Chingazi Health Centre,2025,1,all,0.0,0.0
33,Chintheche Rural Hospital,2025,1,all,0.0,0.0
34,Chinyama Health Centre,2025,1,all,0.0,0.0
35,Chioshya Health Centre,2025,1,all,0.0,0.0
36,Chipho Health Centre,2025,1,all,0.0,0.0
37,Chipoka Health Centre,2025,1,all,0.022816879298181644,0.022816879298181644
38,Chiradzulu District Hospital,2025,1,all,0.014931020964006936,0.014931020964006936
39,Chiringa Health Centre,2025,1,all,0.0,0.0
40,Chiringa Maternity,2025,1,all,0.01020273477312946,0.01020273477312946
41,Chisala Health Centre,2025,1,all,0.0,0.0
42,Chisepo Health Centre,2025,1,all,0.0049702262877799,0.0049702262877799
43,Chisi Health Centre,2025,1,all,0.0,0.0
44,Chisimuka Health Centre,2025,1,all,0.0,0.0
45,Chisitu Health Centre,2025,1,all,0.010267988223911766,0.010267988223911766
46,Chitala Health Centre,2025,1,all,0.0,0.0
47,Chitekesa Health Centre,2025,1,all,0.0,0.0
48,Chitera Health Centre,2025,1,all,0.013784542569002842,0.013784542569002842
49,Chitheka Health Centre,2025,1,all,0.0,0.0
50,Chitimba Health Centre,2025,1,all,0.0700476156859206,0.0700476156859206
51,Chitipa District Hospital,2025,1,all,0.002590309458054539,0.002590309458054539
52,Chitowo Health Centre,2025,1,all,0.03805572754585939,0.03805572754585939
53,Chiwamba Health Centre,2025,1,all,0.0,0.0
54,Chiwe Health Centre,2025,1,all,0.0,0.0
55,Choma Health Centre,2025,1,all,0.0,0.0
56,City Clinic Zomba,2025,1,all,0.005649702404390638,0.005649702404390638
57,Dedza District Hospital,2025,1,all,0.05717412047529206,0.05717412047529206
58,Diamphwe Health Centre,2025,1,all,0.03828503323020107,0.03828503323020107
59,Dickson Health Centre,2025,1,all,0.05106205968847071,0.05106205968847071
60,Domasi Rural Hospital,2025,1,all,0.0016348326019833815,0.0016348326019833815
61,Dr David Livingstone Memorial Clinic,2025,1,all,0.0,0.0
62,Dwambazi Rural Hospital,2025,1,all,0.008763257188240822,0.008763257188240822
63,Dzenje Health Centre,2025,1,all,0.007700700028074131,0.007700700028074131
64,Dzenza Health Centre,2025,1,all,0.0,0.0
65,Dziwe Health Centre,2025,1,all,0.040155445687357176,0.040155445687357176
66,Emsizini Health Centre,2025,1,all,0.0,0.0
67,Endindeni Health Centre,2025,1,all,0.0,0.0
68,Engucwini Health Centre,2025,1,all,0.0,0.0
69,Euthini Rural Hospital,2025,1,all,0.0,0.0
70,Fulirwa Health Centre,2025,1,all,0.0,0.0
71,Gaga Health Centre,2025,1,all,0.014402451272492978,0.014402451272492978
72,Ganya Health Centre,2025,1,all,0.0,0.0
73,Hora Health Centre,2025,1,all,0.0,0.0
74,Ifumbo Health Centre,2025,1,all,0.0,0.0
75,Jalasi Health Centre,2025,1,all,0.033580132085983205,0.033580132085983205
76,Jalawe Health Centre,2025,1,all,0.07775275251110067,0.07775275251110067
77,Jenda Health Centre,2025,1,all,0.0,0.0
78,Kabudula Rural Hospital,2025,1,all,0.02688719276620333,0.02688719276620333
79,Kabuwa Health Centre,2025,1,all,0.0,0.0
80,Kabwafu Health Centre,2025,1,all,0.0,0.0
81,Kachere Health Centre,2025,1,all,0.00695011818554944,0.00695011818554944
82,Kafele Health Centre,2025,1,all,0.0,0.0
83,Kaigwazanga Health Centre,2025,1,all,0.027221470944073383,0.027221470944073383
84,Kakoma Health Centre,2025,1,all,0.0,0.0
85,Kalemba Health Centre,2025,1,all,0.0,0.0
86,Kalembo Health Centre,2025,1,all,0.0,0.0
87,Kalimanjira Health Centre,2025,1,all,0.040737303847873454,0.040737303847873454
88,Kalinde Health Centre,2025,1,all,0.0,0.0
89,Kalulu Health Centre,2025,1,all,0.03197736376276064,0.03197736376276064
90,Kaluluma Rural Hospital,2025,1,all,0.0,0.0
91,Kambenje Health Centre,2025,1,all,0.01907311366440842,0.01907311366440842
92,Kamboni Health Centre,2025,1,all,0.0,0.0
93,Kameme Health Centre,2025,1,all,0.0,0.0
94,Kamsonga Health Centre,2025,1,all,0.0,0.0
95,Kamteteka Health Centre,2025,1,all,0.0,0.0
96,Kamwe Health Centre,2025,1,all,0.0,0.0
97,Kande Health Centre,2025,1,all,0.0,0.0
98,Kandeu Health Centre,2025,1,all,0.032731134850445806,0.032731134850445806
99,Kangolwa Health Centre,2025,1,all,0.0,0.0
100,Kanyama Health Centre,2025,1,all,0.0,0.0
101,Kanyezi Health Centre,2025,1,all,0.0,0.0
102,Kapanga Health Centre,2025,1,all,0.0,0.0
103,Kapelula Health Centre,2025,1,all,0.0,0.0
104,Kapenda Health Centre,2025,1,all,0.0,0.0
105,Kapeni Health Centre,2025,1,all,0.03192159278056953,0.03192159278056953
106,Kaphuka Health Centre,2025,1,all,0.03917166390071026,0.03917166390071026
107,Kapire Health Centre,2025,1,all,0.0,0.0
108,Kaporo Rural Hospital,2025,1,all,0.02502651688730661,0.02502651688730661
109,Karonga District Hospital,2025,1,all,0.021028305724848123,0.021028305724848123
110,Kaseye Mission Hospital,2025,1,all,0.0,0.0
111,Kasina Health Centre,2025,1,all,0.0,0.0
112,Kasinje Health Centre,2025,1,all,0.0,0.0
