,RealFacility_ID,year,month,service,disruption,mean_all_service
0,Area 30 Police Clinic,2025,1,all,0.047927257996820447,0.047927257996820447
1,Balaka District Hospital,2025,1,all,0.06388952283948658,0.06388952283948658
2,Bangwe Health Centre,2025,1,all,0.0,0.0
3,Benga Health Centre,2025,1,all,0.0,0.0
4,Bilira Health Centre,2025,1,all,0.0,0.0
5,Bolero Rural Hospital,2025,1,all,0.019841722154331963,0.019841722154331963
6,Bondo Health Centre,2025,1,all,0.08972698061651743,0.08972698061651743
7,Bula Health Centre,2025,1,all,0.0,0.0
8,Bulala Health Centre,2025,1,all,0.011694379280158736,0.011694379280158736
9,Bvumbwe Health Centre,2025,1,all,0.11218130375285809,0.11218130375285809
10,Bwanje Health Centre,2025,1,all,0.04319844171228016,0.04319844171228016
11,Chadza Health Centre,2025,1,all,0.0,0.0
12,Chakhaza Health Centre,2025,1,all,0.01353822032508277,0.01353822032508277
13,Chamama Health Centre,2025,1,all,0.01898877207948938,0.01898877207948938
14,Chambe Health Centre,2025,1,all,0.0,0.0
15,Chang'ambika Health Centre,2025,1,all,0.08587351414614589,0.08587351414614589
16,Chapananga Health Centre,2025,1,all,0.05782491080781761,0.05782491080781761
17,Chifunga Health Centre,2025,1,all,0.0,0.0
18,Chikande Health Centre,2025,1,all,0.057704794623755794,0.057704794623755794
19,Chikole Dispensary,2025,1,all,0.05624366676530421,0.05624366676530421
20,Chikuse Health Centre,2025,1,all,0.0,0.0
21,Chikwawa District Hospital,2025,1,all,0.05477609529772973,0.05477609529772973
22,Chikweo Health Centre,2025,1,all,0.04360626224204289,0.04360626224204289
23,Chikwina Health Centre,2025,1,all,0.028391699690531312,0.028391699690531312
24,Chileka Health Centre,2025,1,all,0.05450684695420527,0.05450684695420527
25,Chileka Sda Health Centre,2025,1,all,0.0,0.0
26,Chilonga Health Centre,2025,1,all,0.0,0.0
27,Chilumba Rural Hospital,2025,1,all,0.0,0.0
28,Chimatiro Health Centre,2025,1,all,0.0,0.0
29,Chimbalanga Health Centre,2025,1,all,0.044036852290963414,0.044036852290963414
30,Chimoto Health Centre,2025,1,all,0.053937172367606125,0.053937172367606125
31,Chingale Health Centre,2025,1,all,0.07167335723675712,0.07167335723675712
32,Chingazi Health Centre,2025,1,all,0.0,0.0
33,Chintheche Rural Hospital,2025,1,all,0.0,0.0
34,Chinyama Health Centre,2025,1,all,0.02313134758441878,0.02313134758441878
35,Chioshya Health Centre,2025,1,all,0.0,0.0
36,Chipho Health Centre,2025,1,all,0.0,0.0
37,Chipoka Health Centre,2025,1,all,0.024140514527444954,0.024140514527444954
38,Chiradzulu District Hospital,2025,1,all,0.09522825096584471,0.09522825096584471
39,Chiringa Health Centre,2025,1,all,0.0,0.0
40,Chiringa Maternity,2025,1,all,0.07615598452371831,0.07615598452371831
41,Chisala Health Centre,2025,1,all,0.0,0.0
42,Chisepo Health Centre,2025,1,all,0.024377951181225387,0.024377951181225387
43,Chisi Health Centre,2025,1,all,0.0,0.0
44,Chisimuka Health Centre,2025,1,all,0.0,0.0
45,Chisitu Health Centre,2025,1,all,0.07987397183358508,0.07987397183358508
46,Chitala Health Centre,2025,1,all,0.0,0.0
47,Chitekesa Health Centre,2025,1,all,0.0,0.0
48,Chitera Health Centre,2025,1,all,0.09417522697995827,0.09417522697995827
49,Chitheka Health Centre,2025,1,all,0.031110569422862788,0.031110569422862788
50,Chitimba Health Centre,2025,1,all,0.07492664419694021,0.07492664419694021
51,Chitipa District Hospital,2025,1,all,0.032329544365416615,0.032329544365416615
52,Chitowo Health Centre,2025,1,all,0.04642005577383546,0.04642005577383546
53,Chiwamba Health Centre,2025,1,all,0.0,0.0
