parameter_name,value,upper,lower,Source: GBD 2019 per 100 PY
0-4,0.0,0.0,0.0,
5-9,0.0,0.0,0.0,
10-14,0.0,0.0,0.0,
15-19,0.00536030590004881,0.0107550558271748,0.0013641614392394701,
20-24,0.0174817256034038,0.0261234159946745,0.0113197349024158,
25-29,0.031040907132645502,0.0445729854643575,0.018918547758914498,
30-34,0.0440441886119389,0.057934384228009596,0.031064887531992897,
35-39,0.0565284831745579,0.0808056218721904,0.0382402310996217,
40-44,0.102320017573805,0.132207903101872,0.07635819731318681,
45-49,0.180446097436657,0.248756352733261,0.125506348374049,
50-54,0.303658661486576,0.388025916058732,0.231211565821655,
55-59,0.471703574597768,0.659881786583281,0.316303180403544,
60-64,0.686045110459312,0.8728829381586409,0.52552516928234,
65-69,0.944629029264332,1.22733482565762,0.658131007355308,
70-74,1.2799773430692,1.57451030399605,0.980901174068456,
75-79,1.68878492638829,2.29069565771331,1.20506603030296,
80-84,2.06961221210473,2.72877257510465,1.53984276458309,
85-89,2.41746656017688,3.19605321121458,1.7831232713288,
90-94,2.58968580917288,3.3928253461640203,1.97301813248135,
95-99,2.62733244474064,3.87972321540443,1.60805662833581,
100+,2.62733244474064,3.87972321540443,1.60805662833581,
