parameter_name,value,upper,lower,Source: GBD 2019 per 100 PY
0-4,0.0,0.0,0.0,
5-9,0.346103462910708,0.5503440499901281,0.189723910440551,
10-14,0.8996901151039071,1.2874792067243699,0.5907406878046431,
15-19,1.20302057833714,1.7127996229501,0.784644100255171,
20-24,1.5627927325867599,2.22226997905663,0.978831850480289,
25-29,1.9770084804839,2.75931528655028,1.29987569336587,
30-34,2.45409735014662,3.49610712240269,1.65213293484476,
35-39,3.088804026745,4.50178448880878,2.0483217502904,
40-44,3.62085631627982,5.1677765500015,2.4329311793912796,
45-49,4.239492747524411,5.83476967244393,2.8482828323804203,
50-54,4.93659333886673,6.89461950364065,3.20592781916671,
55-59,5.60493716079273,7.56657104019705,3.94230596148143,
60-64,6.25370876847218,8.4196374334349,4.2618552918670805,
65-69,6.813895999022989,9.35455021169534,4.64968250135105,
70-74,7.19934976384556,9.92770133872091,5.05996208394143,
75-79,7.6729014307899694,10.6037935558375,5.254281688130019,
80-84,7.66530143173406,10.502316332261099,5.16995474375039,
85-89,6.9566706952731705,9.431205353977601,4.732995950040451,
90-94,6.535904007191021,9.03736629248002,4.5993287035739305,
95-99,6.39533798194757,9.708868143779169,3.8341872575243303,
100+,6.39533798194757,9.708868143779169,3.8341872575243303,
