parameter_name,value,upper,lower,Source: GBD per 100 PY
0-4,0.0,0.0,0.0,
5-9,0.0,0.0,0.0,
10-14,0.0,0.0,0.0,
15-19,0.07690734043655721,0.105791432436799,0.0502632750898722,
20-24,0.105524900666424,0.149489006675336,0.0697094119773248,
25-29,0.114994748050553,0.166384738288205,0.073588960611083,
30-34,0.13258926691515502,0.18417893856352502,0.0862494920704891,
35-39,0.160168644923909,0.221712595791222,0.107302215957151,
40-44,0.247175559998809,0.318819317041795,0.185944335848033,
45-49,0.39237156980536203,0.526238049315278,0.27874474674197197,
50-54,0.523623220961316,0.648704012241432,0.409708055413513,
55-59,0.6486719010231531,0.87499621474865,0.456561146720041,
60-64,0.748161514608113,0.951951220977679,0.5826166063696849,
65-69,0.812972595264592,1.04645104551008,0.563786007733259,
70-74,0.725760203777042,0.9288143972606769,0.491937778184171,
75-79,0.539137837675652,0.67682149046511,0.41524174284357795,
80-84,0.348160466923415,0.496458585590907,0.226743772900442,
85-89,0.133083691119505,0.18290377599808802,0.0909753592905364,
90-94,0.0210516034626454,0.0382709084108196,0.010003082526544601,
95-99,0.012463843627157,0.0278887101566001,0.00164408230230138,
100+,0.012463843627157,0.0278887101566001,0.00164408230230138,
