parameter_name,value,upper,lower,Source: GBD 2019 per 100 PY
0-4,0.0463966193917425,0.0666558222466361,0.0309699032317465,
5-9,0.024292324691975398,0.0384256526429883,0.0137642825894816,
10-14,0.015487914585604199,0.024955599651808002,0.00935370944453106,
15-19,0.013128580968442,0.0196484078858876,0.008005337549729511,
20-24,0.0143334458421792,0.020890413185042,0.00980535985557184,
25-29,0.0191823746055106,0.0285071867231254,0.0128297500221076,
30-34,0.0294367909660353,0.0389561342729681,0.0224190208428896,
35-39,0.045105629311918895,0.0587125172367216,0.034362840448863896,
40-44,0.0854392561477538,0.101992342183218,0.0718292892493474,
45-49,0.150154331536593,0.185285346465791,0.122889109545655,
50-54,0.227806819654496,0.26629816944711304,0.194550128578454,
55-59,0.319872128000971,0.389598231826599,0.262348904378466,
60-64,0.454538758992184,0.5277554512493919,0.38644584370469104,
65-69,0.631137140581624,0.784857777057925,0.493411786173638,
70-74,0.794972263814541,0.944062904868962,0.660133893203648,
75-79,0.943852302512803,1.14635751940189,0.755331484661894,
80-84,1.19146705908574,1.4378158882013299,0.9823455090304539,
85-89,1.54985485740631,1.82637817318052,1.33751194219903,
90-94,1.9215878574292,2.3386127515004,1.58103520783368,
95-99,2.30486077765775,2.8957901555317,1.79148034814372,
100+,2.30486077765775,2.8957901555317,1.79148034814372,
