parameter_name,value,lower,upper,Source: GBD 2019
m_0-4,0.0,0.0,0.0,
m_5-9,0.0,0.0,0.0,
m_10-14,0.0,0.0,0.0,
m_15-19,0.0,0.0,0.0,
m_20-24,0.0214171631361649,0.0311925320044025,0.0135743850857491,
m_25-29,0.038652351124492904,0.0559822151407412,0.0234073312536786,
m_30-34,0.055000705147036796,0.07341730320664411,0.0392029706330845,
m_35-39,0.07046210962659591,0.101792993996598,0.0477300374849558,
m_40-44,0.125463448374204,0.161543218935111,0.0937481675966277,
m_45-49,0.219994422993183,0.31107030478657,0.15200030649571,
m_50-54,0.37473551329977,0.478402611264677,0.28558488935759496,
m_55-59,0.589647098793332,0.8222826957807119,0.396480936415459,
m_60-64,0.858832706722279,1.1055128276130999,0.656731617947362,
m_65-69,1.1822285780043,1.53583222812179,0.8246726572671791,
m_70-74,1.59093474957167,1.9602564705699899,1.22596900627575,
m_75-79,2.08483919356752,2.836341593097,1.4872936204845,
m_80-84,2.58111611059914,3.398401768105,1.91003618661377,
m_85-89,3.0796695779178798,4.13921771765775,2.248727543007,
m_90-94,3.4122569992694998,4.51829500416875,2.567929876211,
m_95-99,3.5788676065192098,5.301576773883751,2.124323635008,
m_100+,3.5788676065192098,5.301576773883751,2.124323635008,
f_0-4,0.0,0.0,0.0,
f_5-9,0.0,0.0,0.0,
f_10-14,0.0,0.0,0.0,
f_15-19,0.0,0.0,0.0,
f_20-24,0.0139005106783344,0.0217780201405958,0.008040212388157381,
f_25-29,0.024270978975673,0.035611938170918796,0.0140128685815383,
f_30-34,0.0342824494223747,0.0457589060024249,0.0235044824169792,
f_35-39,0.0439347003457853,0.0647036168781854,0.028176434989492002,
f_40-44,0.0789758655106587,0.104736200203348,0.0580227679450514,
f_45-49,0.13940225175575302,0.19191181374278,0.09551791458313989,
f_50-54,0.235326259773868,0.29861387819269,0.1789416406682,
f_55-59,0.366731883535122,0.519393419430687,0.24347956795851,
f_60-64,0.539113201191087,0.691589140096369,0.407258144969747,
f_65-69,0.752437227291258,0.9961193943695119,0.51286152043497,
f_70-74,1.0496098973527501,1.30151731898847,0.800414717567542,
f_75-79,1.4305446182343702,1.9798702161794899,1.01396563518819,
f_80-84,1.79697146182628,2.3519935009124904,1.34848479307442,
f_85-89,2.14888554502617,2.8286761405075,1.57660359964845,
f_90-94,2.36520916795315,3.10974402443099,1.7894669195725001,
f_95-99,2.44593416584841,3.59911462119999,1.5164101617843702,
f_100+,2.44593416584841,3.59911462119999,1.5164101617843702,
