parameter_name,value,lower,upper,Source: GBD 2019 per 100 PY
m_0-4,0.0,0.0,0.0,
m_5-9,0.0,0.0,0.0,
m_10-14,0.0,0.0,0.0,
m_15-19,0.0,0.0,0.0,
m_20-24,0.016747629530000002,0.02378376,0.01201171,
m_25-29,0.022490569529999997,0.032248280000000004,0.01633538,
m_30-34,0.03397026537,0.04360432,0.02698976,
m_35-39,0.05118639133,0.06524089999999999,0.03974043,
m_40-44,0.09921931635,0.11627660000000001,0.08379027,
m_45-49,0.1780663906,0.216284,0.1441631,
m_50-54,0.2649123925,0.3095591,0.2272905,
m_55-59,0.3597530551,0.43867090000000003,0.29140249999999995,
m_60-64,0.496356904,0.5911856,0.4157074,
m_65-69,0.6746940423,0.8708957,0.5133282,
m_70-74,0.8544893926,1.056657,0.6937299,
m_75-79,1.035749416,1.2760070000000001,0.8222913,
m_80-84,1.2725742459999998,1.554726,1.0385609999999998,
m_85-89,1.5649676099999998,1.846873,1.339416,
m_90-94,1.8573177539999999,2.2936959999999997,1.501801,
m_95-99,2.149628448,2.748839,1.6344210000000001,
m_100+,2.149628448,2.748839,1.6344210000000001,
f_0-4,0.0,0.0,0.0,
f_5-9,0.0,0.0,0.0,
f_10-14,0.0,0.0,0.0,
f_15-19,0.0,0.0,0.0,
f_20-24,0.01213655907,0.018942630000000002,0.007360303,
f_25-29,0.01623993136,0.02587312,0.009953173,
f_30-34,0.02539767921,0.03503303,0.01835011,
f_35-39,0.0396095873,0.053831910000000004,0.02914284,
f_40-44,0.07153968251000001,0.08704286,0.0583077,
f_45-49,0.1211867779,0.1538917,0.09581043,
f_50-54,0.1921339832,0.2266375,0.16124709999999998,
f_55-59,0.284377442,0.34892039999999996,0.2304939,
f_60-64,0.41897822100000004,0.4937035,0.35266410000000004,
f_65-69,0.5959044161,0.7571158,0.4679155,
f_70-74,0.7508800228,0.9119722,0.6197785,
f_75-79,0.8839323854000001,1.09295,0.6943088000000001,
f_80-84,1.148235474,1.39451,0.9416308,
f_85-89,1.54372532,1.828495,1.3253679999999999,
f_90-94,1.939126931,2.378834,1.5888849999999999,
f_95-99,2.33445388,2.954977,1.809215,
f_100+,2.33445388,2.954977,1.809215,
