parameter_name,value,param_label,prior_min,prior_max,prior_note,
baseline_annual_probability,0.006,local,0,1,vague prior,
rr_male,1,universal,0,100,vague prior,
rr_0_4,0,universal,0,100,vague prior,
rr_5_9,0,universal,0,100,vague prior,
rr_10_14,0,universal,0,100,vague prior,
rr_15_19,0,universal,0,100,vague prior,
rr_20_24,0.69,universal,0,100,vague prior,
rr_25_29,1,universal,0,100,vague prior,
rr_30_34,1.446153846,universal,0,100,vague prior,
rr_35_39,2.215384615,universal,0,100,vague prior,
rr_40_44,2.769230769,universal,0,100,vague prior,
rr_45_49,3.538461538,universal,0,100,vague prior,
rr_50_54,3.815384615,universal,0,100,vague prior,
rr_55_59,5,universal,0,100,vague prior,
rr_60_64,4.923076923,universal,0,100,vague prior,
rr_65_69,4.369230769,universal,0,100,vague prior,
rr_70_74,4.369230769,universal,0,100,vague prior,
rr_75_79,4.923076923,universal,0,100,vague prior,
rr_80_84,4.369230769,universal,0,100,vague prior,
rr_85_89,3.692307692,universal,0,100,vague prior,
rr_90_94,1.615384615,universal,0,100,vague prior,
rr_95_99,1.538461538,universal,0,100,vague prior,
rr_100,1.538461538,universal,0,100,vague prior,
rr_urban,,local,0,100,vague prior,
rr_wealth_1,1,local,0,100,vague prior,"Docking et al, 2011; Cambridge City over 75s Cohort"
rr_wealth_2,0.9,local,0,100,vague prior,"Docking et al, 2011; Cambridge City over 75s Cohort"
rr_wealth_3,1,local,0,100,vague prior,"Docking et al, 2011; Cambridge City over 75s Cohort"
rr_wealth_4,1.4,local,0,100,vague prior,"Docking et al, 2011; Cambridge City over 75s Cohort"
rr_wealth_5,1.4,local,0,100,vague prior,"Docking et al, 2011; Cambridge City over 75s Cohort"
rr_bmi_1,1,universal,0,100,vague prior,"Heuch et al., 2013, Follow-up in the Nord-Trøndelag Health Study"
rr_bmi_2,1,universal,0,100,vague prior,"Heuch et al., 2013, Follow-up in the Nord-Trøndelag Health Study"
rr_bmi_3,1.21,universal,0,100,vague prior,"Heuch et al., 2013, Follow-up in the Nord-Trøndelag Health Study"
rr_bmi_4,1.28,universal,0,100,vague prior,"Heuch et al., 2013, Follow-up in the Nord-Trøndelag Health Study"
rr_bmi_5,1.28,universal,0,100,vague prior,"Heuch et al., 2013, Follow-up in the Nord-Trøndelag Health Study"
rr_low_exercise,,universal,0,100,vague prior,
rr_high_salt,,universal,0,100,vague prior,
rr_high_sugar,,universal,0,100,vague prior,
rr_tobacco,1.78,universal,0,100,vague prior,"Shiri et al., 2010; meta-analysis"
rr_alcohol,,universal,0,100,vague prior,
rr_marital_status_1,1,local,0,100,vague prior,"Docking et al, 2011; Cambridge City over 75s Cohort"
rr_marital_status_2,1.428571429,local,0,100,vague prior,"Docking et al, 2011; Cambridge City over 75s Cohort"
rr_marital_status_3,1.571428571,local,0,100,vague prior,"Docking et al, 2011; Cambridge City over 75s Cohort"
rr_in_education,1.5,local,0,100,vague prior,"Docking et al, 2011; Cambridge City over 75s Cohort"
rr_current_education_level_1,1.5,local,0,100,vague prior,"Docking et al, 2011; Cambridge City over 75s Cohort"
rr_current_education_level_2,1,local,0,100,vague prior,"Docking et al, 2011; Cambridge City over 75s Cohort"
rr_current_education_level_3,1,local,0,100,vague prior,"Docking et al, 2011; Cambridge City over 75s Cohort"
rr_unimproved_sanitation,,local,0,100,vague prior,
rr_no_access_handwashing,,local,0,100,vague prior,
rr_no_clean_drinking_water,,local,0,100,vague prior,
rr_wood_burning_stove,,local,0,100,vague prior,
rr_diabetes,2.72,universal,0,100,vague prior,"Pozzobbon et al, 2019, meta-analysis"
rr_hypertension,0.79,universal,0,100,vague prior,"Bae et al, 2015, KNHANES IV"
rr_depression,1.5,local,0,100,vague prior,"Docking et al, 2011; Cambridge City over 75s Cohort"
rr_chronic_kidney_disease,,universal,0,100,vague prior,
rr_chronic_lower_back_pain,,universal,0,100,vague prior,
rr_chronic_ischemic_heart_disease,,universal,0,100,vague prior,
rr_cancers,,universal,0,100,vague prior,
rr_hiv,1,universal,0,100,vague prior,
rr_ever_stroke,2.35,universal,0,100,vague prior,"Wang et al, 2020"
rr_ever_heart_attack,1,universal,0,100,vague prior,
rr_diabetes_on_medication,1,universal,0,100,vague prior,
rr_hypertension_on_medication,1,universal,0,100,vague prior,
rr_chronic_kidney_disease_on_medication,1,universal,0,100,vague prior,
rr_chronic_lower_back_pain_on_medication,1,universal,0,100,vague prior,
rr_chronic_ischemic_heart_disease_on_medication,1,universal,0,100,vague prior,
rr_stroke_on_medication,1,universal,0,100,vague prior,
rr_heart_attack_on_medication,1,universal,0,100,vague prior,
