parameter_name,value,param_label,prior_min,prior_max,steps_value,steps_lower,steps_upper,prior_note,"""value"" source: ","Price et al., 2018"
m_0-4,,local,,,,,,,"""steps_value"" source:",STEPS Survey 2017
m_5-9,,local,,,,,,,,
m_10-14,,local,,,,,,,,
m_15-19,,local,,,,,,,,
m_20-24,0.0468696,local,0.04480872,0.0551522,0.15,0.074,0.227,CI,,
m_25-29,0.0468696,local,0.04480872,0.0551522,0.15,0.074,0.227,CI,,
m_30-34,0.10177828,local,0.0951522,0.118587,0.124,0.089,0.159,CI,,
m_35-39,0.10177828,local,0.0951522,0.118587,0.124,0.089,0.159,CI,,
m_40-44,0.1288914,local,0.1230327,0.1706088,0.124,0.089,0.159,CI,,
m_45-49,0.1288914,local,0.1230327,0.1706088,0.276,0.183,0.37,CI,,
m_50-54,0.234348,local,0.2167719,0.2895002,0.276,0.183,0.37,CI,,
m_55-59,0.234348,local,0.2167719,0.2895002,0.276,0.183,0.37,CI,,
m_60-64,0.4009132,local,0.3609132,0.474348,0.279,0.17,0.388,CI,,
m_65-69,0.4009132,local,0.3609132,0.474348,0.279,0.17,0.388,CI,,
m_70-74,0.5009132,local,0.455761,0.5795002,,,,CI,,
m_75-79,0.5009132,local,0.455761,0.5795002,,,,CI,,
m_80-84,0.5009132,local,0.455761,0.5795002,,,,CI,,
m_85-89,0.5009132,local,0.455761,0.5795002,,,,CI,,
m_90-94,0.5009132,local,0.455761,0.5795002,,,,CI,,
m_95-99,0.5009132,local,0.455761,0.5795002,,,,CI,,
m_100+,0.5009132,local,0.455761,0.5795002,,,,CI,,
f_0-4,,local,,,,,,,,
f_5-9,,local,,,,,,,,
f_10-14,,local,,,,,,,,
f_15-19,,local,,,,,,,,
f_20-24,0.0134348,local,0.0125761,0.0242935,0.081,0.058,0.105,CI,,
f_25-29,0.0134348,local,0.0125761,0.0242935,0.081,0.058,0.105,CI,,
f_30-34,0.0520218,local,0.0437392,0.0554566,0.138,0.101,0.174,CI,,
f_35-39,0.0520218,local,0.0437392,0.0554566,0.138,0.101,0.174,CI,,
f_40-44,0.1374784,local,0.12582188,0.1709132,0.138,0.101,0.174,CI,,
f_45-49,0.1374784,local,0.12582188,0.1709132,0.386,0.313,0.458,CI,,
f_50-54,0.3526306,local,0.3020218,0.384348,0.386,0.313,0.458,CI,,
f_55-59,0.3526306,local,0.3020218,0.384348,0.386,0.313,0.458,CI,,
f_60-64,0.5074784,local,0.4640436,0.5609132,0.419,0.331,0.508,CI,,
f_65-69,0.5074784,local,0.4640436,0.5609132,0.419,0.331,0.508,CI,,
f_70-74,0.6774784,local,0.6281849,0.7191958,,,,CI,,
f_75-79,0.6774784,local,0.6281849,0.7191958,,,,CI,,
f_80-84,0.6774784,local,0.6281849,0.7191958,,,,CI,,
f_85-89,0.6774784,local,0.6281849,0.7191958,,,,CI,,
f_90-94,0.6774784,local,0.6281849,0.7191958,,,,CI,,
f_95-99,0.6774784,local,0.6281849,0.7191958,,,,CI,,
f_100+,0.6774784,local,0.6281849,0.7191958,,,,CI,,
