parameter_name,value,param_label,prior_min,prior_max,prior_note
baseline_annual_probability,0,local,0,1,vague prior
rr_male,0,universal,0,100,vague prior
rr_0_4,0,universal,0,100,vague prior
rr_5_9,0,universal,0,100,vague prior
rr_10_14,0,universal,0,100,vague prior
rr_15_19,0,universal,0,100,vague prior
rr_20_24,0,universal,0,100,vague prior
rr_25_29,0,universal,0,100,vague prior
rr_30_34,0,universal,0,100,vague prior
rr_35_39,0,universal,0,100,vague prior
rr_40_44,0,universal,0,100,vague prior
rr_45_49,0,universal,0,100,vague prior
rr_50_54,0,universal,0,100,vague prior
rr_55_59,0,universal,0,100,vague prior
rr_60_64,0,universal,0,100,vague prior
rr_65_69,0,universal,0,100,vague prior
rr_70_74,0,universal,0,100,vague prior
rr_75_79,0,universal,0,100,vague prior
rr_80_84,0,universal,0,100,vague prior
rr_85_89,0,universal,0,100,vague prior
rr_90_94,0,universal,0,100,vague prior
rr_95_99,0,universal,0,100,vague prior
rr_100,0,universal,0,100,vague prior
rr_urban,0,local,0,100,vague prior
rr_wealth_1,0,local,0,100,vague prior
rr_wealth_2,0,local,0,100,vague prior
rr_wealth_3,0,local,0,100,vague prior
rr_wealth_4,0,local,0,100,vague prior
rr_wealth_5,0,local,0,100,vague prior
rr_bmi_1,0,universal,0,100,vague prior
rr_bmi_2,0,universal,0,100,vague prior
rr_bmi_3,0,universal,0,100,vague prior
rr_bmi_4,0,universal,0,100,vague prior
rr_bmi_5,0,universal,0,100,vague prior
rr_low_exercise,0,universal,0,100,vague prior
rr_high_salt,0,universal,0,100,vague prior
rr_high_sugar,0,universal,0,100,vague prior
rr_tobacco,0,universal,0,100,vague prior
rr_alcohol,0,universal,0,100,vague prior
rr_marital_status_1,0,local,0,100,vague prior
rr_marital_status_2,0,local,0,100,vague prior
rr_marital_status_3,0,local,0,100,vague prior
rr_in_education,0,local,0,100,vague prior
rr_current_education_level_1,0,local,0,100,vague prior
rr_current_education_level_2,0,local,0,100,vague prior
rr_current_education_level_3,0,local,0,100,vague prior
rr_unimproved_sanitation,0,local,0,100,vague prior
rr_no_access_handwashing,0,local,0,100,vague prior
rr_no_clean_drinking_water,0,local,0,100,vague prior
rr_wood_burning_stove,0,local,0,100,vague prior
rr_diabetes,0,universal,0,100,vague prior
rr_hypertension,0,universal,0,100,vague prior
rr_depression,0,local,0,100,vague prior
rr_chronic_kidney_disease,0,universal,0,100,vague prior
rr_chronic_lower_back_pain,0,universal,0,100,vague prior
rr_chronic_ischemic_heart_disease,0,universal,0,100,vague prior
rr_cancers,0,universal,0,100,vague prior
rr_hiv,0,universal,0,100,vague prior
rr_ever_stroke,0,universal,0,100,vague prior
rr_ever_heart_attack,0,universal,0,100,vague prior
rr_diabetes_on_medication,0,universal,0,100,vague prior
rr_hypertension_on_medication,0,universal,0,100,vague prior
rr_chronic_kidney_disease_on_medication,0,universal,0,100,vague prior
rr_chronic_lower_back_pain_on_medication,0,universal,0,100,vague prior
rr_chronic_ischemic_heart_disease_on_medication,0,universal,0,100,vague prior
rr_stroke_on_medication,0,universal,0,100,vague prior
rr_heart_attack_on_medication,0,universal,0,100,vague prior
