age,r_init1_age,param_label,prior_min,prior_max,prior_note,reference
15,0.329100436,local,-1,1,vague prior,
16,0.224537809,local,-1,1,vague prior,
17,0.147191735,local,-1,1,vague prior,
18,0.089717987,local,-1,1,vague prior,
19,0.04694564,local,-1,1,vague prior,
20,0.015172364,local,-1,1,vague prior,
21,-0.00829227,local,-1,1,vague prior,
22,-0.025429259,local,-1,1,vague prior,
23,-0.037714435,local,-1,1,vague prior,
24,-0.046258839,local,-1,1,vague prior,
25,-0.051906744,local,-1,1,vague prior,
26,-0.05530508,local,-1,1,vague prior,
27,-0.056953266,local,-1,1,vague prior,
28,-0.0572394,local,-1,1,vague prior,
29,-0.056466845,local,-1,1,vague prior,
30,-0.054873947,local,-1,1,vague prior,
31,-0.052648802,local,-1,1,vague prior,
32,-0.049940411,local,-1,1,vague prior,
33,-0.046867173,local,-1,1,vague prior,
34,-0.043523399,local,-1,1,vague prior,
35,-0.039984346,local,-1,1,vague prior,
36,-0.036310126,local,-1,1,vague prior,
37,-0.032548767,local,-1,1,vague prior,
38,-0.028738613,local,-1,1,vague prior,
39,-0.02491023,local,-1,1,vague prior,
40,-0.021087913,local,-1,1,vague prior,
41,-0.017290887,local,-1,1,vague prior,
42,-0.013534275,local,-1,1,vague prior,
43,-0.009829872,local,-1,1,vague prior,
44,-0.00618677,local,-1,1,vague prior,
45,-0.002611863,local,-1,1,vague prior,
46,0.000889741,local,-1,1,vague prior,
47,0.004314386,local,-1,1,vague prior,
48,0.007659592,local,-1,1,vague prior,
49,0.01092384,local,-1,1,vague prior,
