age_,RR_pregnancy,param_label,prior_min,prior_max,prior_note,reference
15,1.4,local,0.1,4,vague prior,
16,1.4,local,0.1,4,vague prior,
17,1.4,local,0.1,4,vague prior,
18,1.4,local,0.1,4,vague prior,
19,1.4,local,0.1,4,vague prior,
20,0.9,local,0.1,4,vague prior,
21,0.9,local,0.1,4,vague prior,
22,0.9,local,0.1,4,vague prior,
23,0.9,local,0.1,4,vague prior,
24,0.9,local,0.1,4,vague prior,
25,0.8,local,0.1,4,vague prior,
26,0.8,local,0.1,4,vague prior,
27,0.8,local,0.1,4,vague prior,
28,0.8,local,0.1,4,vague prior,
29,0.8,local,0.1,4,vague prior,
30,0.7,local,0.1,4,vague prior,
31,0.7,local,0.1,4,vague prior,
32,0.7,local,0.1,4,vague prior,
33,0.7,local,0.1,4,vague prior,
34,0.7,local,0.1,4,vague prior,
35,0.5,local,0.1,4,vague prior,
36,0.5,local,0.1,4,vague prior,
37,0.5,local,0.1,4,vague prior,
38,0.5,local,0.1,4,vague prior,
39,0.5,local,0.1,4,vague prior,
40,0.4,local,0.1,4,vague prior,
41,0.4,local,0.1,4,vague prior,
42,0.4,local,0.1,4,vague prior,
43,0.4,local,0.1,4,vague prior,
44,0.4,local,0.1,4,vague prior,
45,0.3,local,0.1,4,vague prior,
46,0.3,local,0.1,4,vague prior,
47,0.3,local,0.1,4,vague prior,
48,0.3,local,0.1,4,vague prior,
49,0.3,local,0.1,4,vague prior,
