item_category,item_code,district,fac_type_tlo,inflow_to_outflow_ratio
cancer,75.0,Balaka,Facility_level_1a,1.0
cancer,75.0,Balaka,Facility_level_2,1.0
cancer,75.0,Blantyre,Facility_level_1a,1.0
cancer,75.0,Blantyre,Facility_level_2,2.756254369610806
cancer,75.0,Blantyre,Facility_level_3,1.0
cancer,75.0,Chikwawa,Facility_level_1a,1.0
cancer,75.0,Chikwawa,Facility_level_1b,1.0
cancer,75.0,Chikwawa,Facility_level_2,1.0
cancer,75.0,Chiradzulu,Facility_level_1a,1.0
cancer,75.0,Chiradzulu,Facility_level_2,1.0
cancer,75.0,Chitipa,Facility_level_1a,1.208955223880597
cancer,75.0,Chitipa,Facility_level_2,1.0
cancer,75.0,Dedza,Facility_level_1a,1.6741935483870967
cancer,75.0,Dowa,Facility_level_1a,1.0
cancer,75.0,Dowa,Facility_level_1b,1.0
cancer,75.0,Dowa,Facility_level_2,1.0
cancer,75.0,Karonga,Facility_level_1a,1.0987654320987654
cancer,75.0,Karonga,Facility_level_1b,1.58
cancer,75.0,Karonga,Facility_level_2,1.0
cancer,75.0,Kasungu,Facility_level_1a,1.0
cancer,75.0,Kasungu,Facility_level_1b,1.0
cancer,75.0,Kasungu,Facility_level_2,1.3014638609332114
cancer,75.0,Lilongwe,Facility_level_1a,1.0
cancer,75.0,Lilongwe,Facility_level_1b,1.0
cancer,75.0,Lilongwe,Facility_level_2,1.051155335915587
cancer,75.0,Lilongwe,Facility_level_3,1.0
cancer,75.0,Machinga,Facility_level_1a,1.0
cancer,75.0,Machinga,Facility_level_2,1.0
cancer,75.0,Mangochi,Facility_level_1a,1.0
cancer,75.0,Mangochi,Facility_level_1b,1.0
cancer,75.0,Mangochi,Facility_level_2,1.0
cancer,75.0,Mchinji,Facility_level_1a,1.0
cancer,75.0,Mchinji,Facility_level_1b,1.0
cancer,75.0,Mchinji,Facility_level_2,1.0
cancer,75.0,Mulanje,Facility_level_1a,1.0
cancer,75.0,Mulanje,Facility_level_2,1.0
cancer,75.0,Mwanza,Facility_level_1a,1.0
cancer,75.0,Mwanza,Facility_level_2,1.059299191374663
cancer,75.0,Mzimba North,Facility_level_1a,1.0
cancer,75.0,Mzimba North,Facility_level_2,1.0
cancer,75.0,Mzimba North,Facility_level_3,1.0
cancer,75.0,Mzimba South,Facility_level_1a,1.0
cancer,75.0,Mzimba South,Facility_level_1b,1.2222222222222223
cancer,75.0,Mzimba South,Facility_level_2,1.0
cancer,75.0,Neno,Facility_level_1a,1.0
cancer,75.0,Neno,Facility_level_1b,1.0
cancer,75.0,Neno,Facility_level_2,1.0
cancer,75.0,Nkhata bay,Facility_level_1a,1.0
cancer,75.0,Nkhata bay,Facility_level_1b,1.0
cancer,75.0,Nkhata bay,Facility_level_2,1.0
cancer,75.0,Nkhota Kota,Facility_level_1a,1.0
cancer,75.0,Nkhota Kota,Facility_level_1b,1.0
cancer,75.0,Nkhota Kota,Facility_level_2,1.0431261586496243
cancer,75.0,Nsanje,Facility_level_1a,1.0
cancer,75.0,Nsanje,Facility_level_2,1.0624008461131675
cancer,75.0,Ntcheu,Facility_level_1a,1.0
cancer,75.0,Ntcheu,Facility_level_2,1.0
cancer,75.0,Ntchisi,Facility_level_1a,1.0
cancer,75.0,Ntchisi,Facility_level_2,1.0
cancer,75.0,Phalombe,Facility_level_1a,1.0
cancer,75.0,Phalombe,Facility_level_2,1.0
cancer,75.0,Rumphi,Facility_level_1a,1.0
cancer,75.0,Rumphi,Facility_level_1b,1.0
cancer,75.0,Rumphi,Facility_level_2,1.0
cancer,75.0,Salima,Facility_level_1a,1.0
cancer,75.0,Salima,Facility_level_2,1.0
cancer,75.0,Thyolo,Facility_level_1a,1.0
cancer,75.0,Thyolo,Facility_level_1b,1.0
cancer,75.0,Thyolo,Facility_level_2,1.0831721470019342
cancer,75.0,Zomba,Facility_level_1a,1.0
cancer,75.0,Zomba,Facility_level_1b,1.0
cancer,75.0,Zomba,Facility_level_2,2.756254369610806
cancer,75.0,Zomba,Facility_level_3,1.0
cancer,75.0,Zomba,Facility_level_4,1.0
cancer,259.0,Balaka,Facility_level_2,1.0
cancer,259.0,Blantyre,Facility_level_3,1.0439527129433162
cancer,259.0,Chikwawa,Facility_level_2,1.0
cancer,259.0,Chiradzulu,Facility_level_2,1.0
cancer,259.0,Chitipa,Facility_level_2,1.1374045801526718
cancer,259.0,Dowa,Facility_level_1b,1.0
cancer,259.0,Dowa,Facility_level_2,2.756254369610806
cancer,259.0,Karonga,Facility_level_2,1.0
cancer,259.0,Kasungu,Facility_level_2,1.03
cancer,259.0,Lilongwe,Facility_level_3,1.0
cancer,259.0,Machinga,Facility_level_2,1.0
cancer,259.0,Mangochi,Facility_level_1b,1.0
cancer,259.0,Mangochi,Facility_level_2,1.0562462995855535
cancer,259.0,Mchinji,Facility_level_2,1.2392344497607655
cancer,259.0,Mulanje,Facility_level_2,1.0136986301369864
cancer,259.0,Mwanza,Facility_level_2,1.5271493212669682
cancer,259.0,Mzimba North,Facility_level_2,1.0
cancer,259.0,Mzimba North,Facility_level_3,1.0
cancer,259.0,Mzimba South,Facility_level_2,1.0814814814814815
cancer,259.0,Neno,Facility_level_2,1.1207729468599035
cancer,259.0,Nkhata bay,Facility_level_1b,1.0
cancer,259.0,Nkhata bay,Facility_level_2,2.756254369610806
cancer,259.0,Nkhota Kota,Facility_level_2,1.6567164179104477
cancer,259.0,Nsanje,Facility_level_2,1.1870503597122302
cancer,259.0,Ntcheu,Facility_level_2,1.0
cancer,259.0,Ntchisi,Facility_level_2,1.5341614906832297
cancer,259.0,Phalombe,Facility_level_2,1.0
cancer,259.0,Rumphi,Facility_level_2,1.455
cancer,259.0,Salima,Facility_level_2,1.0
cancer,259.0,Thyolo,Facility_level_1b,1.0
cancer,259.0,Thyolo,Facility_level_2,1.9699812382739212
cancer,259.0,Zomba,Facility_level_1b,2.756254369610806
cancer,259.0,Zomba,Facility_level_2,2.75
cancer,259.0,Zomba,Facility_level_3,1.0
cancer,263.0,Balaka,Facility_level_2,1.0
cancer,263.0,Blantyre,Facility_level_3,1.0
cancer,263.0,Chikwawa,Facility_level_2,1.1488095238095237
cancer,263.0,Chiradzulu,Facility_level_2,1.1818181818181819
cancer,263.0,Chitipa,Facility_level_2,2.756254369610806
cancer,263.0,Dowa,Facility_level_1b,2.756254369610806
cancer,263.0,Dowa,Facility_level_2,2.756254369610806
cancer,263.0,Karonga,Facility_level_2,2.756254369610806
cancer,263.0,Kasungu,Facility_level_2,2.756254369610806
cancer,263.0,Lilongwe,Facility_level_2,2.756254369610806
cancer,263.0,Lilongwe,Facility_level_3,1.0
cancer,263.0,Machinga,Facility_level_2,1.0511627906976744
cancer,263.0,Mangochi,Facility_level_1b,1.0
cancer,263.0,Mangochi,Facility_level_2,1.2830188679245282
cancer,263.0,Mchinji,Facility_level_2,2.756254369610806
cancer,263.0,Mulanje,Facility_level_2,1.0
cancer,263.0,Mwanza,Facility_level_2,1.25
cancer,263.0,Mzimba North,Facility_level_3,2.756254369610806
cancer,263.0,Mzimba South,Facility_level_2,2.756254369610806
cancer,263.0,Neno,Facility_level_2,1.0583333333333333
cancer,263.0,Nkhata bay,Facility_level_2,2.756254369610806
cancer,263.0,Nkhota Kota,Facility_level_2,2.1739130434782608
cancer,263.0,Nsanje,Facility_level_2,1.6037735849056605
cancer,263.0,Ntcheu,Facility_level_2,1.413888888888889
cancer,263.0,Ntchisi,Facility_level_2,2.756254369610806
cancer,263.0,Phalombe,Facility_level_2,1.0363636363636364
cancer,263.0,Rumphi,Facility_level_2,2.756254369610806
cancer,263.0,Salima,Facility_level_2,1.0
cancer,263.0,Thyolo,Facility_level_1b,1.0
cancer,263.0,Thyolo,Facility_level_2,1.0
cancer,263.0,Zomba,Facility_level_1b,1.0
cancer,263.0,Zomba,Facility_level_2,
cancer,263.0,Zomba,Facility_level_3,1.55177304964539
cardiometabolicdisorders,225.0,Balaka,Facility_level_1a,1.4210526315789473
cardiometabolicdisorders,225.0,Balaka,Facility_level_2,1.0
cardiometabolicdisorders,225.0,Blantyre,Facility_level_1a,1.564102564102564
cardiometabolicdisorders,225.0,Blantyre,Facility_level_2,1.0
cardiometabolicdisorders,225.0,Blantyre,Facility_level_3,1.0069444444444444
cardiometabolicdisorders,225.0,Chikwawa,Facility_level_1a,1.0
cardiometabolicdisorders,225.0,Chikwawa,Facility_level_1b,1.9672131147540983
cardiometabolicdisorders,225.0,Chikwawa,Facility_level_2,1.0909090909090908
cardiometabolicdisorders,225.0,Chiradzulu,Facility_level_1a,1.0
cardiometabolicdisorders,225.0,Chiradzulu,Facility_level_2,1.105263157894737
cardiometabolicdisorders,225.0,Chitipa,Facility_level_1a,1.1111111111111112
cardiometabolicdisorders,225.0,Chitipa,Facility_level_2,1.0
cardiometabolicdisorders,225.0,Dedza,Facility_level_1a,2.0
cardiometabolicdisorders,225.0,Dowa,Facility_level_1a,1.0
cardiometabolicdisorders,225.0,Dowa,Facility_level_1b,1.0
cardiometabolicdisorders,225.0,Dowa,Facility_level_2,1.0
cardiometabolicdisorders,225.0,Karonga,Facility_level_1a,1.0
