Item_Code,Items,Unit,Price_per_unit,Data_source,Notes
0,"Levonorgestrel 0.0375 mg, cycle",Tablet (Levonorgestrel 0.0375 mg/~30 micrograms),0.043909897,CMST 2023,
1,"Levonorgestrel 0.15 mg + Ethinyl estradiol 30 mcg (Microgynon), cycle",Tablet (Levonorgestrel 0.15 mg + Ethinyl estradiol 30 mcg),0.0519511,CMST 2023,
2,"Condom, male",Single condom,0.029480354,Malawi EHP 2021,
3,Depot-Medroxyprogesterone Acetate 150 mg - 3 monthly,1 ml vial,0.612486317,CMST 2023,
5,"Povidone iodine, solution, 10 %, 5 ml per injection",1 ml,0.000634745,CMST 2023,
6,"Syringe, Autodisable SoloShot IX ",1 syringe,0.084951706,CMST 2023,
7,"IUD, Copper T-380A",1 IUD,0.474075,MSH International Medical Products Price Guide (2015) UNFPA price https://msh.org/wp-content/uploads/2020/03/msh-2015-international-medical-products-price-guide.pdf,
8,"Lidocaine HCl (in dextrose 7.5%), ampoule 2 ml",2 ml ampoule,0.435372953,Malawi EHP 2021,
9,"Syringe, needle + swab",1 syringe,0.002737792,CMST 2023,
11,Needle suture intestinal round bodied ½ circle trocar_6_CMST,1 needle suture,0.23740905,CMST 2023,
12,"Jadelle (implant), box of 2_CMST",1 implant (2 rods),23.0394,MSH International Medical Products Price Guide (2015) UNFPA price https://msh.org/wp-content/uploads/2020/03/msh-2015-international-medical-products-price-guide.pdf,
13,Implanon (Etonogestrel 68 mg),1 implant,23.0394,MSH International Medical Products Price Guide (2015) UNFPA price https://msh.org/wp-content/uploads/2020/03/msh-2015-international-medical-products-price-guide.pdf,
14,"Atropine sulphate, injection, 1 mg in 1 ml ampoule",1 ml ampoule (1 mg/ml),0.183264613,Malawi EHP 2021,
15,"Diazepam, injection, 5 mg/ml, in 2 ml ampoule",2 ml ampoule (5 mg/ml),0.106673513,CMST 2023,
16,"Lidocaine, injection, 1 % in 20 ml vial",1 ml (1%),0.010898382,CMST 2023,assumed that 25ml comes in a multi-use bottle rather than a single-use ampoule
17,"Lidocaine, spray, 10%, 500 ml bottle",1 ml (10%),0.013485468,CMST 2023,
19,"Needle, suture, assorted sizes, round body",1 needle,0.237391455,CMST 2023,
20,"Suture, catgut, chromic, 0, 150 cm",1 suture pack,0.442710473,CMST 2023,
21,"Tape, adhesive, 2.5 cm wide, zinc oxide, 5 m roll",1 cm long (2.5 cm wide),0.004380581,Malawi EHP 2021,
23,"Paracetamol, tablet, 500 mg",1 mg,7.62032E-07,CMST 2023,
24,Cotton swab,1 g,0.004885708,CMST 2023,
25,Female Condom_Each_CMST,1 condom,0.019495959,CMST 2023,
26,"Misoprostol, tablet, 200 mcg",1 mcg,0.000371553,CMST 2023,
27,"Ampicillin, powder for injection, 500 mg, vial",1 mg,0.000245987,CMST 2023,
28,"Gentamycin, injection, 40 mg/ml in 2 ml vial",2 ml vial (40 mg/ml),0.053693068,CMST 2023,
29,"Metronidazole, injection, 500 mg in 100 ml vial",100 ml vial for IV (5 mg/ml),0.234628941,CMST 2023,
30,"Tetracycline, tablet, 500 mg",1 mg,3.53616E-06,One Health Tool 2016,One Health Tool gives cost per tablet
33,"Sodium chloride, injectable solution, 0,9 %, 500 ml",1 ml (0.9%),0.001065908,CMST 2023,
39,"Tetanus toxoid, injection",5 ml injection,0.009149728,CMST 2023,
40,"Blood collecting tube, 5 ml",5 ml tube,0.086840685,CMST 2023,
41,"Test, Rapid plasma reagin (RPR)",1 test,0.260656838,CMST 2023,
42,"Benzathine benzylpenicillin, powder for injection, 2.4 million IU",1 injection (1.44g),0.389303334,CMST 2023,
44,Ferrous sulphate 200mg _1000_CMST,1 tablet (Ferrous sulphate 200mg/Folic acid 25mg),0.001982148,CMST 2023,
47,Urine analysis,1 bottle,0.235376755,CMST 2023,
49,"Cotton wool, 500g_1_CMST", 1 g,0.007562857,Malawi EHP 2021,
50,Haemoglobin test (HB),1 test,0.829442481,Malawi EHP 2021,CMST consumable was $359 each which probably refers to the equipment
52,"Albendazole, tablet, 400 mg",1 mg,5.98196E-06,CMST 2023,
56,"Oxytocin, injection, 10 IU in 1 ml ampoule",1 ml ampoule (10 IU/ml),0.03974853,CMST 2023,
57,"Bag, urine, collecting, 2000 ml",1 2000ml bag,0.254943097,CMST 2023,
58,Foley catheter,1 catheter,0.069089245,CMST 2023,
