Cost Type,Cost Sub-Type,"Programmatic Intervention Level 2 [NEW]
(when the disaggregated data had to rely upon intervention rather than cost sub-type)",Calibration_category,EXPENDITURE (USD) (Jul 2018 - Jun 2019),BUDGETS (USD) (Jul 2019 - Jun 2020),BUDGETS (USD) (Jul 2020 - Jun 2021),BUDGETS (USD) (Jul 2021 - Jun 2022)
Drugs and Commodities,"Drugs, medical supplies, and commodities",,"Other Drugs, medical supplies, and commodities",37735051.33,33585891.65,69727962.89,4373929.058
Exclude from calibration,All,Items recategorised as non-consumable costs even though the cost type was drugs and commodities,Program Management & Administration,16649853.76,6001427.872,3562765.51,3542670.515
Drugs and Commodities,All,Beyond EHP,Non-EHP consumables,25178739.81,18706715.51,957210.23,851070.13
Drugs and Commodities,All,Voluntary Male Medical Circumcision (VMMC),Voluntary Male Medical Circumcision,2891681,1730270.55,1801078.6,1832645.01
Drugs and Commodities,All,Indoor Residual Spray (IRS),Indoor Residual Spray,7272001.18,12766844.17,13187549.04,13155261.5
Drugs and Commodities,All,ITNs/LLIN (Bednets),Bednets,3552600,2807700,28061308.64,8002242.375
Drugs and Commodities,All,ACTs (LA and ASAQ),Antimalarials,681848.59,201412.87,4001222.91,2338244.615
Drugs and Commodities,All,Micro-nutrient Powder - Under 5s,Undernutrition commodities,527728.2,1241436.84,934561.73,600000
Drugs and Commodities,All,Plumpy Peanut - Under 5s,Undernutrition commodities,120469,211117.57,0,0
Drugs and Commodities,All,School Feeding Programs,Undernutrition commodities,87503.8,65312.75,57794.08,68513.69
Drugs and Commodities,All,Vitamin A - Pregnant Women,"Other Drugs, medical supplies, and commodities",1356.72,191010.31,93975.37,93975.37
Drugs and Commodities,All,Treatment of Undernutrition,Undernutrition commodities,177513.58,159150.6705,173928.6313,199995.5039
Drugs and Commodities,All,Cervical Cancer Screening,"Other Drugs, medical supplies, and commodities",520131.97,851350.84,1384482.72,428059.72
Drugs and Commodities,All,Cervical Cancer Treatment,"Other Drugs, medical supplies, and commodities",14740.35,197495.02,71332.69,7258.92
Drugs and Commodities,All,Barrier Methods (e.g. condoms),Condoms and Lubricants,112375.97,6640083.82,1558317.15,1558317.15
Drugs and Commodities,All,"Hormonal Methods (e.g. implants, injectables, IUD, the pill)",Other family planning commodities,12190873.76,15538449.2,4922990.5,5064869.02
