Variant,Period,Age_Grp,asfr
WPP_Estimates,1950-1954,15-19,0.182551
WPP_Estimates,1955-1959,15-19,0.18388300000000002
WPP_Estimates,1960-1964,15-19,0.18664699999999998
WPP_Estimates,1965-1969,15-19,0.191979
WPP_Estimates,1970-1974,15-19,0.197259
WPP_Estimates,1975-1979,15-19,0.20253800000000002
WPP_Estimates,1980-1984,15-19,0.20253800000000002
WPP_Estimates,1985-1989,15-19,0.19321100000000002
WPP_Estimates,1990-1994,15-19,0.15934299999999998
WPP_Estimates,1995-1999,15-19,0.160904
WPP_Estimates,2000-2004,15-19,0.155714
WPP_Estimates,2005-2009,15-19,0.154528
WPP_Estimates,2010-2014,15-19,0.14424299999999998
WPP_Estimates,2015-2019,15-19,0.13267099999999998
WPP_Low variant,2020-2024,15-19,0.12149800000000001
WPP_Low variant,2025-2029,15-19,0.11179
WPP_Low variant,2030-2034,15-19,0.1029
WPP_Low variant,2035-2039,15-19,0.097496
WPP_Low variant,2040-2044,15-19,0.091955
WPP_Low variant,2045-2049,15-19,0.085964
WPP_Low variant,2050-2054,15-19,0.080187
WPP_Low variant,2055-2059,15-19,0.07399800000000001
WPP_Low variant,2060-2064,15-19,0.067978
WPP_Low variant,2065-2069,15-19,0.061746
WPP_Low variant,2070-2074,15-19,0.055483
WPP_Low variant,2075-2079,15-19,0.04934
WPP_Low variant,2080-2084,15-19,0.04346
WPP_Low variant,2085-2089,15-19,0.037866
WPP_Low variant,2090-2094,15-19,0.032624
WPP_Low variant,2095-2099,15-19,0.027852000000000002
WPP_Medium variant,2020-2024,15-19,0.12979
WPP_Medium variant,2025-2029,15-19,0.12568600000000002
WPP_Medium variant,2030-2034,15-19,0.12086
WPP_Medium variant,2035-2039,15-19,0.115846
WPP_Medium variant,2040-2044,15-19,0.110492
WPP_Medium variant,2045-2049,15-19,0.10448600000000001
WPP_Medium variant,2050-2054,15-19,0.098497
WPP_Medium variant,2055-2059,15-19,0.091904
WPP_Medium variant,2060-2064,15-19,0.085298
WPP_Medium variant,2065-2069,15-19,0.078309
WPP_Medium variant,2070-2074,15-19,0.071135
WPP_Medium variant,2075-2079,15-19,0.063948
WPP_Medium variant,2080-2084,15-19,0.056915
WPP_Medium variant,2085-2089,15-19,0.050088
WPP_Medium variant,2090-2094,15-19,0.043564
WPP_Medium variant,2095-2099,15-19,0.037498
WPP_High variant,2020-2024,15-19,0.13808099999999998
WPP_High variant,2025-2029,15-19,0.13958199999999998
WPP_High variant,2030-2034,15-19,0.13882
WPP_High variant,2035-2039,15-19,0.134196
WPP_High variant,2040-2044,15-19,0.129029
WPP_High variant,2045-2049,15-19,0.12300799999999999
WPP_High variant,2050-2054,15-19,0.11680700000000001
WPP_High variant,2055-2059,15-19,0.10981
WPP_High variant,2060-2064,15-19,0.102618
WPP_High variant,2065-2069,15-19,0.094872
WPP_High variant,2070-2074,15-19,0.086787
WPP_High variant,2075-2079,15-19,0.078556
WPP_High variant,2080-2084,15-19,0.07037
WPP_High variant,2085-2089,15-19,0.062310000000000004
WPP_High variant,2090-2094,15-19,0.054505000000000005
WPP_High variant,2095-2099,15-19,0.047144
WPP_Estimates,1950-1954,20-24,0.288272
WPP_Estimates,1955-1959,20-24,0.290377
WPP_Estimates,1960-1964,20-24,0.294741
WPP_Estimates,1965-1969,20-24,0.303162
WPP_Estimates,1970-1974,20-24,0.311498
WPP_Estimates,1975-1979,20-24,0.319835
WPP_Estimates,1980-1984,20-24,0.319835
WPP_Estimates,1985-1989,20-24,0.305106
WPP_Estimates,1990-1994,20-24,0.28812099999999996
WPP_Estimates,1995-1999,20-24,0.29579300000000003
WPP_Estimates,2000-2004,20-24,0.28625
WPP_Estimates,2005-2009,20-24,0.268167
WPP_Estimates,2010-2014,20-24,0.239003
WPP_Estimates,2015-2019,20-24,0.20971199999999998
WPP_Low variant,2020-2024,20-24,0.18420699999999998
WPP_Low variant,2025-2029,20-24,0.163939
WPP_Low variant,2030-2034,20-24,0.147165
WPP_Low variant,2035-2039,20-24,0.137063
WPP_Low variant,2040-2044,20-24,0.12808699999999998
WPP_Low variant,2045-2049,20-24,0.119585
WPP_Low variant,2050-2054,20-24,0.11227899999999999
WPP_Low variant,2055-2059,20-24,0.10513
WPP_Low variant,2060-2064,20-24,0.098783
WPP_Low variant,2065-2069,20-24,0.09255100000000001
WPP_Low variant,2070-2074,20-24,0.08651099999999999
WPP_Low variant,2075-2079,20-24,0.080728
WPP_Low variant,2080-2084,20-24,0.075284
WPP_Low variant,2085-2089,20-24,0.070085
WPP_Low variant,2090-2094,20-24,0.065109
WPP_Low variant,2095-2099,20-24,0.060491
WPP_Medium variant,2020-2024,20-24,0.19677799999999998
WPP_Medium variant,2025-2029,20-24,0.184317
WPP_Medium variant,2030-2034,20-24,0.172851
WPP_Medium variant,2035-2039,20-24,0.16286
WPP_Medium variant,2040-2044,20-24,0.153908
WPP_Medium variant,2045-2049,20-24,0.145351
WPP_Medium variant,2050-2054,20-24,0.137917
WPP_Medium variant,2055-2059,20-24,0.130569
WPP_Medium variant,2060-2064,20-24,0.12395199999999999
WPP_Medium variant,2065-2069,20-24,0.11737600000000001
WPP_Medium variant,2070-2074,20-24,0.110916
WPP_Medium variant,2075-2079,20-24,0.104629
WPP_Medium variant,2080-2084,20-24,0.098592
WPP_Medium variant,2085-2089,20-24,0.092706
WPP_Medium variant,2090-2094,20-24,0.086946
WPP_Medium variant,2095-2099,20-24,0.081441
WPP_High variant,2020-2024,20-24,0.20934999999999998
WPP_High variant,2025-2029,20-24,0.204696
WPP_High variant,2030-2034,20-24,0.19853700000000002
WPP_High variant,2035-2039,20-24,0.18865700000000002
WPP_High variant,2040-2044,20-24,0.179729
WPP_High variant,2045-2049,20-24,0.171117
WPP_High variant,2050-2054,20-24,0.163555
WPP_High variant,2055-2059,20-24,0.156008
WPP_High variant,2060-2064,20-24,0.149121
WPP_High variant,2065-2069,20-24,0.142202
WPP_High variant,2070-2074,20-24,0.135321
WPP_High variant,2075-2079,20-24,0.12853
WPP_High variant,2080-2084,20-24,0.12190000000000001
WPP_High variant,2085-2089,20-24,0.115327
WPP_High variant,2090-2094,20-24,0.10878199999999999
