fallbackyear,sex,age_years,death_rate
1950,M,0,0.21839324
1950,M,1,0.057210923
1950,M,2,0.057210923
1950,M,3,0.057210923
1950,M,4,0.057210923
1950,M,5,0.013956549
1950,M,6,0.013956549
1950,M,7,0.013956549
1950,M,8,0.013956549
1950,M,9,0.013956549
1950,M,10,0.0068659377
1950,M,11,0.0068659377
1950,M,12,0.0068659377
1950,M,13,0.0068659377
1950,M,14,0.0068659377
1950,M,15,0.0077390959
1950,M,16,0.0077390959
1950,M,17,0.0077390959
1950,M,18,0.0077390959
1950,M,19,0.0077390959
1950,M,20,0.01058725
1950,M,21,0.01058725
1950,M,22,0.01058725
1950,M,23,0.01058725
1950,M,24,0.01058725
1950,M,25,0.010826561
1950,M,26,0.010826561
1950,M,27,0.010826561
1950,M,28,0.010826561
1950,M,29,0.010826561
1950,M,30,0.011287821
1950,M,31,0.011287821
1950,M,32,0.011287821
1950,M,33,0.011287821
1950,M,34,0.011287821
1950,M,35,0.01228196
1950,M,36,0.01228196
1950,M,37,0.01228196
1950,M,38,0.01228196
1950,M,39,0.01228196
1950,M,40,0.014139681
1950,M,41,0.014139681
1950,M,42,0.014139681
1950,M,43,0.014139681
1950,M,44,0.014139681
1950,M,45,0.015857545
1950,M,46,0.015857545
1950,M,47,0.015857545
1950,M,48,0.015857545
1950,M,49,0.015857545
1950,M,50,0.019248477
1950,M,51,0.019248477
1950,M,52,0.019248477
1950,M,53,0.019248477
1950,M,54,0.019248477
1950,M,55,0.023361598
1950,M,56,0.023361598
1950,M,57,0.023361598
1950,M,58,0.023361598
1950,M,59,0.023361598
1950,M,60,0.031890387
1950,M,61,0.031890387
1950,M,62,0.031890387
1950,M,63,0.031890387
1950,M,64,0.031890387
1950,M,65,0.045312023
1950,M,66,0.045312023
1950,M,67,0.045312023
1950,M,68,0.045312023
1950,M,69,0.045312023
1950,M,70,0.068776087
1950,M,71,0.068776087
1950,M,72,0.068776087
1950,M,73,0.068776087
1950,M,74,0.068776087
1950,M,75,0.10533566
1950,M,76,0.10533566
1950,M,77,0.10533566
1950,M,78,0.10533566
1950,M,79,0.10533566
1950,M,80,0.16489383
1950,M,81,0.16489383
1950,M,82,0.16489383
1950,M,83,0.16489383
1950,M,84,0.16489383
1950,M,85,0.25578576
1950,M,86,0.25578576
1950,M,87,0.25578576
1950,M,88,0.25578576
1950,M,89,0.25578576
1950,M,90,0.3799036
1950,M,91,0.3799036
1950,M,92,0.3799036
1950,M,93,0.3799036
1950,M,94,0.3799036
1950,M,95,0.49182901
1950,M,96,0.49182901
1950,M,97,0.49182901
1950,M,98,0.49182901
1950,M,99,0.49182901
1950,M,100,0.49182901
1950,M,101,0.49182901
1950,M,102,0.49182901
1950,M,103,0.49182901
1950,M,104,0.49182901
1950,M,105,0.49182901
1950,M,106,0.49182901
1950,M,107,0.49182901
1950,M,108,0.49182901
1950,M,109,0.49182901
1950,M,110,0.49182901
1950,M,111,0.49182901
1950,M,112,0.49182901
1950,M,113,0.49182901
1950,M,114,0.49182901
1950,M,115,0.49182901
1950,M,116,0.49182901
1950,M,117,0.49182901
1950,M,118,0.49182901
1950,M,119,0.49182901
1950,F,0,0.18727147
1950,F,1,0.061847249
1950,F,2,0.061847249
1950,F,3,0.061847249
1950,F,4,0.061847249
1950,F,5,0.020070483
1950,F,6,0.020070483
1950,F,7,0.020070483
1950,F,8,0.020070483
1950,F,9,0.020070483
1950,F,10,0.010722269
1950,F,11,0.010722269
1950,F,12,0.010722269
1950,F,13,0.010722269
1950,F,14,0.010722269
1950,F,15,0.009929697
1950,F,16,0.009929697
1950,F,17,0.009929697
1950,F,18,0.009929697
1950,F,19,0.009929697
1950,F,20,0.0094530922
1950,F,21,0.0094530922
1950,F,22,0.0094530922
1950,F,23,0.0094530922
1950,F,24,0.0094530922
1950,F,25,0.0094117274
1950,F,26,0.0094117274
1950,F,27,0.0094117274
1950,F,28,0.0094117274
1950,F,29,0.0094117274
1950,F,30,0.0099409542
1950,F,31,0.0099409542
1950,F,32,0.0099409542
1950,F,33,0.0099409542
1950,F,34,0.0099409542
1950,F,35,0.01050149
1950,F,36,0.01050149
1950,F,37,0.01050149
1950,F,38,0.01050149
1950,F,39,0.01050149
1950,F,40,0.011655653
1950,F,41,0.011655653
1950,F,42,0.011655653
1950,F,43,0.011655653
1950,F,44,0.011655653
1950,F,45,0.012301384
1950,F,46,0.012301384
1950,F,47,0.012301384
1950,F,48,0.012301384
1950,F,49,0.012301384
1950,F,50,0.015716688
1950,F,51,0.015716688
1950,F,52,0.015716688
1950,F,53,0.015716688
1950,F,54,0.015716688
1950,F,55,0.020813564
1950,F,56,0.020813564
1950,F,57,0.020813564
1950,F,58,0.020813564
1950,F,59,0.020813564
1950,F,60,0.031241997
1950,F,61,0.031241997
1950,F,62,0.031241997
1950,F,63,0.031241997
1950,F,64,0.031241997
1950,F,65,0.047116633
1950,F,66,0.047116633
1950,F,67,0.047116633
1950,F,68,0.047116633
1950,F,69,0.047116633
1950,F,70,0.072983808
1950,F,71,0.072983808
1950,F,72,0.072983808
1950,F,73,0.072983808
1950,F,74,0.072983808
1950,F,75,0.11024833
1950,F,76,0.11024833
1950,F,77,0.11024833
1950,F,78,0.11024833
1950,F,79,0.11024833
1950,F,80,0.16998893
1950,F,81,0.16998893
1950,F,82,0.16998893
1950,F,83,0.16998893
1950,F,84,0.16998893
1950,F,85,0.25295047
1950,F,86,0.25295047
1950,F,87,0.25295047
1950,F,88,0.25295047
1950,F,89,0.25295047
1950,F,90,0.36736516
1950,F,91,0.36736516
1950,F,92,0.36736516
1950,F,93,0.36736516
1950,F,94,0.36736516
1950,F,95,0.46813588
1950,F,96,0.46813588
1950,F,97,0.46813588
1950,F,98,0.46813588
1950,F,99,0.46813588
1950,F,100,0.46813588
1950,F,101,0.46813588
1950,F,102,0.46813588
1950,F,103,0.46813588
1950,F,104,0.46813588
1950,F,105,0.46813588
1950,F,106,0.46813588
1950,F,107,0.46813588
1950,F,108,0.46813588
1950,F,109,0.46813588
1950,F,110,0.46813588
1950,F,111,0.46813588
1950,F,112,0.46813588
1950,F,113,0.46813588
1950,F,114,0.46813588
1950,F,115,0.46813588
1950,F,116,0.46813588
1950,F,117,0.46813588
1950,F,118,0.46813588
1950,F,119,0.46813588
1955,M,0,0.21458248
1955,M,1,0.054030792
1955,M,2,0.054030792
1955,M,3,0.054030792
1955,M,4,0.054030792
1955,M,5,0.013010312
1955,M,6,0.013010312
1955,M,7,0.013010312
1955,M,8,0.013010312
1955,M,9,0.013010312
1955,M,10,0.0064544078
1955,M,11,0.0064544078
1955,M,12,0.0064544078
1955,M,13,0.0064544078
1955,M,14,0.0064544078
1955,M,15,0.0073805401
1955,M,16,0.0073805401
1955,M,17,0.0073805401
1955,M,18,0.0073805401
1955,M,19,0.0073805401
1955,M,20,0.010130841
1955,M,21,0.010130841
1955,M,22,0.010130841
1955,M,23,0.010130841
1955,M,24,0.010130841
1955,M,25,0.010380248
1955,M,26,0.010380248
1955,M,27,0.010380248
1955,M,28,0.010380248
1955,M,29,0.010380248
1955,M,30,0.010859483
1955,M,31,0.010859483
1955,M,32,0.010859483
1955,M,33,0.010859483
1955,M,34,0.010859483
1955,M,35,0.011860902
1955,M,36,0.011860902
1955,M,37,0.011860902
1955,M,38,0.011860902
