Year,Sex,Age_Grp,Variant,Count
1990,F,0-4,GBD_Est,44430.13845240758
1990,F,10-14,GBD_Est,739.070443433851
1990,F,15-19,GBD_Est,1358.515750417907
1990,F,20-24,GBD_Est,2033.0599110076319
1990,F,25-29,GBD_Est,2424.037149813492
1990,F,30-34,GBD_Est,2095.3801741794
1990,F,35-39,GBD_Est,1841.0231954255626
1990,F,40-44,GBD_Est,1759.8675628678088
1990,F,45-49,GBD_Est,1735.8229601140329
1990,F,5-9,GBD_Est,1561.932474458036
1990,F,50-54,GBD_Est,1838.1215014516695
1990,F,55-59,GBD_Est,1943.8795848939362
1990,F,60-64,GBD_Est,2369.932739096517
1990,F,65-69,GBD_Est,2702.247185008845
1990,F,70-74,GBD_Est,2800.1449214641025
1990,F,75-79,GBD_Est,2264.4545417571794
1990,F,80-84,GBD_Est,1474.8337650294598
1990,F,85-89,GBD_Est,739.2948697124964
1990,F,90-94,GBD_Est,315.280997513324
1990,M,0-4,GBD_Est,49865.662443342415
1990,M,10-14,GBD_Est,968.9701052376661
1990,M,15-19,GBD_Est,1142.7589441206633
1990,M,20-24,GBD_Est,1334.7335307506821
1990,M,25-29,GBD_Est,1689.7711564441843
1990,M,30-34,GBD_Est,1871.414609487142
1990,M,35-39,GBD_Est,1989.4511449443137
1990,M,40-44,GBD_Est,2043.5526866919463
1990,M,45-49,GBD_Est,2011.2425207149192
1990,M,5-9,GBD_Est,1860.9997719536916
1990,M,50-54,GBD_Est,2226.1536037048745
1990,M,55-59,GBD_Est,2445.5505284529154
1990,M,60-64,GBD_Est,2915.33951276194
1990,M,65-69,GBD_Est,3266.8592618613166
1990,M,70-74,GBD_Est,3073.935029147618
1990,M,75-79,GBD_Est,2270.5552777399116
1990,M,80-84,GBD_Est,1457.1879242193834
1990,M,85-89,GBD_Est,717.2627830944658
1990,M,90-94,GBD_Est,252.4306372350724
1991,F,0-4,GBD_Est,45342.3258991227
1991,F,10-14,GBD_Est,764.2335586599718
1991,F,15-19,GBD_Est,1478.50524722208
1991,F,20-24,GBD_Est,2378.9313944348105
1991,F,25-29,GBD_Est,2876.2731090388925
1991,F,30-34,GBD_Est,2503.0677485448855
1991,F,35-39,GBD_Est,2121.3307060497896
1991,F,40-44,GBD_Est,1966.3280257524568
1991,F,45-49,GBD_Est,1937.1980077128374
1991,F,5-9,GBD_Est,1592.770086982244
1991,F,50-54,GBD_Est,1963.676539902569
1991,F,55-59,GBD_Est,2010.268868601842
1991,F,60-64,GBD_Est,2396.9688684039115
1991,F,65-69,GBD_Est,2751.911160827974
1991,F,70-74,GBD_Est,2916.5728718693986
1991,F,75-79,GBD_Est,2337.9543953450093
1991,F,80-84,GBD_Est,1549.0796877637476
1991,F,85-89,GBD_Est,757.843025534996
1991,F,90-94,GBD_Est,321.6724953632101
1991,M,0-4,GBD_Est,50866.78976502643
1991,M,10-14,GBD_Est,1016.7031803209197
1991,M,15-19,GBD_Est,1230.4949134124993
1991,M,20-24,GBD_Est,1498.6755306759148
1991,M,25-29,GBD_Est,1979.1550465926139
1991,M,30-34,GBD_Est,2236.5329733081176
1991,M,35-39,GBD_Est,2356.8616673966553
1991,M,40-44,GBD_Est,2361.9691477619144
1991,M,45-49,GBD_Est,2268.2081089897356
1991,M,5-9,GBD_Est,1895.119496092742
1991,M,50-54,GBD_Est,2413.830373614921
1991,M,55-59,GBD_Est,2570.9988664643124
1991,M,60-64,GBD_Est,3043.7242391652685
1991,M,65-69,GBD_Est,3383.5484398463764
1991,M,70-74,GBD_Est,3245.0437594491777
1991,M,75-79,GBD_Est,2359.8038132870256
1991,M,80-84,GBD_Est,1495.0151970712143
1991,M,85-89,GBD_Est,733.1383911434676
1991,M,90-94,GBD_Est,261.4199866784526
1992,F,0-4,GBD_Est,45761.88985662423
1992,F,10-14,GBD_Est,744.2942131533051
1992,F,15-19,GBD_Est,1544.35067329834
1992,F,20-24,GBD_Est,2696.0121685179206
1992,F,25-29,GBD_Est,3327.2798982072113
1992,F,30-34,GBD_Est,2967.6378117356826
1992,F,35-39,GBD_Est,2443.0369554245826
1992,F,40-44,GBD_Est,2213.0629366558023
1992,F,45-49,GBD_Est,2174.060234935907
1992,F,5-9,GBD_Est,1579.6190079352612
1992,F,50-54,GBD_Est,2129.37916355568
1992,F,55-59,GBD_Est,2088.4546419397875
1992,F,60-64,GBD_Est,2439.1465946261155
1992,F,65-69,GBD_Est,2798.9965697650086
1992,F,70-74,GBD_Est,3037.3848799107027
1992,F,75-79,GBD_Est,2399.071515717585
1992,F,80-84,GBD_Est,1661.2254733856726
1992,F,85-89,GBD_Est,778.8988268845851
1992,F,90-94,GBD_Est,329.5114630178254
1992,M,0-4,GBD_Est,51316.539433346974
1992,M,10-14,GBD_Est,997.5300325060035
1992,M,15-19,GBD_Est,1246.038679084598
1992,M,20-24,GBD_Est,1582.3468824216807
1992,M,25-29,GBD_Est,2207.3455201605866
1992,M,30-34,GBD_Est,2591.575426714822
1992,M,35-39,GBD_Est,2751.5138033864014
1992,M,40-44,GBD_Est,2703.031872109986
1992,M,45-49,GBD_Est,2567.9394115042082
1992,M,5-9,GBD_Est,1877.1485759195275
1992,M,50-54,GBD_Est,2632.5617376172872
1992,M,55-59,GBD_Est,2714.3030910773227
1992,M,60-64,GBD_Est,3196.9754998413173
1992,M,65-69,GBD_Est,3503.740895046743
1992,M,70-74,GBD_Est,3424.3359327588773
1992,M,75-79,GBD_Est,2442.0960978619355
1992,M,80-84,GBD_Est,1559.0172476400546
1992,M,85-89,GBD_Est,739.7242295951334
1992,M,90-94,GBD_Est,270.0483436339696
