Item_Code,is_diagnostic,is_medicine,is_other,is_vital,is_drug_or_vaccine,item_category
1,False,True,False,True,True,contraception
2,False,False,True,True,False,contraception
3,False,True,False,True,True,contraception
4,False,False,True,True,False,
5,False,True,False,True,False,general
6,False,False,True,True,False,general
7,False,True,False,True,False,contraception
8,False,True,False,False,True,contraception
9,False,False,True,True,False,
10,False,False,True,True,False,general
11,False,False,True,True,False,contraception
12,False,True,False,True,True,contraception
14,False,True,False,True,True,contraception
15,False,True,False,True,True,contraception
16,False,True,False,False,True,contraception
18,False,False,True,True,False,
19,False,False,True,True,False,
20,False,False,True,True,False,
21,False,False,True,True,False,general
22,False,False,True,True,False,
23,False,True,False,True,True,general
24,False,False,True,True,False,general
25,False,False,True,True,False,contraception
26,False,True,False,True,True,reproductive_health
27,False,True,False,True,True,reproductive_health
28,False,True,False,True,True,reproductive_health
29,False,True,False,True,True,road_traffic_injuries
30,False,True,False,True,True,reproductive_health
31,False,True,False,True,True,reproductive_health
32,False,True,False,True,True,reproductive_health
33,False,True,False,True,True,general
34,False,False,True,False,False,
35,False,False,True,True,True,
36,False,True,False,False,True,reproductive_health
37,False,False,True,True,False,
38,False,False,True,True,False,
39,False,True,False,True,True,epi
40,True,False,False,False,False,general
41,True,False,False,False,False,reproductive_health
42,False,True,False,True,True,reproductive_health
43,False,False,True,True,False,
44,False,True,False,True,True,reproductive_health
45,False,True,False,True,True,reproductive_health
46,True,False,False,False,False,
47,True,False,False,False,False,reproductive_health
48,True,False,False,False,False,
49,False,False,True,False,False,
50,True,False,False,False,False,reproductive_health
51,True,False,False,False,False,
52,False,True,False,True,True,reproductive_health
53,False,True,False,False,False,
54,False,True,False,False,False,
55,False,True,False,False,False,
56,False,True,False,True,True,reproductive_health
57,False,False,True,False,False,general
58,False,False,True,False,False,general
59,True,False,False,False,False,
60,False,True,False,False,True,reproductive_health
61,False,True,False,False,True,reproductive_health
62,False,False,True,True,False,
63,False,False,True,False,False,
64,False,False,True,False,False,neonatal_health
65,False,True,False,True,True,reproductive_health
66,False,True,False,True,True,reproductive_health
67,False,False,True,False,False,general
68,False,True,False,False,True,neonatal_health
69,False,True,False,False,False,
70,False,True,False,True,True,neonatal_health
71,False,True,False,True,True,general
72,False,False,True,True,False,
73,False,True,False,True,False,general
74,False,True,False,True,False,reproductive_health
75,False,False,True,True,False,cancer
76,False,False,True,False,False,general
77,False,False,True,False,False,
78,False,False,True,True,False,
79,False,False,True,False,False,
80,False,False,True,True,False,general
81,False,True,False,True,True,other_childhood_illnesses
82,False,False,True,False,False,general
83,False,True,False,False,False,
84,False,True,False,True,True,reproductive_health
85,False,False,True,True,False,
86,False,True,False,True,True,reproductive_health
87,False,True,False,False,False,
88,False,False,True,True,False,general
89,False,False,True,False,False,
90,False,True,False,True,True,reproductive_health
91,False,True,False,False,False,
92,False,True,False,True,True,reproductive_health
93,False,True,False,True,True,general
94,False,True,False,False,False,
95,False,False,True,False,False,
96,False,False,True,False,False,
97,False,False,True,False,False,
98,False,False,True,True,False,general
99,False,True,False,True,True,other_childhood_illnesses
100,False,False,True,True,False,
101,False,False,True,True,False,general
102,False,True,False,True,True,reproductive_health
103,False,False,True,True,False,general
104,False,False,True,True,False,
105,False,True,False,True,True,reproductive_health
106,False,True,False,True,True,other_childhood_illnesses
