person_responsible,module_name,intervention_description,item_code,consumable_name_tlo,matching_status,consumable_name_lmis,comments_sm,verified_by_DM_lead,match_level1,match_level2,Comments_DM Leads,check with pharmacist? (Y/N),notes_on_openlmis_mapping,item_code_hhfa,item_hhfa_for_data_validation,item_hhfa_for_scenario_generation,hhfa_mapping_rationale_for_scenario_generation,notes_on_hhfa_mapping
Britta,NCDs,Diabetes type II - first-line treatment,233,Metformin hydrochloride 500mg_100_CMST,Matched,Metformin hydrochloride 500mg,,Correct,1,1,,N,,104,Metformin,Metformin,,
Britta,NCDs,Hypertension - first-line treatment,221,Hydrochlorothiazide 25mg_1000_CMST,Matched,Hydrochlorothiazide 25mg,,Correct,1,1,,N,,82,Hydrocortisone injection,Hydrocortisone injection,,
Britta,NCDs,Ischemic heart disease - treatment,226,Aspirin 300mg_1000_CMST,Matched,"Aspirin 300mg, tablets",Alison Rodger confirmed that there are no substitutes,Correct,1,1,,N,,17,Aspirin,Aspirin,,
Ines,acute lower respiratory infections,community treatment of non-severe pneumonia,248,Flucloxacillin 250mg_100_CMST,Matched,Flucloxacillin 250mg,,Correct,1,1,,Y,,8,Amoxicillin,Amoxicillin,proxy,
Ines,acute lower respiratory infections,community treatment of non-severe pneumonia,1831,"Flucloxacillin 250mg, vial, PFR_each_CMST",Matched,"Flucloxacillin 250mg, vial, PFR",Substitute verified with Alison Rodger,Correct,1,1,,Y,,8,Amoxicillin,Amoxicillin,proxy,
Ines,acute lower respiratory infections,community treatment of non-severe pneumonia,295,"Paracetamol, tablet, 100 mg",Matched,Paracetamol 500mg,,Correct,1,1,,,,123,Paracetamol cap/tab,Paracetamol cap/tab,,
Ines,acute lower respiratory infections,community treatment of non-severe pneumonia,295,"Paracetamol, tablet, 100 mg",Matched,Ibuprofen 200mg Tabs,Substitute verified with Alison Rodger,Correct,1,1,,,,123,Paracetamol cap/tab,Paracetamol cap/tab,,
Ines,acute lower respiratory infections,community treatment of non-severe pneumonia,299,"Amoxycillin 125mg/5ml suspension, PFR_0.025_CMST",Matched,"Amoxycillin 125mg/5ml suspension, PFR to make 100ml",,Correct,1,1,,,,8,Amoxicillin,Amoxicillin,,
Ines,acute lower respiratory infections,Pneumonia treatment at facility level 1 and 2,125,Amoxycillin 250mg_1000_CMST,Matched,Amoxicillin 875mg+Clavulanic acid 125mg,,Other (see comments),1,1,"These should be different forms of the same antibiotic, but I would keep the simpler form of amoxycillin tablets",Y,,8,Amoxicillin,Amoxicillin,,
Ines,acute lower respiratory infections,Pneumonia treatment at facility level 1 and 2,125,Amoxycillin 250mg_1000_CMST,Matched,Amoxycillin 250mg Dispersible tablets,I have kept this since this should be the same drug as the one marked correct by Ines below,Correct,1,1,,Y,,8,Amoxicillin,Amoxicillin,,
Ines,acute lower respiratory infections,Pneumonia treatment at facility level 1 and 2,125,Amoxycillin 250mg_1000_CMST,Matched,"Amoxycillin 250mg, Tablets",,Correct,1,1,,Y,,8,Amoxicillin,Amoxicillin,,
Ines,acute lower respiratory infections,Pneumonia treatment at facility level 1 and 2,125,Amoxycillin 250mg_1000_CMST,Matched,"Amoxycillin w/ Clavulanic Acid, 250/62.5/5ml",,Other (see comments),1,1,,Y,,8,Amoxicillin,Amoxicillin,,
Ines,acute lower respiratory infections,Pneumonia treatment at facility level 1 and 2,125,Amoxycillin 250mg_1000_CMST,Matched,"Amoxycillin w/ Clavulanic Acid, 500mg/125mg",,Other (see comments),1,1,,Y,,8,Amoxicillin,Amoxicillin,,
Ines,acute lower respiratory infections,Pneumonia treatment at facility level 1 and 2,296,"Salbutamol, tablet, 4 mg",Matched,Salbutamol 4mg,,Correct,1,1,,,,140,Salbutamol inhaler,Salbutamol inhaler,proxy,
Ines,acute lower respiratory infections,Pneumonia treatment at facility level 1 and 2,298,"Salbutamol sulphate 1mg/ml, 5ml_each_CMST",Matched,"Salbutamol solution for nebulising 5mg/ml, 20ml",,Other (see comments),1,1,"I think it is correct, but need to confirm",Y,,140,Salbutamol inhaler,Salbutamol inhaler,,
Ines,acute lower respiratory infections,Pneumonia treatment at facility level 1 and 2,298,"Salbutamol sulphate 1mg/ml, 5ml_each_CMST",Matched,"Salbutamol sulphate aerosol inhalation, 100mcg/dose, 200 doses",,Other (see comments),1,1,,Y,,140,Salbutamol inhaler,Salbutamol inhaler,,
Ines,acute lower respiratory infections,Treatment of severe pneumonia at facility level 1 and 2,81,"Ceftriaxone 1g, PFR_each_CMST",Matched,"Ceftriaxone 1g, PFR",,Correct,1,1,,,,30,Ceftriaxone injection,Ceftriaxone injection,,
Ines,acute lower respiratory infections,Treatment of severe pneumonia at facility level 1 and 2,99,"Benzylpenicillin 3g (5MU), PFR_each_CMST",Matched,"Benzylpenicillin 3g (5MU), PFR",,Correct,1,1,,,,22,Benzathine benzylpenicillin powder for injection,Benzathine benzylpenicillin powder for injection,,
Ines,acute lower respiratory infections,Treatment of severe pneumonia at facility level 1 and 2,106,"Gentamicin Sulphate 40mg/ml, 2ml_each_CMST",Matched,"Gentamicin 40mg/ml, 2ml",,Correct,1,1,use this one,Y,,67,Gentamycin injection 40mg/ml in 1ml or 2ml ampoules,Gentamycin injection 40mg/ml in 1ml or 2ml ampoules,,
Ines,acute lower respiratory infections,Treatment of severe pneumonia at facility level 1 and 2,106,"Gentamicin Sulphate 40mg/ml, 2ml_each_CMST",Matched,"Gentamicin, 80mg/2ml",,Other (see comments),1,1,,Y,,67,Gentamycin injection 40mg/ml in 1ml or 2ml ampoules,Gentamycin injection 40mg/ml in 1ml or 2ml ampoules,,
Ines,acute lower respiratory infections,Treatment of severe pneumonia at facility level 1 and 2,120,Cannula iv (winged with injection pot) 24_each_CMST,Matched,Cannula iv  (winged with injection pot) 24,,Correct,1,1,updated to 24 on 27/09/2021,,,117,Normal saline IV solution,Normal saline IV solution,proxy,
Ines,acute lower respiratory infections,Treatment of severe pneumonia at facility level 1 and 2,291,Prednisolone 5mg_100_CMST,Matched,Prednisolone 5mg,,Correct,1,1,,,,128,Prednisolone,Prednisolone,,
Ines,acute lower respiratory infections,Treatment of severe pneumonia at facility level 1 and 2,300,"Tube, nasogastric CH 8_each_CMST",Matched,"Tube, feeding CH 6",,Incorrect,1,1,need to confirm with pharmacist which tube is adequate for children,Y,,,,,assume average,
Ines,acute lower respiratory infections,Treatment of severe pneumonia at facility level 1 and 2,300,"Tube, nasogastric CH 8_each_CMST",Matched,"Tube, feeding CH 8",,Incorrect,1,1,,Y,,,,,assume average,
Ines,acute lower respiratory infections,Treatment of severe pneumonia at facility level 1 and 2,300,"Tube, nasogastric CH 8_each_CMST",Matched,"Tube, nasogastric FG 8 ( with metal balls at the tip)",,Correct,1,1,,Y,,,,,assume average,
Ines,acute lower respiratory infections,Treatment of severe pneumonia at facility level 1 and 2,300,"Tube, nasogastric CH 8_each_CMST",Matched,"Tube, nasogatric 16CH",,Correct,1,1,,Y,,,,,assume average,
