Officer_Type_Code,Total_Av_Working_Days,L0_Av_Mins_Per_Day,L1a_Av_Mins_Per_Day,L1b_Av_Mins_Per_Day,L2_Av_Mins_Per_Day,L3_Av_Mins_Per_Day,L4_Av_Mins_Per_Day,L5_Av_Mins_Per_Day
M01,155.625,,93.6945571899414,107.079498291016,140.541839599609,124.926078796387,,
M02,192.189331054688,,190.578277587891,197.668243408203,194.389831542969,86.7811813354492,,
M03,209.180160522461,,229.111022949219,197.119766235352,228.977508544922,,,
N01,183.785705566406,,119.160255432129,99.9408569335938,182.245101928711,110.648803710938,,
N02,190.835372924805,,133.742736816406,143.83561706543,143.616363525391,76.5953903198242,,
P01,203.727264404297,,204.424468994141,224.866920471192,245.309371948242,224.866920471192,,
P02,203.727264404297,,204.424468994141,224.866920471192,245.309371948242,,,
P03,203.727264404297,,204.424468994141,224.866920471192,245.309371948242,,,
L01,203.727264404297,,,,245.309371948242,,,
L02,203.727264404297,,204.424468994141,224.866920471192,245.309371948242,,,
L03,203.727264404297,,204.424468994141,224.866920471192,245.309371948242,,,
E01,211.918838500977,119.095985412598,,,,,,
D01,249,,299.822570800781,,,299.822570800781,,
D02,249,,299.822570800781,299.822570800781,299.822570800781,299.822570800781,,
D03,249,,299.822570800781,299.822570800781,299.822570800781,299.822570800781,,
T01,,,,,,,,
C01,249,,,,,,179.8935546875,
R01,142.285720825195,,,,57.1090698242188,57.1090698242188,,
R02,142.285720825195,,,57.1090698242188,57.1090698242188,57.1090698242188,,
R03,,,,,,,,
R04,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Imputed based on officer category ,,,,,,,
, cateogory not needed in model ,,,,,,,
,category needed in model ,,,,,,,
