Facility_ID,Officer_Type_Code,GenericClinic,CancerClinic,CardiometabolicClinic,ChronicRespiratoryClinic,NeurologicalMentalHealthClinic
0.0,Clinical,0.8,0.03,0.1,0.02,0.05
0.0,DCSA,0.8,0.03,0.1,0.02,0.05
0.0,Dental,0.8,0.03,0.1,0.02,0.05
0.0,Laboratory,0.8,0.03,0.1,0.02,0.05
0.0,Mental,0.8,0.03,0.1,0.02,0.05
0.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
0.0,Nutrition,0.8,0.03,0.1,0.02,0.05
0.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
0.0,Radiography,0.8,0.03,0.1,0.02,0.05
1.0,Clinical,0.8,0.03,0.1,0.02,0.05
1.0,DCSA,0.8,0.03,0.1,0.02,0.05
1.0,Dental,0.8,0.03,0.1,0.02,0.05
1.0,Laboratory,0.8,0.03,0.1,0.02,0.05
1.0,Mental,0.8,0.03,0.1,0.02,0.05
1.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
1.0,Nutrition,0.8,0.03,0.1,0.02,0.05
1.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
1.0,Radiography,0.8,0.03,0.1,0.02,0.05
2.0,Clinical,0.8,0.03,0.1,0.02,0.05
2.0,DCSA,0.8,0.03,0.1,0.02,0.05
2.0,Dental,0.8,0.03,0.1,0.02,0.05
2.0,Laboratory,0.8,0.03,0.1,0.02,0.05
2.0,Mental,0.8,0.03,0.1,0.02,0.05
2.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
2.0,Nutrition,0.8,0.03,0.1,0.02,0.05
2.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
2.0,Radiography,0.8,0.03,0.1,0.02,0.05
3.0,Clinical,0.8,0.03,0.1,0.02,0.05
3.0,DCSA,0.8,0.03,0.1,0.02,0.05
3.0,Dental,0.8,0.03,0.1,0.02,0.05
3.0,Laboratory,0.8,0.03,0.1,0.02,0.05
3.0,Mental,0.8,0.03,0.1,0.02,0.05
3.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
3.0,Nutrition,0.8,0.03,0.1,0.02,0.05
3.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
3.0,Radiography,0.8,0.03,0.1,0.02,0.05
4.0,Clinical,0.8,0.03,0.1,0.02,0.05
4.0,DCSA,0.8,0.03,0.1,0.02,0.05
4.0,Dental,0.8,0.03,0.1,0.02,0.05
4.0,Laboratory,0.8,0.03,0.1,0.02,0.05
4.0,Mental,0.8,0.03,0.1,0.02,0.05
4.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
4.0,Nutrition,0.8,0.03,0.1,0.02,0.05
4.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
4.0,Radiography,0.8,0.03,0.1,0.02,0.05
5.0,Clinical,0.8,0.03,0.1,0.02,0.05
5.0,DCSA,0.8,0.03,0.1,0.02,0.05
5.0,Dental,0.8,0.03,0.1,0.02,0.05
5.0,Laboratory,0.8,0.03,0.1,0.02,0.05
5.0,Mental,0.8,0.03,0.1,0.02,0.05
5.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
5.0,Nutrition,0.8,0.03,0.1,0.02,0.05
5.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
5.0,Radiography,0.8,0.03,0.1,0.02,0.05
6.0,Clinical,0.8,0.03,0.1,0.02,0.05
6.0,DCSA,0.8,0.03,0.1,0.02,0.05
6.0,Dental,0.8,0.03,0.1,0.02,0.05
6.0,Laboratory,0.8,0.03,0.1,0.02,0.05
6.0,Mental,0.8,0.03,0.1,0.02,0.05
6.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
6.0,Nutrition,0.8,0.03,0.1,0.02,0.05
6.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
6.0,Radiography,0.8,0.03,0.1,0.02,0.05
7.0,Clinical,0.8,0.03,0.1,0.02,0.05
7.0,DCSA,0.8,0.03,0.1,0.02,0.05
7.0,Dental,0.8,0.03,0.1,0.02,0.05
7.0,Laboratory,0.8,0.03,0.1,0.02,0.05
7.0,Mental,0.8,0.03,0.1,0.02,0.05
7.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
7.0,Nutrition,0.8,0.03,0.1,0.02,0.05
7.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
7.0,Radiography,0.8,0.03,0.1,0.02,0.05
8.0,Clinical,0.8,0.03,0.1,0.02,0.05
