Treatment,Clinic
FirstAttendance_Emergency,FlexiblePrimaryCare_Clinic
FirstAttendance_SpuriousEmergencyCare,FlexiblePrimaryCare_Clinic
Alri_Pneumonia_Treatment_Outpatient,FlexiblePrimaryCare_Clinic
Diarrhoea_Treatment_Outpatient,FlexiblePrimaryCare_Clinic
FirstAttendance_NonEmergency,FlexiblePrimaryCare_Clinic
Malaria_Test,FlexiblePrimaryCare_Clinic
Malaria_Treatment,FlexiblePrimaryCare_Clinic
Malaria_Treatment_Complicated,FlexiblePrimaryCare_Clinic
Measles_Treatment,FlexiblePrimaryCare_Clinic
Rti_AcutePainManagement,FlexiblePrimaryCare_Clinic
Rti_FractureCast,FlexiblePrimaryCare_Clinic
Rti_Suture,FlexiblePrimaryCare_Clinic
Schisto_Test,FlexiblePrimaryCare_Clinic
Schisto_Treatment,FlexiblePrimaryCare_Clinic
Undernutrition_Feeding_Outpatient,FlexiblePrimaryCare_Clinic
