Appt_Type_Code,Facility_Level_0,Facility_Level_1a,Facility_Level_1b,Facility_Level_2,Facility_Level_3,Facility_Level_4,Facility_Level_5
InpatientDays,False,True,True,True,True,False,False
IPAdmission,False,True,True,True,True,False,False
Under5OPD,False,True,True,True,True,False,False
Over5OPD,False,True,True,True,True,False,False
NormalDelivery,False,True,True,True,True,False,False
CompDelivery,False,True,True,True,True,False,False
Csection,False,True,True,True,True,False,False
FamPlan,False,True,True,True,False,False,False
AntenatalFirst,False,True,True,True,True,False,False
ANCSubsequent,False,True,True,True,True,False,False
EPI,False,True,True,True,False,False,False
STI,False,True,True,True,True,False,False
U5Malnutr,False,True,True,True,True,False,False
AccidentsandEmerg,False,True,True,True,True,False,False
MajorSurg,False,False,True,True,True,False,False
MinorSurg,False,True,True,True,True,False,False
TBNew,False,True,True,True,True,False,False
TBFollowUp,False,True,True,True,False,False,False
VCTNegative,False,True,True,True,True,False,False
VCTPositive,False,True,True,True,True,False,False
MaleCirc,False,True,True,True,False,False,False
NewAdult,False,True,True,True,True,False,False
EstMedCom,False,True,True,True,True,False,False
EstNonCom,False,True,True,True,True,False,False
PMTCT,False,True,True,True,True,False,False
Peds,False,True,True,True,True,False,False
LabHaem,False,True,True,True,True,False,False
LabPOC,False,True,True,True,True,False,False
LabParasit,False,True,True,True,True,False,False
LabBiochem,False,True,True,True,True,False,False
LabMicrobio,False,True,True,True,True,False,False
LabMolec,False,True,True,True,True,False,False
LabTBMicro,False,True,True,True,True,False,False
LabSero,False,True,True,True,True,False,False
LabCyto,False,True,True,True,True,False,False
LabTrans,False,True,True,True,True,False,False
Ultrasound,False,False,True,True,True,False,False
Mammography,False,False,False,False,True,False,False
MRI,False,False,False,True,True,False,False
Tomography,False,False,False,False,True,False,False
Radiotherapy,False,False,False,False,True,False,False
DiagRadio,False,False,True,True,True,False,False
DentAccidEmerg,False,True,True,True,True,False,False
DentSurg,False,False,False,True,True,False,False
DentalU5,False,True,True,True,True,False,False
DentalO5,False,True,True,True,True,False,False
MentOPD,False,False,True,True,True,True,False
MentClinic,False,False,True,True,True,True,False
ConWithDCSA,True,False,False,False,False,False,False
PharmDispensing,False,True,True,True,True,False,False
