District,Clinical ,Nursing_and_Midwifery,Pharmacy,DCSA,Dental,Laboratory,Mental,Nutrition,Radiography
Balaka,1,1,1,1,1,1,1,1,1
Blantyre,1,1,1,1,1,1,1,1,1
Blantyre City,1,1,1,1,1,1,1,1,1
Referral Hospital_Central,1,1,1,1,1,1,1,1,1
Referral Hospital_Northern,1,1,1,1,1,1,1,1,1
Referral Hospital_Southern,1,1,1,1,1,1,1,1,1
Chikwawa,1,1,1,1,1,1,1,1,1
Chiradzulu,1,1,1,1,1,1,1,1,1
Chitipa,1,1,1,1,1,1,1,1,1
Dedza,1,1,1,1,1,1,1,1,1
Dowa,1,1,1,1,1,1,1,1,1
Headquarter,1,1,1,1,1,1,1,1,1
Karonga,1,1,1,1,1,1,1,1,1
Kasungu,1,1,1,1,1,1,1,1,1
Likoma,1,1,1,1,1,1,1,1,1
Lilongwe,1,1,1,1,1,1,1,1,1
Lilongwe City,1,1,1,1,1,1,1,1,1
Machinga,1,1,1,1,1,1,1,1,1
Mangochi,1,1,1,1,1,1,1,1,1
Mchinji,1,1,1,1,1,1,1,1,1
Mulanje,1,1,1,1,1,1,1,1,1
Mwanza,1,1,1,1,1,1,1,1,1
Mzimba,1,1,1,1,1,1,1,1,1
Mzuzu City,1,1,1,1,1,1,1,1,1
Neno,1,1,1,1,1,1,1,1,1
Nkhata Bay,1,1,1,1,1,1,1,1,1
Nkhotakota,1,1,1,1,1,1,1,1,1
Nsanje,1,1,1,1,1,1,1,1,1
Ntcheu,1,1,1,1,1,1,1,1,1
Ntchisi,1,1,1,1,1,1,1,1,1
Phalombe,1,1,1,1,1,1,1,1,1
Rumphi,1,1,1,1,1,1,1,1,1
Salima,1,1,1,1,1,1,1,1,1
Thyolo,1,1,1,1,1,1,1,1,1
Zomba,1,1,1,1,1,1,1,1,1
Zomba City,1,1,1,1,1,1,1,1,1
Zomba Mental Hospital,1,1,1,1,1,1,1,1,1
