District,Clinical ,Nursing_and_Midwifery,Pharmacy,DCSA,Dental,Laboratory,Mental,Nutrition,Radiography
Balaka,1,1.169316612,1,1,1,1,1,1,1
Blantyre,1,0.89730864,1,1,1,1,1,1,1
Blantyre City,1,0.89730864,1,1,1,1,1,1,1
Referral Hospital_Central,1,1.355424224,1,1,1,1,1,1,1
Referral Hospital_Northern,1,1.070124208,1,1,1,1,1,1,1
Referral Hospitals_Southern,1,1.402012229,1,1,1,1,1,1,1
Chikwawa,1,1.98442501,1,1,1,1,1,1,1
Chiradzulu,1,1.900692263,1,1,1,1,1,1,1
Chitipa,1,1.936513522,1,1,1,1,1,1,1
Dedza,1,1.543188619,1,1,1,1,1,1,1
Dowa,1,1.737431437,1,1,1,1,1,1,1
Headquarter,1,3.62272938,1,1,1,1,1,1,1
Karonga,1,1.872527654,1,1,1,1,1,1,1
Kasungu,1,1.937984358,1,1,1,1,1,1,1
Likoma,1,3.155265589,1,1,1,1,1,1,1
Lilongwe,1,1.167518839,1,1,1,1,1,1,1
Lilongwe City,1,1.167518839,1,1,1,1,1,1,1
Machinga,1,1.853985036,1,1,1,1,1,1,1
Mangochi,1,1.260791694,1,1,1,1,1,1,1
Mchinji,1,1.722723439,1,1,1,1,1,1,1
Mulanje,1,1.488502197,1,1,1,1,1,1,1
Mwanza,1,1.646695173,1,1,1,1,1,1,1
Mzimba,1,1.462212301,1,1,1,1,1,1,1
Mzuzu City,1,1.462212302,1,1,1,1,1,1,1
Neno,1,2.133827415,1,1,1,1,1,1,1
Nkhata Bay,1,2.260579269,1,1,1,1,1,1,1
Nkhotakota,1,1.964020582,1,1,1,1,1,1,1
Nsanje,1,2.028728453,1,1,1,1,1,1,1
Ntcheu,1,1.544519745,1,1,1,1,1,1,1
Ntchisi,1,1.885047321,1,1,1,1,1,1,1
Phalombe,1,1.561895301,1,1,1,1,1,1,1
Rumphi,1,1.643251104,1,1,1,1,1,1,1
Salima,1,1.449091752,1,1,1,1,1,1,1
Thyolo,1,1.360371849,1,1,1,1,1,1,1
Zomba,1,1.10442287,1,1,1,1,1,1,1
Zomba City,1,1.10442287,1,1,1,1,1,1,1
Zomba Mental Hospital,1,0.85520169,1,1,1,1,1,1,1
