Facility_ID,maternity_bed,delivery_bed,general_bed,non_bed_space
0,0,0,0,0
1,134,29,14,1000
2,49,6,57,1000
3,35,4,54,1000
4,0,0,0,0
5,168,32,50,1000
6,61,7,195,1000
7,44,4,184,1000
8,0,0,0,0
9,168,32,50,1000
10,61,7,195,1000
11,44,4,184,1000
12,0,0,0,0
13,136,37,29,1000
14,49,8,114,1000
15,35,5,108,1000
16,0,0,0,0
17,116,26,41,1000
18,42,6,160,1000
19,30,3,152,1000
20,0,0,0,0
21,59,17,13,1000
22,21,4,50,1000
23,15,2,47,1000
24,0,0,0,0
25,254,50,46,1000
26,92,11,182,1000
27,66,7,173,1000
28,0,0,0,0
29,129,39,42,1000
30,47,8,166,1000
31,34,5,157,1000
32,0,0,0,0
33,104,24,31,1000
34,38,5,122,1000
35,27,3,115,1000
36,0,0,0,0
37,135,27,21,1000
38,49,6,81,1000
39,35,4,77,1000
40,0,0,0,0
41,10,2,2,1000
42,4,0,10,1000
43,3,0,9,1000
44,0,0,0,0
45,274,52,99,1000
46,99,11,390,1000
47,71,7,370,1000
48,0,0,0,0
49,274,52,99,1000
50,99,11,390,1000
51,71,7,370,1000
52,0,0,0,0
53,153,34,18,1000
54,55,7,70,1000
55,40,5,67,1000
56,0,0,0,0
57,271,55,48,1000
58,98,12,189,1000
59,71,7,179,1000
60,0,0,0,0
61,178,24,28,1000
62,65,5,109,1000
63,46,3,104,1000
64,0,0,0,0
65,175,46,40,1000
66,63,10,158,1000
67,46,6,150,1000
68,0,0,0,0
69,39,9,17,1000
70,14,2,68,1000
71,10,1,65,1000
72,0,0,0,0
73,205,44,49,1000
74,74,9,192,1000
75,53,6,182,1000
76,0,0,0,0
77,205,44,49,1000
78,74,9,192,1000
79,53,6,182,1000
80,0,0,0,0
81,63,14,11,1000
82,23,3,43,1000
83,16,2,41,1000
84,0,0,0,0
85,166,28,28,1000
86,60,6,109,1000
87,43,4,103,1000
88,0,0,0,0
89,159,24,45,1000
90,58,5,175,1000
91,42,3,166,1000
92,0,0,0,0
93,113,25,31,1000
94,41,5,121,1000
95,30,3,115,1000
96,0,0,0,0
97,285,47,34,1000
98,103,10,132,1000
99,74,6,125,1000
100,0,0,0,0
101,77,19,16,1000
102,28,4,64,1000
103,20,3,61,1000
104,0,0,0,0
105,100,25,0,1000
106,36,5,0,1000
107,26,3,0,1000
108,0,0,0,0
109,108,29,5,1000
110,39,6,20,1000
111,28,4,19,1000
112,0,0,0,0
113,91,23,11,1000
114,33,5,45,1000
115,24,3,43,1000
116,0,0,0,0
117,206,43,40,1000
118,75,9,159,1000
119,54,6,150,1000
120,0,0,0,0
121,130,27,30,1000
122,47,6,116,1000
123,34,4,110,1000
124,0,0,0,0
125,130,27,30,1000
126,47,6,116,1000
127,34,4,110,1000
128,277,20,977,1000
129,113,8,385,1000
130,245,16,962,1000
131,0,0,0,0
132,0,0,0,0
